File,Signature,StartLine,EndLine,Suspiciousness
org.jfree.data.xy.XYDataItem,compareTo(Object),161,205,0.0318899772149658
org.jfree.data.xy.XYSeries,"add(XYDataItem,boolean)",337,394,0.027734167462518357
org.jfree.data.xy.XYSeries,"addOrUpdate(Number,Number)",530,576,0.027382678974541847
org.jfree.data.xy.XYDataItem,"XYDataItem(Number,Number)",66,78,0.022584712552273893
org.jfree.data.general.SeriesException,SeriesException(String),55,62,0.021949307489085006
org.jfree.data.xy.XYSeries,"addOrUpdate(double,double)",515,528,0.021869914046259254
org.jfree.data.xy.XYSeries,indexOf(Number),578,601,0.020884854970536427
org.jfree.data.general.Series,notifyListeners(SeriesChangeEvent),318,334,0.01941513377099105
org.jfree.data.xy.XYSeries,getItemCount(),180,187,0.019266532234510178
org.jfree.data.xy.XYDataItem,getX(),90,97,0.019054742684533166
org.jfree.data.general.Series,"Series(Comparable,String)",105,120,0.0181456681333007
org.jfree.data.xy.XYSeries,"add(Number,Number,boolean)",318,335,0.017806201619669414
org.jfree.data.xy.XYSeries,"add(double,double)",247,256,0.017750885745726183
org.jfree.data.general.Series,fireSeriesChanged(),308,316,0.016749994495190275
org.jfree.data.general.SeriesChangeEvent,SeriesChangeEvent(Object),55,62,0.01674985725965244
org.jfree.data.xy.XYDataItem,setY(Number),151,159,0.01668663701224031
org.jfree.data.general.Series,Series(Comparable),96,103,0.0165615206722492
org.jfree.data.xy.XYSeries,getY(int),468,477,0.016308466507260772
org.jfree.data.xy.XYDataItem,clone(),207,217,0.016061366383482868
org.jfree.data.xy.XYSeries,"XYSeries(Comparable,boolean)",128,138,0.014993653413284841
org.jfree.data.xy.XYSeries,setMaximumItemCount(int),210,234,0.014663747475764103
org.jfree.data.xy.XYSeries,XYSeries(Comparable),117,126,0.014509402757485237
org.jfree.data.xy.XYDataItem,getY(),114,121,0.013965441334601349
org.jfree.data.xy.XYSeries,getDataItem(int),446,455,0.01389367620633799
org.jfree.data.xy.XYSeries,"add(double,Number)",272,282,0.013582879329943223
org.jfree.data.xy.XYSeries,"add(Number,Number)",299,316,0.013474719307083837
org.jfree.data.xy.XYSeries,"createCopy(int,int)",639,668,0.012517441315938118
org.jfree.data.xy.XYSeries,equals(Object),670,702,0.01250793886517312
org.jfree.data.xy.XYSeries,hashCode(),704,730,0.012503375280763394
org.jfree.data.xy.XYSeries,remove(int),410,422,0.012483591570436416
org.jfree.data.xy.XYSeries,"update(Number,Number)",494,513,0.012478394774763996
org.jfree.data.xy.XYSeries,"updateByIndex(int,Number)",479,492,0.012474729254229749
org.jfree.data.xy.XYSeries,add(XYDataItem),236,245,0.012467070177010185
org.jfree.data.xy.XYSeries,remove(Number),424,434,0.012459619961664253
org.jfree.data.xy.XYSeries,getItems(),189,197,0.012449376125330756
org.jfree.data.xy.XYDataItem,equals(Object),219,242,0.012447638010911814
org.jfree.data.xy.XYSeries,clear(),436,444,0.012440928765454275
org.jfree.data.xy.XYSeries,"add(double,Number,boolean)",284,297,0.012440521379900277
org.jfree.data.xy.XYDataItem,"XYDataItem(double,double)",80,88,0.012438555797829843
org.jfree.data.xy.XYSeries,getMaximumItemCount(),199,208,0.012438141718434461
org.jfree.data.xy.XYSeries,"delete(int,int)",396,408,0.01243546407305807
org.jfree.data.xy.XYSeries,clone(),626,637,0.012434534399111696
org.jfree.data.general.Series,isEmpty(),203,213,0.012433235939342807
org.jfree.data.xy.XYSeries,"add(double,double,boolean)",258,270,0.012432146922849207
org.jfree.data.xy.XYSeries,getX(int),457,466,0.01243045392848353
org.jfree.data.xy.XYSeries,toArray(),603,624,0.012429259774138453
org.jfree.data.xy.XYSeries,getAllowDuplicateXValues(),170,178,0.012419371371473933
org.jfree.data.xy.XYDataItem,setY(double),141,149,0.012417379635309693
org.jfree.data.general.Series,addPropertyChangeListener(PropertyChangeListener),336,343,0.012405104856763889
org.jfree.data.general.Series,addChangeListener(SeriesChangeListener),285,296,0.012405071806126636
org.jfree.data.xy.XYSeries,getAutoSort(),159,168,0.012404552859626695
org.jfree.data.general.Series,removePropertyChangeListener(PropertyChangeListener),345,352,0.012400595637948809
org.jfree.data.general.Series,removeChangeListener(SeriesChangeListener),298,306,0.012400506994070503
org.jfree.data.general.Series,clone(),222,246,0.012398184744247968
org.jfree.data.general.Series,setKey(Comparable),133,148,0.012397404171136541
org.jfree.data.general.Series,getKey(),122,131,0.012396600220259717
org.jfree.data.general.Series,setDescription(String),161,174,0.012395915457295742
org.jfree.data.general.Series,equals(Object),248,270,0.012395719648509801
org.jfree.data.general.Series,getDescription(),150,159,0.012394822403404681
org.jfree.data.xy.XYDataItem,getXValue(),99,112,0.01239420914655723
org.jfree.data.general.Series,setNotify(boolean),188,201,0.012394075443680857
org.jfree.data.general.Series,"firePropertyChange(String,Object,Object)",354,365,0.012391407251886973
org.jfree.data.general.Series,getNotify(),176,186,0.012389650887376393
org.jfree.data.xy.XYDataItem,hashCode(),244,254,0.012389378941828108
org.jfree.data.general.Series,hashCode(),272,283,0.012389376889725297
org.jfree.data.time.TimeSeries,"add(TimeSeriesDataItem,boolean)",481,550,0.0003565097943785419
org.jfree.data.time.TimeSeries,"addOrUpdate(RegularTimePeriod,Number)",680,727,0.00033200164150271614
