File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.cli.Parser,"processOption(String,ListIterator)",374,431,0.020127254262870244
org.apache.commons.cli.Parser,"parse(Options,String[],Properties,boolean)",130,242,0.020054471644138327
org.apache.commons.cli.Parser,"processArgs(Option,ListIterator)",328,372,0.019948322984378417
org.apache.commons.cli.OptionValidator,validateOption(String),26,77,0.01731495601403049
org.apache.commons.cli.Options,getOption(String),204,221,0.017208473648123154
org.apache.commons.cli.OptionBuilder,withValueSeparator(char),149,172,0.016960711730604778
org.apache.commons.cli.OptionBuilder,withValueSeparator(),174,195,0.016960711730604778
org.apache.commons.cli.Parser,processProperties(Properties),244,295,0.01681175582791094
org.apache.commons.cli.Parser,"parse(Options,String[])",73,87,0.016548004718783
org.apache.commons.cli.GnuParser,"flatten(Options,String[],boolean)",33,110,0.016444077664321446
org.apache.commons.cli.Parser,"parse(Options,String[],Properties)",89,106,0.016038622798140383
org.apache.commons.cli.Options,addOption(Option),144,172,0.015707928894222987
org.apache.commons.cli.MissingArgumentException,MissingArgumentException(String),29,38,0.015657322623447694
org.apache.commons.cli.Option,processValue(String),415,463,0.015479495358049284
org.apache.commons.cli.Option,getKey(),154,168,0.015411377641096022
org.apache.commons.cli.CommandLine,resolveOption(String),162,184,0.015248393385531618
org.apache.commons.cli.Parser,"parse(Options,String[],boolean)",108,128,0.01523682914923879
org.apache.commons.cli.Option,getOpt(),170,183,0.015209795258521012
org.apache.commons.cli.CommandLine,addOption(Option),284,293,0.015202426102337747
org.apache.commons.cli.Options,helpOptions(),184,192,0.01510228076239345
org.apache.commons.cli.Options,"addOption(String,String,boolean,String)",126,142,0.015038522741126187
org.apache.commons.cli.ParseException,ParseException(String),28,37,0.014942194587827579
org.apache.commons.cli.Option,hasOptionalArg(),236,242,0.014890286221693024
org.apache.commons.cli.Util,stripLeadingHyphens(String),26,49,0.014690137861113096
org.apache.commons.cli.Option,clearValues(),656,665,0.014591590745930864
org.apache.commons.cli.OptionValidator,isValidOpt(char),79,89,0.014519146400468412
org.apache.commons.cli.Option,hasArg(),254,262,0.014490161844216067
org.apache.commons.cli.Option,hasArgName(),324,334,0.014421666129575347
org.apache.commons.cli.Option,hasLongOpt(),244,252,0.014407917584170381
org.apache.commons.cli.OptionValidator,isValidChar(char),91,100,0.014397334915730333
org.apache.commons.cli.Option,isRequired(),284,292,0.014288937217992126
org.apache.commons.cli.Option,getValues(),533,544,0.014285297772999013
org.apache.commons.cli.Options,getRequiredOptions(),194,202,0.014268501515875642
org.apache.commons.cli.Options,hasOption(String),223,236,0.014243476545423885
org.apache.commons.cli.Option,getLongOpt(),205,213,0.014233332435081542
org.apache.commons.cli.Option,hasNoValues(),592,600,0.01421396188324604
org.apache.commons.cli.Option,addValueForProcessing(String),398,413,0.014203900008865802
org.apache.commons.cli.CommandLine,getOptionValues(String),143,160,0.01419417886483744
org.apache.commons.cli.Options,getOptionGroup(Option),238,249,0.014174797032136083
org.apache.commons.cli.Option,add(String),465,484,0.014156436411326117
org.apache.commons.cli.CommandLine,iterator(),295,304,0.014129169120623914
org.apache.commons.cli.OptionBuilder,create(String),340,372,0.014109144382199325
org.apache.commons.cli.Parser,setOptions(Options),45,48,0.014063542844099585
org.apache.commons.cli.Parser,getOptions(),50,52,0.013976667988258092
org.apache.commons.cli.CommandLine,getOptionValue(String),117,129,0.013849150956867055
org.apache.commons.cli.Option,hashCode(),628,634,0.013716620826708936
