File,Signature,StartLine,EndLine,Suspiciousness
com.google.javascript.jscomp.JsMessageVisitor,"visit(NodeTraversal,Node,Node)",195,314,0.0010872850059827396
com.google.javascript.jscomp.JsMessageVisitor,"checkIfMessageDuplicated(String,Node)",353,367,0.000993984648116532
com.google.javascript.jscomp.CommandLineRunner,createOptions(),805,865,0.0009936732808541262
com.google.javascript.jscomp.JsMessageVisitor,"process(Node,Node)",185,193,0.0009318554674132957
com.google.javascript.jscomp.JsMessageVisitor,"visitFallbackFunctionCall(NodeTraversal,Node)",793,822,0.0009270391779592655
com.google.javascript.jscomp.JsMessageVisitor,"trackMessage(NodeTraversal,JsMessage,String,Node,boolean)",316,336,0.0009257765585082111
com.google.javascript.jscomp.JsMessageVisitor,"getTrackedMessage(NodeTraversal,String)",338,351,0.0009069771778253187
com.google.javascript.jscomp.ReplaceMessages,"processJsMessage(JsMessage,JsMessageDefinition)",64,100,0.0009069771778253187
com.google.javascript.jscomp.JsMessageVisitor,"processMessageFallback(Node,JsMessage,JsMessage)",842,849,0.000883790854568577
com.google.javascript.jscomp.CheckSideEffects,"visit(NodeTraversal,Node,Node)",82,130,0.000872506543806178
com.google.javascript.jscomp.TypeValidator,"expectNotNullOrUndefined(NodeTraversal,Node,JSType,String,JSType)",259,292,0.0008699125179661527
com.google.javascript.jscomp.RhinoErrorReporter,RhinoErrorReporter(AbstractCompiler),85,124,0.0008598829200624178
com.google.javascript.jscomp.CoalesceVariableNames,"CoalesceVariableNames(AbstractCompiler,boolean)",75,85,0.0008509526288987999
com.google.javascript.jscomp.JsMessageVisitor,"extractFromCallNode(Builder,Node)",646,743,0.0008458385520637119
com.google.javascript.jscomp.VarCheck,"visit(NodeTraversal,Node,Node)",153,237,0.0008380831253555958
com.google.javascript.jscomp.PhaseOptimizer,"maybePrintAstHashcodes(String,Node)",222,229,0.0008266234954166592
com.google.javascript.jscomp.JSModuleGraph,"createEntryPointInputs(DependencyOptions,List<CompilerInput>,SortedDependencies<CompilerInput>)",434,480,0.0008054105436040495
com.google.javascript.jscomp.JsMessageVisitor,"isMessageName(String,boolean)",851,858,0.0007935724494614419
com.google.javascript.jscomp.TypeValidator,"expectCanAssignTo(NodeTraversal,Node,JSType,JSType,String)",401,419,0.0007900096228203224
com.google.javascript.jscomp.TypeValidator,"mismatch(String,Node,String,JSType,JSType)",700,705,0.0007891824578161752
com.google.javascript.jscomp.ProcessClosurePrimitives,"processBaseClassCall(NodeTraversal,Node)",430,536,0.0007891612085146082
com.google.javascript.jscomp.RenameProperties,"RenameProperties(AbstractCompiler,boolean,boolean,VariableMap)",163,176,0.0007860801605076326
com.google.javascript.jscomp.JsMessageVisitor,"extractMessageFromProperty(Builder,Node,Node)",411,427,0.0007847033830064702
com.google.javascript.jscomp.DependencyOptions,setEntryPoints(Collection<String>),100,118,0.0007839577852846461
com.google.javascript.jscomp.CrossModuleCodeMotion,"processReference(NodeTraversal,NamedInfo,String)",244,290,0.0007777632871619382
com.google.javascript.jscomp.DataFlowAnalysis,"computeEscaped(Scope,Set<Var>,AbstractCompiler)",535,578,0.0007675946528523895
com.google.javascript.rhino.jstype.JSTypeRegistry,"createFromTypeNodesInternal(Node,String,StaticScope<JSType>)",1581,1753,0.0007647888955003425
com.google.javascript.jscomp.TypeValidator,"mismatch(NodeTraversal,Node,String,JSType,JSTypeNative)",695,698,0.0007646131475629457
com.google.javascript.jscomp.RenameProperties,"RenameProperties(AbstractCompiler,boolean,boolean)",150,161,0.0007642569307614541
com.google.javascript.jscomp.TypeValidator,"mismatch(NodeTraversal,Node,String,JSType,JSType)",687,693,0.0007625475245949813
com.google.javascript.jscomp.TypeValidator,"expectActualObject(NodeTraversal,Node,JSType,String)",193,201,0.0007572600933795125
com.google.javascript.jscomp.CommandLineRunner,"initConfigFromFlags(String[],PrintStream)",710,803,0.00075646083256374
com.google.javascript.jscomp.CrossModuleMethodMotion,moveMethods(Collection<NameInfo>),90,203,0.0007547005931368382
com.google.javascript.jscomp.TypeValidator,"expectString(NodeTraversal,Node,JSType,String)",214,223,0.0007534928087548898
com.google.javascript.jscomp.TypeValidator,"expectNumber(NodeTraversal,Node,JSType,String)",225,234,0.0007534928087548898
com.google.javascript.jscomp.RemoveUnusedVars,interpretAssigns(),704,772,0.0007530772254152419
com.google.javascript.jscomp.TypeValidator,"expectObject(NodeTraversal,Node,JSType,String)",179,191,0.0007522726922363752
com.google.javascript.jscomp.TypeValidator,"expectBitwiseable(NodeTraversal,Node,JSType,String)",236,245,0.0007522726922363752
com.google.javascript.jscomp.TypeValidator,"expectAnyObject(NodeTraversal,Node,JSType,String)",203,212,0.000749883694090032
com.google.javascript.jscomp.TypeValidator,"expectStringOrNumber(NodeTraversal,Node,JSType,String)",247,257,0.000749883694090032
com.google.javascript.jscomp.OptimizeParameters,"tryEliminateConstantArgs(DefinitionSite,SimpleDefinitionFinder)",173,231,0.0007457050559075191
com.google.javascript.jscomp.JsMessage,getKey(),128,133,0.0007451726643568339
com.google.javascript.jscomp.JsMessageVisitor,isUnnamedMessageName(String),860,865,0.0007448940403675783
com.google.javascript.jscomp.NameAnalyzer,referenceAliases(),1329,1363,0.000744042070784691
com.google.javascript.jscomp.CrossModuleCodeMotion,makeInstanceOfCodeOrderIndependent(),444,488,0.0007405905271396151
com.google.javascript.jscomp.JsMessageVisitor,"extractMessageFromVariable(Builder,Node,Node,Node)",369,409,0.000740363802443757
