File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.codec.binary.StringUtils,newStringIso8859_1(byte[]),326,340,0.09961750535648148
org.apache.commons.codec.binary.StringUtils,"newString(byte[],String)",296,324,0.04596164078830684
org.apache.commons.codec.binary.StringUtils,newStringUsAscii(byte[]),342,356,0.03995857024668159
org.apache.commons.codec.binary.StringUtils,"newString(byte[],Charset)",279,294,0.03968792187660203
org.apache.commons.codec.binary.StringUtils,"getBytesUnchecked(String,String)",154,182,0.0395801776598438
org.apache.commons.codec.binary.StringUtils,getBytesIso8859_1(String),135,151,0.03929704942995524
org.apache.commons.codec.binary.StringUtils,getByteBufferUtf8(String),117,133,0.039038116072278216
org.apache.commons.codec.binary.StringUtils,getBytesUsAscii(String),184,200,0.039038116072278216
org.apache.commons.codec.binary.StringUtils,getBytesUtf16(String),202,218,0.039038116072278216
org.apache.commons.codec.binary.StringUtils,getBytesUtf16Be(String),220,236,0.039038116072278216
org.apache.commons.codec.binary.StringUtils,getBytesUtf16Le(String),238,254,0.039038116072278216
org.apache.commons.codec.binary.StringUtils,getBytesUtf8(String),256,272,0.039038116072278216
org.apache.commons.codec.binary.StringUtils,"getBytes(String,Charset)",84,98,0.03889626631350084
org.apache.commons.codec.binary.StringUtils,"getByteBuffer(String,Charset)",100,115,0.03889626631350084
org.apache.commons.codec.binary.StringUtils,newStringUtf16(byte[]),358,372,0.03889063497061967
org.apache.commons.codec.binary.StringUtils,newStringUtf16Be(byte[]),374,388,0.03889063497061967
org.apache.commons.codec.binary.StringUtils,newStringUtf16Le(byte[]),390,404,0.03889063497061967
org.apache.commons.codec.binary.StringUtils,newStringUtf8(byte[]),406,420,0.03889063497061967
org.apache.commons.codec.binary.StringUtils,"equals(CharSequence,CharSequence)",41,82,0.038837996118010726
org.apache.commons.codec.binary.StringUtils,"newIllegalStateException(String,UnsupportedEncodingException)",274,277,0.038497728729258544
org.apache.commons.codec.Charsets,toCharset(String),77,88,0.038462949549089256
org.apache.commons.codec.Charsets,toCharset(Charset),66,75,0.03830868017055643
org.apache.commons.codec.binary.Base64,"decode(byte[],int,int,Context)",404,485,0.004000562225612656
org.apache.commons.codec.binary.Base64,encodeBase64String(byte[]),558,571,0.003158786098166448
org.apache.commons.codec.binary.Base64,"encode(byte[],int,int,Context)",311,402,0.0030170855255261977
org.apache.commons.codec.net.RFC1522Codec,decodeText(String),110,156,0.0030116310456966802
org.apache.commons.codec.net.RFC1522Codec,"encodeText(String,Charset)",53,82,0.0029219009292750443
org.apache.commons.codec.digest.Crypt,"crypt(String,String)",95,152,0.0028307034442659027
org.apache.commons.codec.binary.Base64,isBase64(String),514,526,0.002570769852741774
org.apache.commons.codec.binary.BaseNCodec,isInAlphabet(String),493,504,0.002570769852741774
org.apache.commons.codec.digest.DigestUtils,"updateDigest(MessageDigest,String)",931,950,0.0025587497176485204
org.apache.commons.codec.digest.Sha2Crypt,"sha2Crypt(byte[],String,String,int,String)",108,507,0.0024592848779092353
org.apache.commons.codec.binary.Base64,"Base64(int,byte[],boolean)",247,299,0.0024487589804870788
org.apache.commons.codec.digest.Md5Crypt,"md5Crypt(byte[],String,String)",164,301,0.0024117957816655773
org.apache.commons.codec.binary.Base32,"decode(byte[],int,int,Context)",313,413,0.0023964411379578995
org.apache.commons.codec.language.Metaphone,metaphone(String),82,336,0.002381694496442803
org.apache.commons.codec.cli.Digest,"run(String,MessageDigest)",112,132,0.0023571187573535823
org.apache.commons.codec.net.RFC1522Codec,"encodeText(String,String)",84,108,0.0023388464965699183
org.apache.commons.codec.binary.BaseNCodecInputStream,"read(byte,int,int)",108,169,0.0023161469500796675
org.apache.commons.codec.net.QuotedPrintableCodec,"encode(String,Charset)",559,578,0.002286481304577676
org.apache.commons.codec.net.QuotedPrintableCodec,"encode(String,String)",580,600,0.002286481304577676
org.apache.commons.codec.net.URLCodec,"encode(String,String)",213,229,0.0022349432754820357
org.apache.commons.codec.net.URLCodec,"decode(String,String)",255,274,0.0022349432754820357
org.apache.commons.codec.net.QuotedPrintableCodec,"decode(String,String)",452,471,0.0022349432754820357
org.apache.commons.codec.language.bm.Lang,"loadFromResource(String,Languages)",117,185,0.0022285394319659416
org.apache.commons.codec.binary.Base32,"Base32(int,byte[],boolean,byte)",258,311,0.0022059787272356167
org.apache.commons.codec.net.QuotedPrintableCodec,"decode(String,Charset)",432,450,0.0021914940101328923
org.apache.commons.codec.digest.HmacUtils,hmac(String),972,981,0.0021682517282336244
org.apache.commons.codec.language.MatchRatingApproachEncoder,getFirst3Last3(String),147,168,0.002163413173917033
org.apache.commons.codec.language.bm.Rule,createScanner(String),272,281,0.002156357245590057
org.apache.commons.codec.binary.BaseNCodecInputStream,mark(int),67,76,0.0021485500249952393
org.apache.commons.codec.digest.DigestUtils,DigestUtils(String),987,1001,0.0021235928348127195
org.apache.commons.codec.language.MatchRatingApproachEncoder,encode(Object),97,115,0.002114271857157033
org.apache.commons.codec.language.AbstractCaverphone,"isEncodeEqual(String,String)",63,78,0.0020985805920360136
org.apache.commons.codec.digest.Md5Crypt,"apr1Crypt(String,String)",108,127,0.0020915122054979817
org.apache.commons.codec.binary.BaseNCodecInputStream,reset(),171,182,0.0020903611866945806
org.apache.commons.codec.binary.Base64,isArrayByteBase64(byte[]),487,500,0.002080204399022382
org.apache.commons.codec.binary.Base64,isBase64(byte[]),528,545,0.002080204399022382
org.apache.commons.codec.binary.BaseNCodec,"isInAlphabet(byte[],boolean)",473,491,0.002080204399022382
org.apache.commons.codec.digest.DigestUtils,md2(String),293,303,0.002062384644340704
org.apache.commons.codec.digest.DigestUtils,md5(String),368,377,0.002062384644340704
org.apache.commons.codec.digest.DigestUtils,sha1(String),483,492,0.002062384644340704
