File,Signature,StartLine,EndLine,Suspiciousness
com.google.gson.TypeInfoFactory,"getActualType(Type,Type,Class<?>)",58,107,0.01114173566513095
com.google.gson.FieldAttributes,getDeclaredClass(),117,135,0.0073376922286771
com.google.gson.FieldAttributes,getDeclaredType(),94,115,0.006549975935670553
com.google.gson.Gson,"toJson(Object,Type)",254,273,0.006189969753640296
com.google.gson.Gson,"toJsonTree(Object,Type)",209,232,0.006130746602016398
com.google.gson.Gson,toJson(Object),234,252,0.006006553886798922
com.google.gson.Gson,Gson(),116,155,0.005636119605718156
com.google.gson.ObjectNavigator,accept(Visitor),97,139,0.005561703104024609
com.google.gson.MappedObjectConstructor,constructWithNoArgConstructor(Type),60,78,0.005474028668978977
com.google.gson.JsonSerializationVisitor,visitUsingCustomHandler(ObjectTypePair),151,169,0.005280326147892467
com.google.gson.JsonSerializationVisitor,findAndInvokeCustomSerializer(ObjectTypePair),171,190,0.005275353338271281
com.google.gson.TypeInfoFactory,"getTypeInfoForField(Field,Type)",43,56,0.0052567967172403715
com.google.gson.ObjectNavigator,"navigateClassFields(Object,Class<?>,Visitor)",147,168,0.005239619318873319
com.google.gson.Gson,"Gson(ExclusionStrategy,ExclusionStrategy,FieldNamingStrategy2,MappedObjectConstructor,boolean,ParameterizedTypeHandlerMap<JsonSerializer<?>>,ParameterizedTypeHandlerMap<JsonDeserializer<?>>,boolean,boolean,boolean)",157,172,0.005220484346805285
com.google.gson.MappedObjectConstructor,getNoArgsConstructor(Type),80,92,0.0052127613482830055
com.google.gson.Gson,"fromJson(String,Type)",404,429,0.005163361188764526
com.google.gson.Gson,"fromJson(JsonElement,Type)",513,541,0.005125164933904634
com.google.gson.Gson,"fromJson(Reader,Type)",454,474,0.005113150881225582
com.google.gson.ModifierBasedExclusionStrategy,shouldSkipField(FieldAttributes),41,48,0.005098063805882402
com.google.gson.MemoryRefStack,contains(ObjectTypePair),67,86,0.005090157733410269
com.google.gson.JsonSerializationContextDefault,"serialize(Object,Type,boolean)",52,58,0.005053705036720753
com.google.gson.FieldAttributes,getMaxCacheSize(),69,78,0.005035958721416707
