File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.core.filter.FilteringParserDelegate,getText(),823,823,0.002866600761794848
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_getText2(JsonToken),347,363,0.0027589734770150738
com.fasterxml.jackson.core.filter.FilteringParserDelegate,nextToken(),226,454,0.002476369683085137
com.fasterxml.jackson.core.filter.FilteringParserDelegate,"FilteringParserDelegate(JsonParser,TokenFilter,boolean,boolean)",114,124,0.0022775568116822713
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_handleOddValue(int),1832,1894,0.0022319522029659025
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser,_handleUnexpectedValue(int),1987,2044,0.0019391418255551886
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextFieldName(),867,963,0.0019043910000075355
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextFieldName(SerializableString),791,865,0.0018974374481287677
com.fasterxml.jackson.core.filter.FilteringParserDelegate,_nextToken2(),456,612,0.001885201429631617
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser,nextFieldName(),748,842,0.0018720543828774701
com.fasterxml.jackson.core.JsonGenerator,copyCurrentStructure(JsonParser),1783,1845,0.0018694080076675198
com.fasterxml.jackson.core.JsonParser,readValueAs(Class<T>),1701,1724,0.0018575540070864774
com.fasterxml.jackson.core.JsonParser,readValueAs(TypeReference<?>),1726,1747,0.0018575540070864774
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser,nextToken(),552,671,0.001835862271485428
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,nextToken(),626,757,0.001835862271485428
com.fasterxml.jackson.core.filter.FilteringParserDelegate,_nextTokenWithBuffering(TokenFilterContext),614,744,0.0018207258414344235
com.fasterxml.jackson.core.JsonFactory,_requireJSONFactory(String),1601,1620,0.0017866984382693312
com.fasterxml.jackson.core.filter.TokenFilterContext,closeObject(JsonGenerator),246,255,0.0017733486336150898
com.fasterxml.jackson.core.util.JsonParserDelegate,JsonParserDelegate(JsonParser),25,27,0.0017699102258872273
com.fasterxml.jackson.core.filter.TokenFilterContext,closeArray(JsonGenerator),235,244,0.0017482535256163687
com.fasterxml.jackson.core.JsonFactory,createJsonParser(InputStream),1026,1050,0.0017481594389044263
com.fasterxml.jackson.core.JsonFactory,createParser(InputStream),800,824,0.0017481594108621084
com.fasterxml.jackson.core.JsonGenerator,writeRaw(SerializableString),1073,1094,0.0017442250111813179
com.fasterxml.jackson.core.filter.TokenFilterContext,createRootContext(TokenFilter),98,101,0.0017378033965595187
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,"ReaderBasedJsonParser(IOContext,int,Reader,ObjectCodec,CharsToNameCanonicalizer,char[],int,int,boolean)",107,127,0.0017369354803604916
com.fasterxml.jackson.core.filter.FilteringParserDelegate,skipChildren(),786,815,0.0017233487359637374
com.fasterxml.jackson.core.base.ParserMinimalBase,skipChildren(),223,252,0.0017233487359637374
com.fasterxml.jackson.core.JsonFactory,_getBufferRecycler(),1528,1551,0.0017203252938464012
com.fasterxml.jackson.core.JsonGenerator,copyCurrentEvent(JsonParser),1699,1781,0.001719519173821048
com.fasterxml.jackson.core.JsonParser,JsonParser(),346,346,0.0017193203738676069
com.fasterxml.jackson.core.JsonGenerator,getOutputBuffered(),576,596,0.001717998080036736
com.fasterxml.jackson.core.filter.TokenFilterContext,writePath(JsonGenerator),150,176,0.0017171515699753127
com.fasterxml.jackson.core.filter.TokenFilterContext,writeImmediatePath(JsonGenerator),178,205,0.0017171515699753127
com.fasterxml.jackson.core.filter.TokenFilterContext,_writePath(JsonGenerator),207,233,0.0017171515699753127
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,_nextTokenNotInObject(int),1069,1124,0.0017161128437842962
com.fasterxml.jackson.core.filter.TokenFilter,includeEmbeddedValue(Object),326,333,0.001716024744823174
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,getText(),265,283,0.0017157574610299079
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,"writeBinary(Base64Variant,InputStream,int)",610,642,0.0017133048486202486
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"writeBinary(Base64Variant,InputStream,int)",829,861,0.0017133048486202486
com.fasterxml.jackson.core.filter.TokenFilter,filterFinishObject(),96,102,0.0017123720122151154
com.fasterxml.jackson.core.JsonFactory,createParser(String),885,903,0.001711610755314836
