File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,nextTextValue(),596,693,0.01712992628006797
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,nextToken(),452,588,0.01275808670043986
com.fasterxml.jackson.dataformat.xml.XmlMapper,getFactory(),139,142,0.011180320957146337
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_next(),303,348,0.011060383247372886
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(Reader,IOContext)",551,567,0.010439229914686954
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getValueAsString(String),745,786,0.010122663830606124
com.fasterxml.jackson.dataformat.xml.XmlFactory,createParser(XMLStreamReader),482,506,0.009964269052000447
com.fasterxml.jackson.dataformat.xml.XmlFactory,createParser(String),418,432,0.009894949440916102
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,next(),156,167,0.00955236139276577
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"createChildObjectContext(int,int)",97,106,0.009531895691671422
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getCurrentName(),317,337,0.009344991793409346
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(ObjectCodec,int,int,XMLInputFactory,XMLOutputFactory,String)",104,123,0.009192912290188144
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,isExpectedStartArrayToken(),396,425,0.009177198476786934
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getText(),723,737,0.00911370751315041
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_collectUntilTag(),350,372,0.009006942275760751
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,getText(),179,179,0.008697394049219861
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_initStartElement(),396,427,0.008593176197714308
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,skipAttributes(),240,263,0.008586943357911114
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,setCurrentName(String),130,132,0.008529522524203617
com.fasterxml.jackson.dataformat.xml.XmlFactory,_initializeXmlReader(XMLStreamReader),647,654,0.008432393057545414
com.fasterxml.jackson.dataformat.xml.XmlFactory,XmlFactory(),74,84,0.008425044282351114
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(ObjectCodec,XMLInputFactory,XMLOutputFactory)",98,102,0.008425044282351114
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_initFactories(XMLInputFactory,XMLOutputFactory)",138,144,0.008425044282351114
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"createRootContext(int,int)",78,80,0.008420656131201566
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,overrideCurrentName(String),339,348,0.008392807754024185
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,toString(),498,514,0.008366907415273786
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,getLocalName(),180,180,0.008332282536364904
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getBinaryValue(Base64Variant),827,845,0.00826603278627681
com.fasterxml.jackson.dataformat.xml.XmlMapper,XmlMapper(),48,50,0.008144934946920136
com.fasterxml.jackson.dataformat.xml.XmlMapper,XmlMapper(XmlFactory),66,68,0.008144934942123793
com.fasterxml.jackson.dataformat.xml.XmlFactory,readResolve(),180,204,0.008074619984205776
com.fasterxml.jackson.dataformat.xml.XmlMapper,"XmlMapper(XmlFactory,JacksonXmlModule)",74,87,0.008057660207970514
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,close(),350,367,0.007996645291643326
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,convertToString(),265,295,0.007750746330978259
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeString(String),574,609,0.007750746224607779
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeString(char[],int,int)",611,644,0.007750746224607779
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_handleEndElement(),468,484,0.0076466169644792345
com.fasterxml.jackson.dataformat.xml.XmlFactory,"XmlFactory(XmlFactory,ObjectCodec)",125,136,0.007643082283513498
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(InputStream,IOContext)",533,549,0.007643082283513498
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(char[],int,int,IOContext,boolean)",569,588,0.007643082283513498
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createParser(byte[],int,int,IOContext)",590,606,0.007643082283513498
com.fasterxml.jackson.dataformat.xml.XmlMapper,setXMLTextElementName(String),107,117,0.00763680298291811
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,_skipUntilTag(),374,388,0.007534199842012416
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getTokenLocation(),377,385,0.0074722161361236526
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getCurrentLocation(),387,394,0.0074722161361236526
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,addVirtualWrapping(Set<String>),281,309,0.007449574554867043
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,_handleEOF(),916,927,0.007373309977432966
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,skipEndElement(),169,175,0.007333923112248638
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getStaxReader(),261,273,0.007306015012442643
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(BigDecimal),950,994,0.007279371496662756
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,_releaseBuffers(),935,941,0.007273083672620414
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,getTokenLocation(),207,209,0.0072634398004944
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,_updateState(JsonToken),696,715,0.0072634398004944
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,setXMLTextElementName(String),191,196,0.007254091143838029
com.fasterxml.jackson.dataformat.xml.XmlFactory,setXMLTextElementName(String),234,239,0.007254091143838029
com.fasterxml.jackson.dataformat.xml.XmlFactory,getXMLTextElementName(),241,246,0.007254091143838029
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRaw(String),671,683,0.007254091143838029
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRaw(String,int,int)",685,697,0.007254091143838029
com.fasterxml.jackson.dataformat.xml.XmlFactory,hasXMLFormat(InputAccessor),676,772,0.0072275181365405155
com.fasterxml.jackson.dataformat.xml.XmlMapper,"readValue(XMLStreamReader,JavaType)",202,214,0.0072275181365405155
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeBinary(Base64Variant,byte[],int,int)",725,759,0.007184246272017529
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getTextCharacters(),788,792,0.007161788259687597
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getTextLength(),794,798,0.007161788259687597
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,_decodeBase64(Base64Variant),847,854,0.007161788259687597
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeString(SerializableString),646,649,0.007161788259687597
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRawUTF8String(byte[],int,int)",651,656,0.007161788259687597
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeUTF8String(byte[],int,int)",658,663,0.007161788259687597
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_handleEndObject(),539,560,0.007143342852699545
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,hasTextCharacters(),805,813,0.007119181106672924
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"writeRaw(char[],int,int)",699,711,0.007119181106672924
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"overrideFormatFeatures(int,int)",249,253,0.007095778529138521
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,getCurrentName(),114,115,0.007071532305651617
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,getNamesToWrap(),155,157,0.007068645413085729
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,_isEmpty(String),953,964,0.0070415917887774624
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,enable(Feature),215,218,0.007034378455809036
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,disable(Feature),220,223,0.007034378455809036
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"configure(Feature,boolean)",229,236,0.007034378455809036
com.fasterxml.jackson.dataformat.xml.XmlFactory,getFormatReadFeatureType(),402,405,0.007034378455809036
com.fasterxml.jackson.dataformat.xml.XmlFactory,_initializeXmlWriter(XMLStreamWriter),639,645,0.007034378455809036
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,getParent(),117,118,0.007033581876832782
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,getTextOffset(),800,803,0.007030962367893886
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_reportUnimplementedStax2(String),1139,1150,0.00702921085368889
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,getCurrentToken(),177,177,0.007019983262025773
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,hasAttributes(),182,184,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeBoolean(boolean),780,807,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNull(),809,835,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(int),837,864,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(long),866,892,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(double),894,920,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(float),922,948,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeNumber(BigInteger),996,1027,0.006993871704783059
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,setNextIsAttribute(boolean),344,347,0.00690944641585354
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeEndObject(),507,521,0.00690944641585354
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,handleMissingName(),1135,1137,0.00690944641585354
com.fasterxml.jackson.dataformat.xml.XmlFactory,getFormatName(),361,371,0.006885545634852416
com.fasterxml.jackson.dataformat.xml.XmlFactory,"_createGenerator(Writer,IOContext)",608,613,0.006822538912951825
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeRepeatedFieldName(),423,433,0.006822538912951825
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,closeCompletely(),186,193,0.006809067107392348
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,toString(),169,199,0.006768711492610957
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,writeFieldName(String),445,454,0.006768711492610957
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,_verifyValueWrite(String),1041,1048,0.006768711492610957
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,repeatStartElement(),217,238,0.006766942596475078
