File,Signature,StartLine,EndLine,Suspiciousness
org.jsoup.nodes.Element,child(int),251,264,0.004555457872289945
org.jsoup.nodes.Attribute,getValue(),75,81,0.004510039734625623
org.jsoup.nodes.Attribute,"Attribute(String,String,Attributes)",36,49,0.004469670398694114
org.jsoup.nodes.Element,childElementsList(),278,297,0.00430138217124425
org.jsoup.nodes.FormElement,formData(),73,112,0.004072883573978995
org.jsoup.nodes.Node,absUrl(String),159,190,0.0040661492206383095
org.jsoup.nodes.Element,className(),1236,1243,0.004046047346576514
org.jsoup.nodes.Element,attributes(),98,103,0.00398425035596532
org.jsoup.nodes.LeafNode,attr(String),41,48,0.003948505274919378
org.jsoup.nodes.Node,attr(String),43,69,0.003948505274919378
org.jsoup.nodes.LeafNode,"attr(String,String)",50,59,0.0038549401252862313
org.jsoup.nodes.LeafNode,hasAttr(String),61,65,0.0038549401252862313
org.jsoup.nodes.LeafNode,removeAttr(String),67,71,0.0038549401252862313
org.jsoup.nodes.Element,"attr(String,String)",185,194,0.0038549401252862313
org.jsoup.nodes.Element,"attr(String,boolean)",196,209,0.0038549401252862313
org.jsoup.nodes.Node,"attr(String,String)",77,88,0.0038549401252862313
org.jsoup.nodes.Node,hasAttr(String),90,104,0.0038549401252862313
org.jsoup.nodes.Node,removeAttr(String),106,115,0.0038549401252862313
org.jsoup.nodes.Comment,asXmlDeclaration(),70,84,0.0037804072464609926
org.jsoup.nodes.DocumentType,has(String),106,108,0.003763837444092922
org.jsoup.nodes.Element,hasClass(String),1274,1321,0.003763837444092922
org.jsoup.parser.TreeBuilder,"processStartTag(String,Attributes)",73,80,0.003763837444092922
org.jsoup.nodes.DocumentType,"DocumentType(String,String,String)",22,38,0.0036656337158237026
org.jsoup.nodes.DocumentType,"DocumentType(String,String,String,String)",40,55,0.0036656337158237026
org.jsoup.nodes.DocumentType,"DocumentType(String,String,String,String,String)",57,72,0.0036656337158237026
org.jsoup.nodes.Element,hasAttributes(),93,96,0.0036517008695888704
org.jsoup.Jsoup,"isValid(String,Whitelist)",240,251,0.0036508264585352673
org.jsoup.nodes.Element,"Element(Tag,String,Attributes)",56,72,0.003638590506543319
org.jsoup.nodes.Document,body(),71,77,0.0036241474715777806
org.jsoup.nodes.Document,"findFirstElementByTagName(String,Node)",182,194,0.0035868437847113004
org.jsoup.nodes.FormElement,submit(),55,71,0.0035703170946044514
org.jsoup.nodes.Document,nodeName(),212,215,0.003533514921154847
org.jsoup.parser.ParseSettings,"ParseSettings(boolean,boolean)",28,36,0.0035155850751345573
org.jsoup.parser.HtmlTreeBuilder,"inSpecificScope(String[],String[],String[])",469,486,0.00350113557255125
org.jsoup.parser.ParseSettings,normalizeAttributes(Attributes),58,63,0.003483547104887603
org.jsoup.nodes.Document,ensureMetaCharsetElement(),295,363,0.003469866426667912
org.jsoup.nodes.Element,select(String),351,373,0.003468431716038727
org.jsoup.parser.Tokeniser,"consumeCharacterReference(Character,boolean)",132,205,0.003460331381896133
org.jsoup.helper.Validate,"isFalse(boolean,String)",57,65,0.0034603140648872327
org.jsoup.nodes.Node,Node(),22,26,0.003456432191940374
org.jsoup.helper.Validate,"notNull(Object,String)",19,27,0.003447245648793038
org.jsoup.nodes.Element,dataset(),211,226,0.00344678072305044
org.jsoup.helper.Validate,"isTrue(boolean,String)",38,46,0.003438022851083798
org.jsoup.parser.TreeBuilder,processStartTag(String),66,71,0.0034248454410400926
org.jsoup.parser.TreeBuilder,"parse(Reader,String,Parser)",45,49,0.003421768282242562
org.jsoup.parser.CharacterReader,"cacheString(char[],String[],int,int)",456,493,0.0034203650079864165
org.jsoup.parser.TreeBuilder,processEndTag(String),82,87,0.0034192872709935276
org.jsoup.nodes.Element,appendElement(String),487,498,0.003415976498629794
org.jsoup.nodes.Element,prependElement(String),500,511,0.003415976498629794
org.jsoup.nodes.Element,"getElementsByAttributeValueMatching(String,String)",922,936,0.003410344886425062
org.jsoup.nodes.Attribute,getKey(),51,57,0.0034071903574661713
org.jsoup.parser.TreeBuilder,"initialiseParse(Reader,String,Parser)",30,43,0.0034049936632848266
org.jsoup.Jsoup,"clean(String,String,Whitelist)",186,202,0.0033772780068168605
org.jsoup.Jsoup,"clean(String,Whitelist)",204,216,0.0033772780068168605
org.jsoup.nodes.Attribute,html(),98,111,0.003361928078453727
org.jsoup.helper.Validate,notEmpty(String),86,93,0.0033463140631784178
org.jsoup.parser.CharacterReader,matchesLetter(),411,416,0.0033430282035334896
org.jsoup.nodes.Node,setParentNode(Node),417,422,0.0033231317419690288
org.jsoup.nodes.Element,classNames(),1245,1257,0.003302781120248789
org.jsoup.Jsoup,parse(String),48,59,0.0032990696267368655
org.jsoup.nodes.Element,doClone(Node),1474,1483,0.003294061074211858
org.jsoup.nodes.Element,nodeName(),120,123,0.0032938623052253843
org.jsoup.parser.Parser,"parse(String,String)",97,108,0.0032878262606826237
org.jsoup.parser.CharacterReader,consumeTo(char),173,187,0.00327231618589603
org.jsoup.parser.HtmlTreeBuilder,"isSameFormattingElement(Element,Element)",616,622,0.003260866847418206
org.jsoup.parser.HtmlTreeBuilder,reconstructFormattingElements(),624,660,0.003260866847418206
org.jsoup.nodes.DocumentType,setPubSysKey(String),73,76,0.003258957218742942
org.jsoup.parser.CharacterReader,consumeToAnySorted(char),226,240,0.0032583691709734447
org.jsoup.nodes.Element,val(),1371,1380,0.0032577554387064264
org.jsoup.nodes.Entities,"load(EscapeMode,String,int)",314,354,0.0032567392745036358
org.jsoup.parser.Parser,"parseBodyFragment(String,String)",155,175,0.0032529745514573087
org.jsoup.nodes.Attribute,setKey(String),59,73,0.00323757821745794
org.jsoup.nodes.Element,"getElementsByAttributeValue(String,String)",856,865,0.00323757821745794
org.jsoup.nodes.Element,getElementsByAttribute(String),830,841,0.0032375781744563344
org.jsoup.nodes.Element,getElementsByAttributeStarting(String),843,854,0.0032375781744563344
org.jsoup.nodes.Element,"Element(Tag,String)",74,84,0.003213519072441183
org.jsoup.nodes.Element,empty(),611,618,0.003212380844334631
org.jsoup.nodes.Node,clearAttributes(),117,128,0.003210088700754242
org.jsoup.parser.HtmlTreeBuilder,inButtonScope(String),506,508,0.0032033133216331174
org.jsoup.nodes.Document,parser(Parser),588,597,0.0031972521801228943
org.jsoup.nodes.LeafNode,coreValue(),33,35,0.00319433050372561
org.jsoup.nodes.LeafNode,coreValue(String),37,39,0.00319433050372561
org.jsoup.nodes.Element,val(String),1382,1393,0.00319433050372561
org.jsoup.nodes.Element,ensureChildNodes(),86,91,0.003189779722085599
org.jsoup.parser.Parser,"unescapeEntities(String,boolean)",177,186,0.003186002978799356
org.jsoup.parser.Parser,Parser(TreeBuilder),20,28,0.0031828537773499485
org.jsoup.nodes.LeafNode,absUrl(String),73,77,0.0031750337381337033
org.jsoup.nodes.Attribute,"Attribute(String,String)",26,34,0.0031750337381337033
org.jsoup.nodes.Attribute,setValue(String),83,96,0.0031750337381337033
org.jsoup.nodes.Attribute,"createFromEncoded(String,String)",135,144,0.0031750337381337033
org.jsoup.nodes.Attribute,isDataAttribute(String),150,152,0.0031750337381337033
org.jsoup.nodes.Attribute,isBooleanAttribute(String),177,182,0.0031750337381337033
org.jsoup.nodes.Element,"getElementsByAttributeValueNot(String,String)",867,876,0.0031750337381337033
org.jsoup.nodes.Element,"getElementsByAttributeValueStarting(String,String)",878,887,0.0031750337381337033
org.jsoup.nodes.Element,"getElementsByAttributeValueEnding(String,String)",889,898,0.0031750337381337033
org.jsoup.nodes.Element,"getElementsByAttributeValueContaining(String,String)",900,909,0.0031750337381337033
org.jsoup.nodes.Element,"getElementsByAttributeValueMatching(String,Pattern)",911,920,0.0031750337381337033
org.jsoup.nodes.BooleanAttribute,BooleanAttribute(String),8,14,0.0031750337381337033
org.jsoup.nodes.Element,id(),176,183,0.0031739012323780025
org.jsoup.nodes.Element,classNames(Set<String>),1259,1272,0.0031739012323780025
org.jsoup.parser.Tokeniser,unescapeEntities(boolean),272,295,0.0031739012323780025
org.jsoup.parser.HtmlTreeBuilder,"inSpecificScope(String,String[],String[])",464,467,0.003167421990414751
org.jsoup.parser.HtmlTreeBuilder,"inScope(String,String[])",496,500,0.003167421990414751
org.jsoup.nodes.Element,normalName(),135,142,0.0031566172578863373
org.jsoup.nodes.Element,childNodeSize(),115,118,0.003153247765273401
org.jsoup.nodes.Node,childNode(int),194,201,0.0031516474876364525
org.jsoup.nodes.Element,shallowClone(),1468,1472,0.003150935882408304
org.jsoup.parser.Parser,getErrors(),79,85,0.0031480589503588728
org.jsoup.nodes.Element,nodelistChanged(),299,306,0.0031461917012063786
org.jsoup.nodes.Element,appendChild(Node),404,419,0.0031461917012063786
org.jsoup.nodes.Node,reparentChild(Node),467,469,0.0031461917012063786
org.jsoup.parser.Parser,settings(),92,94,0.0031406647074005613
org.jsoup.parser.CharacterReader,consume(),98,103,0.003135013171614609
org.jsoup.nodes.Attribute,isDataAttribute(),146,148,0.0031341108082986575
org.jsoup.nodes.Attribute,isBooleanAttribute(),170,175,0.0031341108082986575
org.jsoup.nodes.Attribute,equals(Object),184,191,0.0031341108082986575
org.jsoup.parser.CharacterReader,consumeTagName(),264,291,0.00313373800188477
org.jsoup.parser.ParseErrorList,"ParseErrorList(int,int)",14,17,0.0031297707742779348
org.jsoup.parser.ParseErrorList,noTracking(),27,29,0.0031297707742779348
org.jsoup.parser.Token,reset(StringBuilder),27,31,0.003127142067064144
org.jsoup.Jsoup,connect(String),61,74,0.003127070959299441
org.jsoup.parser.CharacterReader,current(),89,96,0.003125691528913003
org.jsoup.parser.CharacterReader,isEmpty(),76,83,0.0031221408872826404
org.jsoup.parser.CharacterReader,isEmptyNoBufferUp(),85,87,0.0031214422939843736
org.jsoup.nodes.Node,wrap(String),339,368,0.0031188632288814662
org.jsoup.parser.ParseSettings,normalizeTag(String),38,46,0.0031187821196281104
