File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.jxpath.ri.EvalContext,getValue(),229,236,0.004268454189197806
org.apache.commons.jxpath.ri.model.NodePointer,getValuePointer(),223,243,0.004190949765318699
org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,"equal(EvalContext,Expression,Expression)",42,83,0.004083977576409601
org.apache.commons.jxpath.ri.model.VariablePointer,equals(Object),269,282,0.003923055242711767
org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,"equal(Object,Object)",108,139,0.003859928176203768
org.apache.commons.jxpath.BasicVariables,"declareVariable(String,Object)",65,74,0.003821778013738496
org.apache.commons.jxpath.BasicVariables,isDeclaredVariable(String),34,44,0.003691026175348844
org.apache.commons.jxpath.BasicVariables,getVariable(String),46,63,0.003691026175348844
org.apache.commons.jxpath.BasicVariables,undeclareVariable(String),76,83,0.003691026175348844
org.apache.commons.jxpath.AbstractFactory,"createObject(JXPathContext,Pointer,Object,String,int)",34,59,0.003691026175348844
org.apache.commons.jxpath.AbstractFactory,"declareVariable(JXPathContext,String)",61,72,0.003691026175348844
org.apache.commons.jxpath.ri.model.VariablePointer,getBaseValue(),64,69,0.003691026175348844
org.apache.commons.jxpath.ri.model.VariablePointer,setValue(Object),87,99,0.003691026175348844
org.apache.commons.jxpath.ri.model.VariablePointer,createPath(JXPathContext),148,160,0.003691026175348844
org.apache.commons.jxpath.ri.model.VariablePointer,"createCollection(JXPathContext,int)",201,227,0.003691026175348844
org.apache.commons.jxpath.ri.model.VariablePointer,remove(),229,247,0.003691026175348844
org.apache.commons.jxpath.ri.model.VariablePointer,findVariables(JXPathContext),249,261,0.003691026175348844
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,getVariablePointer(QName),621,642,0.003691026175348844
org.apache.commons.jxpath.ri.parser.XPathParser,PrimaryExpr(),925,1000,0.003691026175348844
org.apache.commons.jxpath.ri.parser.XPathParser,ArgumentList(),1035,1127,0.003691026175348844
org.apache.commons.jxpath.ri.parser.XPathParser,UnaryExpr(),1541,1620,0.003691026175348844
org.apache.commons.jxpath.ri.InfoSetUtil,booleanValue(Object),126,154,0.003691026175348844
org.apache.commons.jxpath.JXPathContext,getVariables(),473,484,0.003620823746310826
org.apache.commons.jxpath.util.BasicTypeConverter,"canConvert(Object,Class)",47,148,0.003542450598975282
org.apache.commons.jxpath.util.BasicTypeConverter,"convert(Object,Class)",150,276,0.003542450598975282
org.apache.commons.jxpath.ri.model.VariablePointer,"VariablePointer(Variables,QName)",43,48,0.003490071907921174
org.apache.commons.jxpath.ri.model.VariablePointer,VariablePointer(QName),50,54,0.003490071907921174
org.apache.commons.jxpath.ri.model.VariablePointer,getImmediateValuePointer(),110,128,0.003490071907921174
org.apache.commons.jxpath.ri.model.VariablePointer,hashCode(),263,267,0.003490071907921174
org.apache.commons.jxpath.ri.axes.RootContext,getVariableContext(QName),109,114,0.003490071907921174
org.apache.commons.jxpath.ri.EvalContext,getRootContext(),244,253,0.003490071907921174
org.apache.commons.jxpath.ri.compiler.TreeCompiler,variableReference(Object),100,102,0.003490071907921174
org.apache.commons.jxpath.ri.compiler.VariableReference,VariableReference(QName),32,34,0.003490071907921174
org.apache.commons.jxpath.ri.compiler.VariableReference,getVariableName(),36,38,0.003490071907921174
org.apache.commons.jxpath.ri.compiler.VariableReference,computeValue(EvalContext),56,61,0.003490071907921174
org.apache.commons.jxpath.ri.parser.XPathParser,VariableReference(),1664,1670,0.003490071907921174
org.apache.commons.jxpath.ri.parser.XPathParser,jj_3R_103(),3275,3281,0.003490071907921174
org.apache.commons.jxpath.ri.parser.Token,newToken(int),61,79,0.003490071907921174
org.apache.commons.jxpath.JXPathContext,setVariables(Variables),466,471,0.003490071907921174
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,setValue(Object),267,310,0.0032080434482742743
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getRelativePositionByName(),634,657,0.0032080434482742743
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getRelativePositionOfPI(String),709,729,0.0032080434482742743
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,setValue(Object),314,362,0.0032080434482742743
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"compareChildNodePointers(NodePointer,NodePointer)",131,184,0.003202035330190584
org.apache.commons.jxpath.util.ValueUtils,"remove(Object,int)",207,261,0.0031659811281835757
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"removeAll(String,Expression)",569,591,0.0031648636837598053
org.apache.commons.jxpath.servlet.KeywordVariables,isDeclaredVariable(String),38,40,0.0030954309812260107
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"testNode(NodePointer,Object,NodeTest)",345,394,0.0030319202531373223
org.apache.commons.jxpath.ri.model.NodePointer,testNode(NodeTest),329,363,0.0030319202531373223
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,"testNode(Node,NodeTest)",87,137,0.0030319202531373223
org.apache.commons.jxpath.ri.model.NodePointer,compareTo(Object),632,665,0.0030188761490315902
org.apache.commons.jxpath.ri.model.NodePointer,"compareNodePointers(NodePointer,int,NodePointer,int)",667,692,0.0030188761490315902
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer,"childIterator(NodeTest,boolean,NodePointer)",40,59,0.0030171110829879137
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"createChild(JXPathContext,QName,int)",475,506,0.0030171110829879137
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,"createChild(JXPathContext,QName,int)",364,394,0.0030171110829879137
org.apache.commons.jxpath.PackageFunctions,"getFunction(String,String,Object[])",88,211,0.0030096170285940057
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getValue(),238,265,0.0030096170285940057
org.apache.commons.jxpath.ri.NamespaceResolver,getPrefix(String),109,139,0.0030096170285940057
org.apache.commons.jxpath.ri.EvalContext,constructIterator(),159,183,0.0030041651425754597
org.apache.commons.jxpath.xml.DOMParser,parseXML(InputStream),33,50,0.0029610716955457196
org.apache.commons.jxpath.JXPathException,getException(),101,109,0.0029275901340386204
org.apache.commons.jxpath.ri.compiler.Path,searchForPath(EvalContext),161,209,0.0029003439232242164
org.apache.commons.jxpath.JXPathContext,selectSingleNode(String),626,639,0.002883360584738647
org.apache.commons.jxpath.ri.compiler.TreeCompiler,"equal(Object,Object)",86,90,0.002881392933201821
org.apache.commons.jxpath.ri.compiler.TreeCompiler,isNameAttributeTest(Expression),180,200,0.002881392933201821
org.apache.commons.jxpath.util.ValueUtils,getValue(Object),481,490,0.0028805640864990505
org.apache.commons.jxpath.xml.DocumentContainer,parseXML(InputStream),128,144,0.0028726867834755225
org.apache.commons.jxpath.xml.XMLParser2,setIgnoringElementContentWhitespace(boolean),65,70,0.0028726867834755225
org.apache.commons.jxpath.xml.XMLParser2,isIgnoringElementContentWhitespace(),72,77,0.0028726867834755225
org.apache.commons.jxpath.ri.model.beans.CollectionPointer,"childIterator(NodeTest,boolean,NodePointer)",162,173,0.0028677168376588682
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"childIterator(NodeTest,boolean,NodePointer)",77,83,0.0028677168376588682
org.apache.commons.jxpath.ri.model.NodePointer,"childIterator(NodeTest,boolean,NodePointer)",480,492,0.0028677168376588682
org.apache.commons.jxpath.ri.model.VariablePointer,"childIterator(NodeTest,boolean,NodePointer)",301,307,0.0028677168376588682
org.apache.commons.jxpath.ri.model.container.ContainerPointer,"childIterator(NodeTest,boolean,NodePointer)",117,123,0.0028677168376588682
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,"childIterator(NodeTest,boolean,NodePointer)",166,172,0.0028677168376588682
org.apache.commons.jxpath.util.ValueUtils,"expandCollection(Object,int)",173,205,0.002861193354581847
org.apache.commons.jxpath.util.ValueUtils,"setValue(Object,int,Object)",299,321,0.002861193354581847
org.apache.commons.jxpath.ri.compiler.CoreOperationCompare,"contains(Iterator,Object)",85,93,0.0028607961384333642
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer,"compareChildNodePointers(NodePointer,NodePointer)",152,158,0.0028602379565709287
org.apache.commons.jxpath.ri.compiler.CoreOperation,"parenthesize(Expression,boolean)",72,86,0.0028602379565709287
org.apache.commons.jxpath.JXPathContextFactory,"findFactory(String,String)",150,241,0.0028584395976333854
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,createNodeFactoryArray(),164,177,0.002809434026375628
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,isLeaf(),202,210,0.002744199273115838
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,addContent(List),312,339,0.002744199273115838
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,remove(),545,551,0.002744199273115838
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getRelativePositionOfElement(),659,682,0.002744199273115838
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getRelativePositionOfTextNode(),684,707,0.002744199273115838
org.apache.commons.jxpath.ri.model.NodePointer,getNode(),294,301,0.002744199273115838
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,asPath(),553,612,0.002733914169431623
org.apache.commons.jxpath.ri.model.dom.DOMNodePointer,asPath(),436,498,0.002733914169431623
org.apache.commons.jxpath.ri.compiler.Path,"createContextForStep(EvalContext,int,NodeTest)",249,297,0.002733914169431623
org.apache.commons.jxpath.ri.compiler.TreeCompiler,processingInstructionTest(String),147,149,0.002733914169431623
org.apache.commons.jxpath.ri.parser.XPathParser,NodeTest(ArrayList),597,760,0.002733914169431623
org.apache.commons.jxpath.ri.model.beans.BeanPointer,equals(Object),106,139,0.002727506937091467
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getNamespaceURI(Object),101,111,0.002727506937091467
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getName(),212,229,0.002727506937091467
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,"equalStrings(String,String)",396,403,0.002727506937091467
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer,getPrefix(Object),405,415,0.002727506937091467
