File,Signature,StartLine,EndLine,Suspiciousness
org.joda.time.DateTimeZone,getOffsetFromLocal(long),847,911,0.0024631666015710587
org.joda.time.DateTime,withZone(DateTimeZone),600,619,0.0015711303884773636
org.joda.time.DateTime,withZoneRetainFields(DateTimeZone),621,647,0.001571109227707527
org.joda.time.format.DateTimeFormatter,"printTo(StringBuffer,long,Chronology)",616,631,0.0015048866068357004
org.joda.time.base.AbstractInstant,toString(),417,425,0.0014880524540650448
org.joda.time.DateTime,"DateTime(int,int,int,int,int,int,int,DateTimeZone)",463,489,0.0014721498465851937
org.joda.time.DateTimeZone,getDefault(),120,162,0.001465509298424931
org.joda.time.chrono.BasicGJChronology,"setYear(long,int)",174,199,0.001460061058830236
org.joda.time.format.ISODateTimeFormat,dateTime(),944,960,0.0014491300434820525
org.joda.time.base.BaseDateTime,"BaseDateTime(int,int,int,int,int,int,int,DateTimeZone)",199,225,0.0014467957369909727
org.joda.time.DateTimeUtils,getInstantMillis(ReadableInstant),136,150,0.0014424285272239177
org.joda.time.base.AbstractInstant,equals(Object),239,269,0.0014363224248512272
org.joda.time.DateTimeZone,forID(String),187,224,0.0014332274674469906
org.joda.time.format.DateTimeFormatterBuilder,"appendFraction(DateTimeFieldType,int,int)",517,542,0.0014329344213225314
org.joda.time.format.ISODateTimeFormat,tTime(),906,923,0.0014327337532485523
org.joda.time.format.ISODateTimeFormat,time(),869,886,0.0014293022820908606
org.joda.time.chrono.ZonedChronology,localToUTC(long),134,148,0.0014218083605516212
org.joda.time.format.DateTimeFormatter,requirePrinter(),650,661,0.001421322713735349
org.joda.time.format.DateTimeFormatter,selectChronology(Chronology),928,943,0.0014077375338170232
org.joda.time.field.PreciseDurationDateTimeField,remainder(long),117,131,0.0014050207479216529
org.joda.time.tz.DateTimeZoneBuilder,"readFrom(DataInput,String)",102,125,0.0013991270035856119
org.joda.time.tz.ZoneInfoProvider,loadZoneData(String),217,242,0.0013934644818428205
org.joda.time.chrono.BasicMonthOfYearDateTimeField,"add(long,int)",76,147,0.001392568768527868
org.joda.time.tz.ZoneInfoProvider,getZone(String),127,163,0.0013915918887861165
org.joda.time.format.FormatUtils,"appendPaddedInteger(StringBuffer,int,int)",39,92,0.0013906824380117207
org.joda.time.format.DateTimeFormatterBuilder,append(DateTimeFormatter),201,213,0.0013864166427223496
org.joda.time.format.DateTimeFormatterBuilder,toFormatter(),88,117,0.0013854769863727093
org.joda.time.format.ISODateTimeFormat,fractionElement(),1690,1700,0.001384495213317467
org.joda.time.format.ISODateTimeFormat,hourMinuteSecondFraction(),1473,1491,0.001381867465894432
org.joda.time.format.DateTimeFormatterBuilder,"appendSignedDecimal(DateTimeFieldType,int,int)",435,462,0.0013813086314664479
org.joda.time.DateTimeUtils,getInstantChronology(ReadableInstant),153,172,0.0013797819194542923
org.joda.time.chrono.BasicChronology,getDayOfWeek(long),527,545,0.001377907468781653
org.joda.time.tz.DateTimeZoneBuilder,"readFrom(InputStream,String)",87,100,0.0013773244547375767
org.joda.time.DateTimeZone,forTimeZone(TimeZone),286,338,0.0013711317344185102
org.joda.time.tz.FixedDateTimeZone,equals(Object),87,99,0.0013704271077908206
org.joda.time.format.ISODateTimeFormat,date(),859,867,0.0013702438629478969
org.joda.time.tz.DateTimeZoneBuilder,"toDateTimeZone(String,boolean)",326,401,0.001368799055159317
org.joda.time.format.ISODateTimeFormat,yearMonthDay(),1351,1366,0.0013677168836392526
org.joda.time.format.DateTimeFormatter,"printTo(StringBuffer,ReadableInstant)",451,461,0.0013663318923845859
org.joda.time.format.ISODateTimeFormat,offsetElement(),1702,1709,0.0013656098381416948
org.joda.time.format.DateTimeFormatterBuilder,"appendDecimal(DateTimeFieldType,int,int)",383,410,0.001364418857490533
org.joda.time.DateTimeZone,getDefaultNameProvider(),520,549,0.0013631752280412746
org.joda.time.DateTimeZone,getDefaultProvider(),433,474,0.001363014009345054
org.joda.time.chrono.AssembledChronology,"getDateTimeMillis(int,int,int,int,int,int,int)",125,138,0.0013616246757855756
org.joda.time.tz.DateTimeZoneBuilder,"writeTo(String,OutputStream)",435,448,0.0013564029719784947
org.joda.time.format.DateTimeFormatterBuilder,"appendTimeZoneOffset(String,boolean,int,int)",1033,1055,0.001354153575765322
org.joda.time.format.ISODateTimeFormat,literalTElement(),1652,1659,0.0013537522895065428
org.joda.time.tz.DateTimeZoneBuilder,"writeTo(String,DataOutput)",450,475,0.001351522829668233
org.joda.time.chrono.ISOChronology,getInstance(DateTimeZone),89,113,0.0013481647931945517
org.joda.time.format.DateTimeFormatterBuilder,isParser(Object),1136,1144,0.0013474312716833952
org.joda.time.format.DateTimeFormatterBuilder,isPrinter(Object),1126,1134,0.0013472332426086998
org.joda.time.format.DateTimeFormatterBuilder,"appendFractionOfSecond(int,int)",544,560,0.0013376307345511322
org.joda.time.format.DateTimeFormatterBuilder,appendSecondOfMinute(int),640,648,0.0013358206377562009
org.joda.time.tz.CachedDateTimeZone,forZone(DateTimeZone),64,72,0.0013344071453296803
org.joda.time.DateTimeZone,setDefault(DateTimeZone),164,184,0.0013326415171703745
org.joda.time.format.ISODateTimeFormat,secondElement(),1680,1688,0.0013318669676538753
org.joda.time.format.ISODateTimeFormat,hourElement(),1661,1668,0.001331165883549289
org.joda.time.format.ISODateTimeFormat,minuteElement(),1670,1678,0.0013308121982859157
org.joda.time.DateTimeZone,DateTimeZone(String),683,694,0.0013278940083605263
org.joda.time.format.DateTimeFormatterBuilder,appendMinuteOfHour(int),660,668,0.001327744627784162
org.joda.time.chrono.ZonedChronology,"convertField(DateTimeField,HashMap<Object,Object>)",211,225,0.0013267983369975268
org.joda.time.format.DateTimeFormatterBuilder,appendHourOfDay(int),680,688,0.0013260339035618737
org.joda.time.chrono.BasicChronology,getMillisOfDay(long),547,557,0.001324386046719013
org.joda.time.format.DateTimeFormatterBuilder,appendMonthOfYear(int),772,780,0.0013233073947298162
org.joda.time.format.ISODateTimeFormat,dayOfMonthElement(),1603,1611,0.0013217439250385503
org.joda.time.format.ISODateTimeFormat,monthElement(),1593,1601,0.0013214683573831414
org.joda.time.format.DateTimeFormatterBuilder,appendDayOfMonth(int),730,738,0.0013214342705328978
org.joda.time.format.ISODateTimeFormat,yearElement(),1584,1591,0.0013202442209732357
org.joda.time.chrono.BasicChronology,"getDateTimeMillis(int,int,int,int,int,int,int)",162,182,0.0013202350850768454
org.joda.time.format.DateTimeFormatter,"DateTimeFormatter(DateTimePrinter,DateTimeParser)",98,116,0.001318732095078044
org.joda.time.chrono.ZonedChronology,"getDateTimeMillis(int,int,int,int,int,int,int)",114,122,0.0013183646814341652
org.joda.time.format.DateTimeFormatterBuilder,"append0(DateTimePrinter,DateTimeParser)",343,349,0.0013182664692395888
org.joda.time.format.DateTimeFormatterBuilder,"appendYear(int,int)",782,792,0.0013157786896589778
org.joda.time.tz.CachedDateTimeZone,CachedDateTimeZone(DateTimeZone),86,90,0.0013125376778656062
org.joda.time.chrono.BasicChronology,getYear(long),390,429,0.0013111465199692337
org.joda.time.chrono.GregorianChronology,"getInstance(DateTimeZone,int)",103,139,0.0013090339457287178
org.joda.time.chrono.ZonedChronology,"getInstance(Chronology,DateTimeZone)",47,67,0.0013077132542562207
org.joda.time.chrono.AssembledChronology,getZone(),105,111,0.0013042111951890429
org.joda.time.base.AbstractInstant,isEqual(ReadableInstant),404,414,0.001303143141426506
org.joda.time.format.DateTimeFormatterBuilder,DateTimeFormatterBuilder(),79,85,0.0013026459344394157
org.joda.time.DateTimeZone,"fixedOffsetZone(String,int)",341,366,0.0013019993054132165
org.joda.time.chrono.BasicChronology,getZone(),141,147,0.0013015296596420168
org.joda.time.format.DateTimeFormatter,print(ReadableInstant),571,584,0.0012962887725056862
org.joda.time.format.DateTimeFormatterBuilder,appendLiteral(char),352,360,0.0012962441565208271
org.joda.time.DateTime,now(DateTimeZone),92,105,0.0012950900309649112
org.joda.time.tz.ZoneInfoProvider,loadZoneInfoMap(InputStream),245,264,0.0012939132880134079
org.joda.time.format.DateTimeFormatter,getParser(),165,172,0.0012917260671217255
org.joda.time.format.DateTimeFormatter,getPrinter(),147,154,0.0012911088159855558
org.joda.time.tz.DefaultNameProvider,"getNameSet(Locale,String,String)",52,96,0.0012890594292310847
org.joda.time.chrono.ISOChronology,assemble(Fields),168,180,0.001288351809324901
org.joda.time.base.AbstractDateTime,toCalendar(Locale),252,277,0.0012861111610094043
org.joda.time.base.BaseDateTime,"BaseDateTime(int,int,int,int,int,int,int,Chronology)",227,257,0.0012846359982338065
org.joda.time.DateTime,DateTime(DateTimeZone),158,169,0.0012843157409139902
org.joda.time.chrono.BasicMonthOfYearDateTimeField,get(long),63,73,0.001284122060563666
org.joda.time.tz.FixedDateTimeZone,"FixedDateTimeZone(String,String,int,int)",36,42,0.0012818058920912765
org.joda.time.base.BaseDateTime,BaseDateTime(DateTimeZone),64,74,0.0012813291475285019
org.joda.time.DateTime,now(),81,90,0.0012802069496699476
org.joda.time.tz.CachedDateTimeZone,createInfo(long),159,175,0.0012774962879462462
org.joda.time.chrono.BasicYearDateTimeField,"add(long,int)",57,64,0.001276921362304957
org.joda.time.format.DateTimeFormatterBuilder,append0(Object),335,341,0.0012768045197155678
org.joda.time.DateTime,withEarlierOffsetAtOverlap(),649,667,0.0012765694882800297
org.joda.time.tz.DateTimeZoneBuilder,"buildFixedZone(String,String,int,int)",213,220,0.0012763103405266695
org.joda.time.field.DecoratedDateTimeField,"DecoratedDateTimeField(DateTimeField,DateTimeFieldType)",47,62,0.0012760812021073028
org.joda.time.format.DateTimeFormatterBuilder,appendTimeZoneId(),1023,1031,0.0012743151110438716
org.joda.time.field.ZeroIsMaxDateTimeField,"ZeroIsMaxDateTimeField(DateTimeField,DateTimeFieldType)",37,49,0.0012743013314812487
org.joda.time.base.AbstractDateTime,toGregorianCalendar(),279,298,0.001272820900450139
org.joda.time.chrono.ZonedChronology,getZone(),85,87,0.001271868567426866
org.joda.time.DateTime,toDateTime(DateTimeZone),543,555,0.0012681721296077671
org.joda.time.field.OffsetDateTimeField,"OffsetDateTimeField(DateTimeField,DateTimeFieldType,int,int,int)",61,91,0.001267820470482588
org.joda.time.field.RemainderDateTimeField,"RemainderDateTimeField(DateTimeField,DateTimeFieldType,int)",42,67,0.0012674483697765284
org.joda.time.field.FieldUtils,"verifyValueBounds(DateTimeField,int,int,int)",204,219,0.0012673431144582597
org.joda.time.chrono.GregorianChronology,calculateFirstDayOfYearMillis(int),200,218,0.0012662563309787035
org.joda.time.field.FieldUtils,"verifyValueBounds(DateTimeFieldType,int,int,int)",221,237,0.0012654469977711298
org.joda.time.chrono.BasicChronology,assemble(Fields),237,298,0.001264830503958023
