File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.cli.HelpFormatter,"('HelpFormatter()',)",35,963,0.6454972243679028
org.apache.commons.cli.Option,"('getDescription()',)",266,266,0.5
org.apache.commons.cli.Option,"('hasArgName()',)",329,329,0.3651483716701107
org.apache.commons.cli.Option,"('getArgName()',)",317,317,0.2581988897471611
org.apache.commons.cli.Option,"('getOpt()',)",177,177,0.2
org.apache.commons.cli.Option,"('hasArg()',)",256,256,0.19316685232156394
org.apache.commons.cli.Options,"('helpOptions()',)",184,184,0.18764665626020038
org.apache.commons.cli.Option,"('getKey()',)",157,162,0.18136906252750293
org.apache.commons.cli.Options,"('addOption(org.apache.commons.cli.Option)',)",144,164,0.1807753815155468
org.apache.commons.cli.Option,"('hasLongOpt()',)",246,246,0.1807753815155468
org.apache.commons.cli.Option,"('isRequired()',)",287,287,0.1796053020267749
org.apache.commons.cli.Options,"('Options()',)",46,60,0.17902871850985821
org.apache.commons.cli.OptionValidator,"('validateOption(java.lang.String)',)",48,77,0.17568209223157663
org.apache.commons.cli.OptionValidator,"('isValidOpt(char)',)",88,88,0.1751423610260147
org.apache.commons.cli.OptionValidator,"('isValidChar(char)',)",99,99,0.17407765595569785
org.apache.commons.cli.Option,"('Option(java.lang.String,java.lang.String,boolean,java.lang.String)',)",56,135,0.17355253362515582
org.apache.commons.cli.Option,"('getLongOpt()',)",207,207,0.15453348185725116
org.apache.commons.cli.Options,"('getOptions()',)",174,174,0.12909944487358055
org.apache.commons.cli.Options,"('addOption(java.lang.String,java.lang.String,boolean,java.lang.String)',)",131,133,0.12621094857350137
org.apache.commons.cli.Option,"('setType(java.lang.Object)',)",197,198,0.10468478451804275
org.apache.commons.cli.Option,"('setLongOpt(java.lang.String)',)",217,218,0.10468478451804275
org.apache.commons.cli.Option,"('setValueSeparator(char)',)",360,361,0.10468478451804275
org.apache.commons.cli.Option,"('setOptionalArg(boolean)',)",228,229,0.10327955589886445
org.apache.commons.cli.Option,"('setRequired(boolean)',)",297,298,0.10192943828752511
org.apache.commons.cli.Option,"('setArgs(int)',)",349,350,0.10127393670836667
org.apache.commons.cli.Option,"('setArgName(java.lang.String)',)",307,308,0.10063092108532552
org.apache.commons.cli.Option,"('Option(java.lang.String,java.lang.String)',)",90,91,0.09938079899999065
org.apache.commons.cli.Options,"('getOptionGroup(org.apache.commons.cli.Option)',)",239,239,0.040996003084539386
org.apache.commons.cli.Options,"('addOptionGroup(org.apache.commons.cli.OptionGroup)',)",70,90,0
org.apache.commons.cli.Options,"('getOptionGroups()',)",100,100,0
org.apache.commons.cli.Options,"('addOption(java.lang.String,boolean,java.lang.String)',)",114,116,0
org.apache.commons.cli.Options,"('getRequiredOptions()',)",194,194,0
org.apache.commons.cli.Options,"('getOption(java.lang.String)',)",206,213,0
org.apache.commons.cli.Options,"('hasOption(java.lang.String)',)",225,227,0
org.apache.commons.cli.Options,"('toString()',)",249,257,0
org.apache.commons.cli.Option,"('Option(java.lang.String,boolean,java.lang.String)',)",105,106,0
org.apache.commons.cli.Option,"('getId()',)",146,146,0
org.apache.commons.cli.Option,"('getType()',)",187,187,0
org.apache.commons.cli.Option,"('hasOptionalArg()',)",236,236,0
org.apache.commons.cli.Option,"('setDescription(java.lang.String)',)",277,278,0
org.apache.commons.cli.Option,"('hasArgs()',)",339,339,0
org.apache.commons.cli.Option,"('getValueSeparator()',)",370,370,0
org.apache.commons.cli.Option,"('hasValueSeparator()',)",381,381,0
org.apache.commons.cli.Option,"('getArgs()',)",391,391,0
org.apache.commons.cli.Option,"('addValueForProcessing(java.lang.String)',)",401,409,0
org.apache.commons.cli.Option,"('processValue(java.lang.String)',)",425,455,0
org.apache.commons.cli.Option,"('add(java.lang.String)',)",468,475,0
org.apache.commons.cli.Option,"('getValue()',)",486,486,0
org.apache.commons.cli.Option,"('getValue(int)',)",503,503,0
org.apache.commons.cli.Option,"('getValue(java.lang.String)',)",518,520,0
org.apache.commons.cli.Option,"('getValues()',)",532,532,0
org.apache.commons.cli.Option,"('getValuesList()',)",541,541,0
org.apache.commons.cli.Option,"('toString()',)",551,580,0
org.apache.commons.cli.Option,"('hasNoValues()',)",590,590,0
org.apache.commons.cli.Option,"('equals(java.lang.Object)',)",595,616,0
org.apache.commons.cli.Option,"('hashCode()',)",622,624,0
org.apache.commons.cli.Option,"('clone()',)",641,647,0
org.apache.commons.cli.Option,"('clearValues()',)",659,660,0
org.apache.commons.cli.Option,"('addValue(java.lang.String)',)",670,670,0
org.apache.commons.cli.OptionValidator,"('OptionValidator()',)",27,27,0
org.apache.commons.cli.ParseException,"('ParseException(java.lang.String)',)",36,37,0
