File,Signature,StartLine,EndLine,Suspiciousness
com.google.javascript.jscomp.Compiler,"('setLoggingLevel(java.util.logging.Level)',)",1618,1619,1.0
com.google.javascript.jscomp.AbstractCommandLineRunner,"('createExternInputs(java.util.List)',)",274,280,1.0
com.google.javascript.jscomp.AbstractCommandLineRunner,"('doRun()',)",479,519,1.0
com.google.javascript.jscomp.AbstractCommandLineRunner,"('createExterns()',)",655,655,1.0
com.google.javascript.jscomp.CommandLineRunner,"('createExterns()',)",449,455,1.0
com.google.javascript.jscomp.CommandLineRunner,"('getDefaultExterns()',)",464,472,1.0
com.google.javascript.jscomp.CommandLineRunner,"('initConfigFromFlags(java.lang.String[],java.io.PrintStream)',)",360,416,0.7071067811865475
com.google.javascript.jscomp.AbstractCommandLineRunner,"('AbstractCommandLineRunner()',)",94,95,0.2182178902359924
com.google.javascript.jscomp.AbstractCommandLineRunner,"('AbstractCommandLineRunner(java.io.PrintStream,java.io.PrintStream)',)",91,101,0.2182178902359924
com.google.javascript.jscomp.AbstractCommandLineRunner,"('getCommandLineConfig()',)",107,107,0.2182178902359924
com.google.javascript.jscomp.CommandLineRunner,"('CommandLineRunner(java.lang.String[])',)",335,346,0.2182178902359924
com.google.javascript.jscomp.CompilationLevel,"('CompilationLevel(java.lang.String,int)',)",49,49,0.2182178902359924
com.google.javascript.jscomp.CompilationLevel,"('<clinit>()',)",25,46,0.2182178902359924
com.google.javascript.jscomp.WarningLevel,"('WarningLevel(java.lang.String,int)',)",27,46,0.2182178902359924
com.google.javascript.jscomp.SourceFile,"('SourceFile(java.lang.String)',)",61,83,0.01668057294081454
com.google.javascript.jscomp.SourceFile,"('setCode(java.lang.String)',)",102,103,0.01668057294081454
com.google.javascript.jscomp.SourceFile,"('setOriginalPath(java.lang.String)',)",110,111,0.01668057294081454
com.google.javascript.jscomp.SourceFile,"('getName()',)",124,124,0.01668057294081454
com.google.javascript.jscomp.SourceFile,"('fromCode(java.lang.String,java.lang.String)',)",240,240,0.01668057294081454
com.google.javascript.jscomp.JSSourceFile,"('JSSourceFile(com.google.javascript.jscomp.SourceFile)',)",72,74,0.01668057294081454
com.google.javascript.jscomp.JSSourceFile,"('fromCode(java.lang.String,java.lang.String)',)",55,55,0.01668057294081454
com.google.javascript.jscomp.AbstractCompiler,"('<clinit>()',)",34,34,0.016534008228581126
com.google.javascript.jscomp.Compiler,"('Compiler(java.io.PrintStream)',)",63,1415,0.016534008228581126
com.google.javascript.jscomp.DiagnosticType,"('error(java.lang.String,java.lang.String)',)",51,51,0.01648675203492335
com.google.javascript.jscomp.DiagnosticType,"('DiagnosticType(java.lang.String,com.google.javascript.jscomp.CheckLevel,java.text.MessageFormat)',)",94,100,0.01646439104262425
com.google.javascript.jscomp.DiagnosticType,"('make(java.lang.String,com.google.javascript.jscomp.CheckLevel,java.lang.String)',)",87,87,0.01646439104262425
com.google.javascript.jscomp.CheckLevel,"('CheckLevel(java.lang.String,int)',)",25,25,0.016462159944159827
com.google.javascript.jscomp.CheckLevel,"('<clinit>()',)",25,28,0.016462159944159827
com.google.javascript.rhino.jstype.JSTypeRegistry,"('JSTypeRegistry(com.google.javascript.rhino.ErrorReporter)',)",90,152,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('resetForTypeCheck()',)",158,163,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('initializeBuiltInTypes()',)",167,466,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('initializeRegistry()',)",469,492,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('register(com.google.javascript.rhino.jstype.JSType)',)",495,496,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('register(com.google.javascript.rhino.jstype.JSType,java.lang.String)',)",499,506,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('registerNativeType(com.google.javascript.rhino.jstype.JSTypeNative,com.google.javascript.rhino.jstype.JSType)',)",509,510,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('registerPropertyOnType(java.lang.String,com.google.javascript.rhino.jstype.ObjectType)',)",525,531,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('getGreatestSubtypeWithProperty(com.google.javascript.rhino.jstype.JSType,java.lang.String)',)",539,552,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('canPropertyBeDefined(com.google.javascript.rhino.jstype.JSType,java.lang.String)',)",559,567,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('getTypesWithProperty(java.lang.String)',)",574,578,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('incrementGeneration()',)",587,592,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('isLastGeneration()',)",595,595,0
com.google.javascript.rhino.jstype.JSTypeRegistry,"('setLastGeneration(boolean)',)",603,604,0
