File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.codec.binary.StringUtils,"('equals(java.lang.CharSequence,java.lang.CharSequence)',)",72,81,0.6324555320336759
org.apache.commons.codec.binary.CharSequenceUtils,"('regionMatches(java.lang.CharSequence,boolean,int,java.lang.CharSequence,int,int)',)",51,77,0.6324555320336759
org.apache.commons.codec.binary.StringUtils,"('StringUtils()',)",39,39,0
org.apache.commons.codec.binary.StringUtils,"('getBytes(java.lang.String,java.nio.charset.Charset)',)",94,97,0
org.apache.commons.codec.binary.StringUtils,"('getByteBuffer(java.lang.String,java.nio.charset.Charset)',)",111,114,0
org.apache.commons.codec.binary.StringUtils,"('getByteBufferUtf8(java.lang.String)',)",132,132,0
org.apache.commons.codec.binary.StringUtils,"('getBytesIso8859_1(java.lang.String)',)",150,150,0
org.apache.commons.codec.binary.StringUtils,"('getBytesUnchecked(java.lang.String,java.lang.String)',)",174,180,0
org.apache.commons.codec.binary.StringUtils,"('getBytesUsAscii(java.lang.String)',)",199,199,0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf16(java.lang.String)',)",217,217,0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf16Be(java.lang.String)',)",235,235,0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf16Le(java.lang.String)',)",253,253,0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf8(java.lang.String)',)",271,271,0
org.apache.commons.codec.binary.StringUtils,"('newIllegalStateException(java.lang.String,java.io.UnsupportedEncodingException)',)",276,276,0
org.apache.commons.codec.binary.StringUtils,"('newString(byte[],java.nio.charset.Charset)',)",292,292,0
org.apache.commons.codec.binary.StringUtils,"('newString(byte[],java.lang.String)',)",315,321,0
org.apache.commons.codec.binary.StringUtils,"('newStringIso8859_1(byte[])',)",338,338,0
org.apache.commons.codec.binary.StringUtils,"('newStringUsAscii(byte[])',)",354,354,0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf16(byte[])',)",370,370,0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf16Be(byte[])',)",386,386,0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf16Le(byte[])',)",402,402,0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf8(byte[])',)",418,418,0
org.apache.commons.codec.binary.CharSequenceUtils,"('CharSequenceUtils()',)",30,30,0
