File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('equals(java.lang.Object)',)",650,675,0.7071067811865475
org.apache.commons.compress.archivers.zip.ZipShort,"('getValue(byte[])',)",107,107,0.2721655269759087
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('setCentralDirectoryExtra(byte[])',)",463,470,0.2672612419124244
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('mergeExtraFields(org.apache.commons.compress.archivers.zip.ZipExtraField[],boolean)',)",614,638,0.2672612419124244
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('getExtraField(org.apache.commons.compress.archivers.zip.ZipShort)',)",409,412,0.24618298195866545
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('setInternalAttributes(int)',)",224,225,0.22360679774997896
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('getCentralDirectoryExtra()',)",486,486,0.22360679774997896
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('setExternalAttributes(long)',)",240,241,0.22086305214969307
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('getLocalFileDataExtra()',)",477,478,0.22086305214969307
org.apache.commons.compress.archivers.zip.ExtraFieldUtils,"('ExtraFieldUtils()',)",31,261,0.2182178902359924
org.apache.commons.compress.archivers.zip.GeneralPurposeBit,"('encode()',)",125,125,0.21320071635561041
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('getInternalAttributes()',)",216,216,0.20412414523193154
org.apache.commons.compress.archivers.zip.ZipLong,"('getValue(byte[])',)",140,140,0.20203050891044214
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('getExternalAttributes()',)",232,232,0.20203050891044214
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('getSize()',)",525,525,0.20203050891044214
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,"('hashCode()',)",585,585,0.20203050891044214
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,"('getLocalFileDataLength()',)",143,143,0.19611613513818404
org.apache.commons.compress.archivers.zip.Zip64ExtendedInformationExtraField,"('getLocalFileDataData()',)",156,164,0.19611613513818404
org.apache.commons.compress.archivers.zip.ZipEightByteInteger,"('getBytes(long)',)",131,131,0.19611613513818404
