File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.csv.ExtendedBufferedReader,"('getLineNumber()',)",159,159,0.6956083436402525
org.apache.commons.csv.ExtendedBufferedReader,"('readLine()',)",123,134,0.6531972647421809
org.apache.commons.csv.ExtendedBufferedReader,"('ExtendedBufferedReader(java.io.Reader)',)",43,53,0.5590169943749475
org.apache.commons.csv.CSVFormat,"('getLineSeparator()',)",356,356,0.05923488777590923
org.apache.commons.csv.CSVFormat,"('CSVFormat(char,char,char,char,boolean,boolean,java.lang.String,java.lang.String[])',)",150,159,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('<clinit>()',)",56,123,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('isLineBreak(char)',)",169,169,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('withDelimiter(char)',)",214,218,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('withEncapsulator(char)',)",238,242,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('withEscape(char)',)",299,303,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('withSurroundingSpacesIgnored(boolean)',)",327,327,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('withEmptyLinesIgnored(boolean)',)",347,347,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('withLineSeparator(java.lang.String)',)",367,367,0.03688555567816588
org.apache.commons.csv.CSVFormat,"('validate()',)",176,195,0
org.apache.commons.csv.CSVFormat,"('getDelimiter()',)",203,203,0
org.apache.commons.csv.CSVFormat,"('getEncapsulator()',)",227,227,0
org.apache.commons.csv.CSVFormat,"('isEncapsulating()',)",246,246,0
org.apache.commons.csv.CSVFormat,"('getCommentStart()',)",255,255,0
org.apache.commons.csv.CSVFormat,"('withCommentStart(char)',)",266,270,0
org.apache.commons.csv.CSVFormat,"('isCommentingEnabled()',)",279,279,0
org.apache.commons.csv.CSVFormat,"('getEscape()',)",288,288,0
org.apache.commons.csv.CSVFormat,"('isEscaping()',)",307,307,0
org.apache.commons.csv.CSVFormat,"('isSurroundingSpacesIgnored()',)",316,316,0
org.apache.commons.csv.CSVFormat,"('isEmptyLinesIgnored()',)",336,336,0
org.apache.commons.csv.CSVFormat,"('getHeader()',)",371,371,0
org.apache.commons.csv.CSVFormat,"('withHeader(java.lang.String[])',)",389,389,0
org.apache.commons.csv.CSVFormat,"('parse(java.io.Reader)',)",398,398,0
org.apache.commons.csv.CSVFormat,"('format(java.lang.String[])',)",407,414,0
org.apache.commons.csv.CSVFormat,"('toString()',)",419,439,0
org.apache.commons.csv.ExtendedBufferedReader,"('read()',)",57,62,0
org.apache.commons.csv.ExtendedBufferedReader,"('readAgain()',)",76,76,0
org.apache.commons.csv.ExtendedBufferedReader,"('read(char[],int,int)',)",81,106,0
org.apache.commons.csv.ExtendedBufferedReader,"('lookAhead()',)",146,150,0
org.apache.commons.csv.CSVParser,"('CSVParser(java.io.Reader)',)",81,82,0
org.apache.commons.csv.CSVParser,"('CSVParser(java.io.Reader,org.apache.commons.csv.CSVFormat)',)",71,97,0
org.apache.commons.csv.CSVParser,"('CSVParser(java.lang.String,org.apache.commons.csv.CSVFormat)',)",107,108,0
org.apache.commons.csv.CSVParser,"('getRecords()',)",121,126,0
org.apache.commons.csv.CSVParser,"('getRecord()',)",136,163,0
org.apache.commons.csv.CSVParser,"('initializeHeader(org.apache.commons.csv.CSVFormat)',)",170,192,0
org.apache.commons.csv.CSVParser,"('iterator()',)",200,200,0
org.apache.commons.csv.CSVParser,"('getLineNumber()',)",249,249,0
org.apache.commons.csv.Token,"('Token()',)",28,51,0
org.apache.commons.csv.Token,"('reset()',)",57,60,0
org.apache.commons.csv.Lexer,"('Lexer(org.apache.commons.csv.CSVFormat,org.apache.commons.csv.ExtendedBufferedReader)',)",45,57,0
org.apache.commons.csv.Lexer,"('getLineNumber()',)",60,60,0
org.apache.commons.csv.Lexer,"('readEscape(int)',)",65,78,0
org.apache.commons.csv.Lexer,"('trimTrailingSpaces(java.lang.StringBuilder)',)",83,90,0
org.apache.commons.csv.Lexer,"('isWhitespace(int)',)",96,96,0
org.apache.commons.csv.Lexer,"('isEndOfLine(int)',)",107,111,0
org.apache.commons.csv.Lexer,"('isEndOfFile(int)',)",118,118,0
org.apache.commons.csv.Lexer,"('isDelimiter(int)',)",124,124,0
org.apache.commons.csv.Lexer,"('isEscape(int)',)",128,128,0
org.apache.commons.csv.Lexer,"('isEncapsulator(int)',)",132,132,0
org.apache.commons.csv.Lexer,"('isCommentStart(int)',)",136,136,0
org.apache.commons.csv.CSVLexer,"('CSVLexer(org.apache.commons.csv.CSVFormat,org.apache.commons.csv.ExtendedBufferedReader)',)",28,29,0
org.apache.commons.csv.CSVLexer,"('nextToken(org.apache.commons.csv.Token)',)",44,117,0
org.apache.commons.csv.CSVLexer,"('simpleTokenLexer(org.apache.commons.csv.Token,int)',)",139,165,0
org.apache.commons.csv.CSVLexer,"('encapsulatedTokenLexer(org.apache.commons.csv.Token,int)',)",183,222,0
org.apache.commons.csv.CSVRecord,"('CSVRecord(java.lang.String[],java.util.Map)',)",38,41,0
org.apache.commons.csv.CSVRecord,"('<clinit>()',)",30,30,0
org.apache.commons.csv.CSVRecord,"('get(int)',)",49,49,0
org.apache.commons.csv.CSVRecord,"('get(java.lang.String)',)",60,66,0
org.apache.commons.csv.CSVRecord,"('iterator()',)",70,70,0
org.apache.commons.csv.CSVRecord,"('values()',)",74,74,0
org.apache.commons.csv.CSVRecord,"('size()',)",81,81,0
org.apache.commons.csv.CSVRecord,"('toString()',)",86,86,0
