File,Signature,StartLine,EndLine,Suspiciousness
com.google.gson.internal.bind.JsonTreeReader,"('skipValue()',)",257,265,0.3333333333333333
com.google.gson.internal.bind.JsonTreeReader,"('peek()',)",107,145,0.20851441405707477
com.google.gson.internal.bind.JsonTreeReader,"('popStack()',)",154,156,0.15811388300841897
com.google.gson.internal.bind.JsonTreeReader,"('JsonTreeReader(com.google.gson.JsonElement)',)",51,68,0.15249857033260467
com.google.gson.internal.bind.JsonTreeReader,"('<clinit>()',)",38,46,0.15249857033260467
com.google.gson.internal.bind.JsonTreeReader,"('peekStack()',)",150,150,0.15249857033260467
com.google.gson.internal.bind.JsonTreeReader,"('push(java.lang.Object)',)",280,292,0.15249857033260467
com.google.gson.JsonObject,"('JsonObject()',)",32,33,0.10482848367219183
com.google.gson.internal.LinkedTreeMap,"('LinkedTreeMap()',)",60,61,0.09016696346674323
com.google.gson.internal.LinkedTreeMap,"('LinkedTreeMap(java.util.Comparator)',)",48,75,0.09016696346674323
com.google.gson.internal.LinkedTreeMap,"('<clinit>()',)",38,40,0.09016696346674323
com.google.gson.JsonElement,"('JsonElement()',)",33,33,0.06666666666666667
com.google.gson.stream.JsonToken,"('JsonToken(java.lang.String,int)',)",25,25,0.04688072309384954
com.google.gson.stream.JsonToken,"('<clinit>()',)",25,84,0.04688072309384954
com.google.gson.stream.JsonReader,"('JsonReader(java.io.Reader)',)",230,294,0.04311306135592269
com.google.gson.stream.JsonReader,"('<clinit>()',)",192,1607,0.0430730492253948
com.google.gson.internal.JsonReaderInternalAccess,"('JsonReaderInternalAccess()',)",25,25,0.0430730492253948
com.google.gson.JsonElement,"('isJsonArray()',)",46,46,0
com.google.gson.JsonElement,"('isJsonObject()',)",55,55,0
com.google.gson.JsonElement,"('isJsonPrimitive()',)",64,64,0
com.google.gson.JsonElement,"('isJsonNull()',)",74,74,0
com.google.gson.JsonElement,"('getAsJsonObject()',)",87,90,0
com.google.gson.JsonElement,"('getAsJsonArray()',)",103,106,0
com.google.gson.JsonElement,"('getAsJsonPrimitive()',)",119,122,0
com.google.gson.JsonElement,"('getAsJsonNull()',)",136,139,0
com.google.gson.JsonElement,"('getAsBoolean()',)",152,152,0
com.google.gson.JsonElement,"('getAsBooleanWrapper()',)",165,165,0
com.google.gson.JsonElement,"('getAsNumber()',)",178,178,0
com.google.gson.JsonElement,"('getAsString()',)",191,191,0
com.google.gson.JsonElement,"('getAsDouble()',)",204,204,0
com.google.gson.JsonElement,"('getAsFloat()',)",217,217,0
com.google.gson.JsonElement,"('getAsLong()',)",230,230,0
com.google.gson.JsonElement,"('getAsInt()',)",243,243,0
com.google.gson.JsonElement,"('getAsByte()',)",257,257,0
com.google.gson.JsonElement,"('getAsCharacter()',)",271,271,0
com.google.gson.JsonElement,"('getAsBigDecimal()',)",285,285,0
com.google.gson.JsonElement,"('getAsBigInteger()',)",299,299,0
