File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer,"('_locateTypeId(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",116,134,1.0
com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase,"('baseTypeName()',)",114,114,0.9607689228305227
com.fasterxml.jackson.databind.JsonMappingException,"('toString()',)",326,326,0.8401680504168059
com.fasterxml.jackson.databind.DeserializationContext,"('wrongTokenException(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.core.JsonToken,java.lang.String)',)",850,854,0.7385489458759964
com.fasterxml.jackson.databind.ObjectMapper,"('enableDefaultTyping()',)",1078,1078,0.6666666666666666
com.fasterxml.jackson.databind.ObjectMapper,"('enableDefaultTyping(com.fasterxml.jackson.databind.ObjectMapper$DefaultTyping)',)",1088,1088,0.5477225575051661
com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer,"('deserializeTypedFromAny(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",68,68,0.5477225575051661
com.fasterxml.jackson.databind.JsonMappingException,"('from(com.fasterxml.jackson.core.JsonParser,java.lang.String)',)",148,148,0.5222329678670935
com.fasterxml.jackson.databind.jsontype.impl.StdTypeResolverBuilder,"('buildTypeDeserializer(com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.JavaType,java.util.Collection)',)",96,115,0.5
com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer,"('forProperty(com.fasterxml.jackson.databind.BeanProperty)',)",39,39,0.5
com.fasterxml.jackson.databind.ObjectMapper,"('enableDefaultTyping(com.fasterxml.jackson.databind.ObjectMapper$DefaultTyping,com.fasterxml.jackson.annotation.JsonTypeInfo$As)',)",1101,1105,0.48038446141526137
com.fasterxml.jackson.databind.ObjectMapper,"('readTree(java.lang.String)',)",1837,1838,0.47871355387816905
com.fasterxml.jackson.databind.deser.impl.TypeWrappedDeserializer,"('deserialize(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",41,41,0.46709936649691375
com.fasterxml.jackson.databind.JsonMappingException,"('_buildMessage()',)",307,320,0.46709936649691375
com.fasterxml.jackson.databind.cfg.BaseSettings,"('withTypeResolverBuilder(com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder)',)",222,225,0.45883146774112354
com.fasterxml.jackson.databind.ObjectMapper,"('setDefaultTyping(com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder)',)",1144,1146,0.454858826147342
com.fasterxml.jackson.databind.SerializationConfig,"('with(com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder)',)",278,278,0.454858826147342
com.fasterxml.jackson.databind.DeserializationConfig,"('with(com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder)',)",232,232,0.454858826147342
com.fasterxml.jackson.databind.deser.std.JsonNodeDeserializer,"('getDeserializer(java.lang.Class)',)",31,38,0.4364357804719847
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('createTreeDeserializer(com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.BeanDescription)',)",1181,1188,0.4296689244236597
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('_findCustomTreeNodeDeserializer(java.lang.Class,com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.BeanDescription)',)",1195,1201,0.4296689244236597
