File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.dataformat.xml.XmlMapper,"('getFactory()',)",141,141,0.7216878364870323
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('nextTextValue()',)",603,692,0.7205766921228921
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('setCurrentName(java.lang.String)',)",131,132,0.3713906763541038
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_initializeXmlReader(javax.xml.stream.XMLStreamReader)',)",650,653,0.3611575592573076
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('next()',)",158,165,0.3611575592573076
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('_next()',)",305,347,0.3611575592573076
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('FromXmlParser(com.fasterxml.jackson.core.io.IOContext,int,int,com.fasterxml.jackson.core.ObjectCodec,javax.xml.stream.XMLStreamReader)',)",79,174,0.35921060405354976
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('nextToken()',)",455,585,0.35921060405354976
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('XmlReadContext(com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,int,int,int)',)",48,64,0.35921060405354976
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('createRootContext(int,int)',)",79,79,0.35921060405354976
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('createChildObjectContext(int,int)',)",99,105,0.35921060405354976
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('XmlTokenStream(javax.xml.stream.XMLStreamReader,java.lang.Object)',)",62,113,0.35172622905632955
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('createParser(java.lang.String)',)",426,431,0.35066719218483605
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_createParser(java.io.Reader,com.fasterxml.jackson.core.io.IOContext)',)",556,566,0.3464674335917916
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('getLocalName()',)",180,180,0.338501600193165
com.fasterxml.jackson.dataformat.xml.XmlMapper,"('XmlMapper()',)",49,50,0.31234752377721214
com.fasterxml.jackson.dataformat.xml.XmlMapper,"('XmlMapper(com.fasterxml.jackson.dataformat.xml.XmlFactory)',)",67,68,0.31234752377721214
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('getText()',)",179,179,0.3112864031823452
com.fasterxml.jackson.dataformat.xml.XmlMapper,"('XmlMapper(com.fasterxml.jackson.dataformat.xml.XmlFactory,com.fasterxml.jackson.dataformat.xml.JacksonXmlModule)',)",79,87,0.2970442628930023
com.fasterxml.jackson.dataformat.xml.XmlMapper,"('<clinit>()',)",35,37,0.2970442628930023
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('createParser(javax.xml.stream.XMLStreamReader)',)",491,505,0.2886751345948129
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory()',)",84,84,0.2857142857142857
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory(com.fasterxml.jackson.core.ObjectCodec,javax.xml.stream.XMLInputFactory,javax.xml.stream.XMLOutputFactory)',)",100,102,0.2857142857142857
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory(com.fasterxml.jackson.core.ObjectCodec,int,int,javax.xml.stream.XMLInputFactory,javax.xml.stream.XMLOutputFactory,java.lang.String)',)",108,123,0.2857142857142857
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('<clinit>()',)",43,49,0.2857142857142857
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_initFactories(javax.xml.stream.XMLInputFactory,javax.xml.stream.XMLOutputFactory)',)",141,144,0.2857142857142857
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('_collectUntilTag()',)",352,367,0.24618298195866545
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('_initStartElement()',)",398,426,0.2
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('_handleEndElement()',)",470,483,0.15655607277128739
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('_skipUntilTag()',)",376,387,0.13423121104280486
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('skipEndElement()',)",171,175,0.11180339887498948
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('getCurrentName()',)",326,336,0.09805806756909201
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('getCurrentName()',)",115,115,0.09805806756909201
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('getParent()',)",118,118,0.09743547036924463
com.fasterxml.jackson.dataformat.xml.deser.XmlReadContext,"('getNamesToWrap()',)",156,156,0.09743547036924463
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('_isEmpty(java.lang.String)',)",955,963,0.06804138174397717
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('getText()',)",726,735,0.034752402342845795
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('close()',)",353,367,0.032075014954979206
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('_releaseBuffers()',)",941,941,0.032075014954979206
com.fasterxml.jackson.dataformat.xml.deser.XmlTokenStream,"('closeCompletely()',)",189,193,0.032075014954979206
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory(com.fasterxml.jackson.core.ObjectCodec)',)",87,88,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory(javax.xml.stream.XMLInputFactory)',)",91,92,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory(javax.xml.stream.XMLInputFactory,javax.xml.stream.XMLOutputFactory)',)",95,96,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('XmlFactory(com.fasterxml.jackson.dataformat.xml.XmlFactory,com.fasterxml.jackson.core.ObjectCodec)',)",130,136,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('copy()',)",155,156,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('version()',)",161,161,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('readResolve()',)",186,202,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('readObject(java.io.ObjectInputStream)',)",213,216,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('writeObject(java.io.ObjectOutputStream)',)",223,226,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('setXMLTextElementName(java.lang.String)',)",238,239,0
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('getXMLTextElementName()',)",245,245,0
