File,Signature,StartLine,EndLine,Suspiciousness
org.jsoup.Jsoup,"('parse(java.io.InputStream,java.lang.String,java.lang.String)',)",118,118,0.8823529411764706
org.jsoup.helper.DataUtil,"('load(java.io.InputStream,java.lang.String,java.lang.String)',)",65,65,0.8823529411764706
org.jsoup.helper.DataUtil,"('parseInputStream(java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser)',)",96,167,0.8574929257125442
org.jsoup.parser.HtmlTreeBuilderState,"('HtmlTreeBuilderState(java.lang.String,int)',)",16,1502,0.7592566023652966
org.jsoup.parser.TokeniserState,"('<clinit>()',)",8,1623,0.7276068751089989
org.jsoup.nodes.DocumentType,"('DocumentType(java.lang.String,java.lang.String,java.lang.String)',)",28,38,0.6875238727711586
org.jsoup.nodes.DocumentType,"('setPubSysKey(java.lang.String)',)",74,76,0.6875238727711586
org.jsoup.select.QueryParser,"('<clinit>()',)",18,292,0.6239177481057773
org.jsoup.nodes.Attributes,"('Attributes()',)",32,384,0.6149400462680908
org.jsoup.parser.CharacterReader,"('matchesAny(char[])',)",362,371,0.6063390625908325
org.jsoup.parser.Token,"('asDoctype()',)",341,341,0.5850179393017045
org.jsoup.parser.Tokeniser,"('createDoctypePending()',)",226,227,0.5721588318817212
org.jsoup.parser.Tokeniser,"('emitDoctypePending()',)",230,231,0.5721588318817212
org.jsoup.nodes.DocumentType,"('nodeName()',)",80,80,0.56603931014178
org.jsoup.nodes.DocumentType,"('has(java.lang.String)',)",107,107,0.56603931014178
org.jsoup.parser.CharacterReader,"('matchConsumeIgnoreCase(java.lang.String)',)",404,408,0.5433884886490595
org.jsoup.parser.CharacterReader,"('matchesIgnoreCase(java.lang.String)',)",347,358,0.53813823519705
org.jsoup.nodes.LeafNode,"('attr(java.lang.String,java.lang.String)',)",52,58,0.53813823519705
org.jsoup.internal.ConstrainableInputStream,"('readToByteBuffer(int)',)",77,98,0.5280786895875597
org.jsoup.nodes.LeafNode,"('attributes()',)",19,20,0.5185629788417315
org.jsoup.nodes.LeafNode,"('ensureAttributes()',)",24,31,0.5185629788417315
org.jsoup.nodes.LeafNode,"('attr(java.lang.String)',)",43,47,0.5185629788417315
org.jsoup.helper.DataUtil,"('detectCharsetFromBom(java.nio.ByteBuffer)',)",248,265,0.5095438042387856
org.jsoup.internal.ConstrainableInputStream,"('expired()',)",114,119,0.5009794328681196
org.jsoup.helper.DataUtil,"('validateCharset(java.lang.String)',)",223,232,0.49972245348957717
org.jsoup.parser.Tokeniser,"('error(org.jsoup.parser.TokeniserState)',)",246,248,0.4905524551257964
org.jsoup.internal.ConstrainableInputStream,"('reset()',)",103,105,0.4889058650817127
org.jsoup.helper.DataUtil,"('readToByteBuffer(java.io.InputStream,int)',)",179,181,0.48507125007266594
org.jsoup.internal.ConstrainableInputStream,"('ConstrainableInputStream(java.io.InputStream,int,int)',)",22,33,0.48507125007266594
org.jsoup.internal.ConstrainableInputStream,"('wrap(java.io.InputStream,int,int)',)",43,43,0.48507125007266594
org.jsoup.internal.ConstrainableInputStream,"('read(byte[],int,int)',)",50,68,0.48507125007266594
org.jsoup.parser.Parser,"('parseInput(java.lang.String,java.lang.String)',)",33,33,0.48186942465242666
org.jsoup.nodes.Node,"('attr(java.lang.String,java.lang.String)',)",87,89,0.4740870807567678
org.jsoup.parser.TokenQueue,"('remainder()',)",399,401,0.46966821831386213
org.jsoup.parser.ParseSettings,"('normalizeAttribute(java.lang.String)',)",46,49,0.467165729979027
org.jsoup.helper.DataUtil,"('<clinit>()',)",34,38,0.46053893000272306
org.jsoup.parser.TokenQueue,"('consumeToAny(java.lang.String[])',)",223,228,0.4547542969431243
org.jsoup.parser.HtmlTreeBuilder,"('HtmlTreeBuilder()',)",25,462,0.4285372672044641
org.jsoup.parser.CharacterReader,"('matches(java.lang.String)',)",335,343,0.4136701519960153
org.jsoup.parser.CharacterReader,"('matchConsume(java.lang.String)',)",394,399,0.4136701519960153
org.jsoup.parser.Token,"('asComment()',)",365,365,0.4001633653325206
org.jsoup.nodes.Comment,"('Comment(java.lang.String)',)",19,21,0.4001633653325206
org.jsoup.parser.Parser,"('htmlParser()',)",209,209,0.38136962713569106
org.jsoup.parser.TokenQueue,"('consumeWhitespace()',)",324,329,0.3732544513450796
org.jsoup.internal.Normalizer,"('normalize(java.lang.String)',)",15,15,0.3732544513450796
org.jsoup.parser.CharacterReader,"('consumeLetterSequence()',)",269,279,0.37169119481974544
org.jsoup.parser.TokenQueue,"('matchesAny(java.lang.String[])',)",89,93,0.36380343755449945
org.jsoup.parser.TokenQueue,"('chompBalanced(char,char)',)",261,296,0.33924845477392546
org.jsoup.parser.TokenQueue,"('matchChomp(java.lang.String)',)",119,123,0.32282334846194377
org.jsoup.nodes.Node,"('getParser()',)",585,586,0.3222637978043043
org.jsoup.parser.CharacterReader,"('matches(char)',)",330,330,0.32155984714220404
org.jsoup.select.CombiningEvaluator,"('CombiningEvaluator(java.util.Collection)',)",23,26,0.31081825277836805
org.jsoup.parser.Token,"('isEOF()',)",381,381,0.31069425495224695
org.jsoup.select.CombiningEvaluator,"('CombiningEvaluator()',)",15,20,0.30529706287998953
org.jsoup.select.CombiningEvaluator,"('updateNumEvaluators()',)",38,39,0.30529706287998953
org.jsoup.nodes.Node,"('attr(java.lang.String)',)",61,70,0.3011906445991422
org.jsoup.parser.TokenQueue,"('consume()',)",155,155,0.30006001800600207
org.jsoup.parser.ParseErrorList,"('canAddError()',)",20,20,0.2894264747546524
org.jsoup.nodes.Node,"('ownerDocument()',)",270,271,0.24552736699452146
org.jsoup.nodes.Node,"('root()',)",259,262,0.24423169902168218
org.jsoup.parser.CharacterReader,"('consumeToAnySorted(char[])',)",213,224,0.2341766633920198
org.jsoup.parser.CharacterReader,"('unconsume()',)",105,106,0.22977169333035916
org.jsoup.parser.HtmlTreeBuilder,"('inScope(java.lang.String)',)",493,493,0.21693045781865616
org.jsoup.nodes.LeafNode,"('hasAttributes()',)",14,14,0.20851441405707477
org.jsoup.helper.StringUtil,"('<clinit>()',)",14,247,0.2080203869969375
org.jsoup.nodes.Element,"('select(java.lang.String)',)",362,362,0.20696054466347322
org.jsoup.select.Selector,"('select(java.lang.String,org.jsoup.nodes.Element)',)",90,91,0.20696054466347322
org.jsoup.select.Selector,"('select(org.jsoup.select.Evaluator,org.jsoup.nodes.Element)',)",102,104,0.20696054466347322
org.jsoup.parser.TokenQueue,"('consumeElementSelector()',)",362,366,0.20662646769884102
org.jsoup.select.QueryParser,"('QueryParser(java.lang.String)',)",23,32,0.19996445392311749
org.jsoup.parser.TokenQueue,"('matchesWhitespace()',)",132,132,0.19996445392311749
org.jsoup.parser.CharacterReader,"('consumeData()',)",229,241,0.19976512029477264
org.jsoup.parser.TokenQueue,"('matchesWord()',)",140,140,0.1996630755243758
org.jsoup.parser.TokenQueue,"('matches(java.lang.String)',)",70,70,0.1990643842950106
org.jsoup.parser.Tokeniser,"('Tokeniser(org.jsoup.parser.CharacterReader,org.jsoup.parser.ParseErrorList)',)",35,131,0.19883380930045633
org.jsoup.parser.TokenQueue,"('isEmpty()',)",31,31,0.19817636030895017
org.jsoup.parser.TokenQueue,"('remainingLength()',)",35,35,0.19817636030895017
org.jsoup.parser.TokenQueue,"('TokenQueue(java.lang.String)',)",13,24,0.19788298285674097
org.jsoup.select.Collector,"('collect(org.jsoup.select.Evaluator,org.jsoup.nodes.Element)',)",26,28,0.19418390934515434
org.jsoup.parser.Token,"('isCData()',)",373,373,0.19266007352363126
org.jsoup.parser.Token,"('asCharacter()',)",377,377,0.19266007352363126
org.jsoup.nodes.TextNode,"('TextNode(java.lang.String)',)",20,22,0.19266007352363126
org.jsoup.nodes.Node,"('nextSibling()',)",503,511,0.19094728418563772
org.jsoup.parser.HtmlTreeBuilder,"('inSpecificScope(java.lang.String[],java.lang.String[],java.lang.String[])',)",471,485,0.18935242733246035
org.jsoup.nodes.LeafNode,"('LeafNode()',)",8,8,0.18838950455897205
org.jsoup.nodes.LeafNode,"('<clinit>()',)",9,9,0.18838950455897205
org.jsoup.select.Evaluator,"('Evaluator()',)",25,26,0.1883702796242087
org.jsoup.parser.TreeBuilder,"('parse(java.io.Reader,java.lang.String,org.jsoup.parser.Parser)',)",46,48,0.18702786922892736
org.jsoup.parser.HtmlTreeBuilder,"('inSpecificScope(java.lang.String,java.lang.String[],java.lang.String[])',)",465,466,0.18563283764073973
org.jsoup.parser.HtmlTreeBuilder,"('inScope(java.lang.String,java.lang.String[])',)",497,497,0.18563283764073973
org.jsoup.select.NodeTraversor,"('traverse(org.jsoup.select.NodeVisitor,org.jsoup.nodes.Node)',)",41,61,0.18354466280045276
org.jsoup.parser.Tokeniser,"('emitTagPending()',)",213,215,0.18347579223601587
