File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.jxpath.JXPathContext,"('setFunctions(org.apache.commons.jxpath.Functions)',)",492,493,0.22360679774997896
org.apache.commons.jxpath.JXPathContext,"('getVariables()',)",480,483,0.08006407690254357
org.apache.commons.jxpath.BasicVariables,"('BasicVariables()',)",27,32,0.08006407690254357
org.apache.commons.jxpath.BasicVariables,"('declareVariable(java.lang.String,java.lang.Object)',)",73,74,0.08006407690254357
org.apache.commons.jxpath.ri.model.beans.BeanPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",46,47,0.07669649888473704
org.apache.commons.jxpath.ri.model.beans.BeanPointer,"('BeanPointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,org.apache.commons.jxpath.JXPathBeanInfo,java.util.Locale)',)",46,50,0.07669649888473704
org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",57,64,0.07432941462471664
org.apache.commons.jxpath.ri.model.VariablePointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",71,85,0.06726727939963124
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",46,46,0.06537204504606134
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer,"('PropertyOwnerPointer(org.apache.commons.jxpath.ri.model.NodePointer,java.util.Locale)',)",74,90,0.062257280636469035
org.apache.commons.jxpath.ri.model.dom.DOMPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",51,51,0.0563436169819011
org.apache.commons.jxpath.ri.model.jdom.JDOMPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",44,50,0.0563436169819011
org.apache.commons.jxpath.ri.model.container.ContainerPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",45,45,0.0563436169819011
org.apache.commons.jxpath.util.ValueUtils,"('isCollection(java.lang.Object)',)",51,61,0.0562543950463012
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('getNodePointerFactories()',)",191,191,0.05598925109558543
org.apache.commons.jxpath.ri.model.beans.CollectionPointerFactory,"('createNodePointer(org.apache.commons.jxpath.ri.QName,java.lang.Object,java.util.Locale)',)",45,45,0.05598925109558543
org.apache.commons.jxpath.ri.model.NodePointer,"('NodePointer(org.apache.commons.jxpath.ri.model.NodePointer)',)",53,115,0.05598925109558543
org.apache.commons.jxpath.util.ValueUtils,"('<clinit>()',)",44,44,0.05598925109558543
org.apache.commons.jxpath.util.ValueUtils,"('getValue(java.lang.Object)',)",486,489,0.05598925109558543
org.apache.commons.jxpath.JXPathContext,"('JXPathContext(org.apache.commons.jxpath.JXPathContext,java.lang.Object)',)",389,437,0.05439282932204212
org.apache.commons.jxpath.JXPathContext,"('getLocale()',)",545,551,0.05360562674188974
org.apache.commons.jxpath.PackageFunctions,"('PackageFunctions(java.lang.String,java.lang.String)',)",80,83,0.05360562674188974
org.apache.commons.jxpath.PackageFunctions,"('<clinit>()',)",73,73,0.05360562674188974
org.apache.commons.jxpath.JXPathContextFactory,"('JXPathContextFactory()',)",61,63,0.05360562674188974
org.apache.commons.jxpath.JXPathContextFactory,"('<clinit>()',)",56,153,0.05360562674188974
org.apache.commons.jxpath.JXPathContextFactory,"('findFactory(java.lang.String,java.lang.String)',)",166,246,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextFactoryReferenceImpl,"('JXPathContextFactoryReferenceImpl()',)",33,34,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextFactoryReferenceImpl,"('newContext(org.apache.commons.jxpath.JXPathContext,java.lang.Object)',)",42,42,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('JXPathContextReferenceImpl(org.apache.commons.jxpath.JXPathContext,java.lang.Object)',)",123,124,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('JXPathContextReferenceImpl(org.apache.commons.jxpath.JXPathContext,java.lang.Object,org.apache.commons.jxpath.Pointer)',)",131,161,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('<clinit>()',)",70,110,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('createNodeFactoryArray()',)",164,176,0.05360562674188974
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('allocateConditionally(java.lang.String,java.lang.String)',)",690,699,0.05360562674188974
org.apache.commons.jxpath.ri.model.beans.CollectionPointerFactory,"('CollectionPointerFactory()',)",32,32,0.05360562674188974
org.apache.commons.jxpath.ri.model.beans.CollectionPointerFactory,"('getOrder()',)",37,37,0.05360562674188974
org.apache.commons.jxpath.ri.model.beans.BeanPointerFactory,"('BeanPointerFactory()',)",33,33,0.05360562674188974
org.apache.commons.jxpath.ri.model.beans.BeanPointerFactory,"('getOrder()',)",38,38,0.05360562674188974
org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory,"('DynamicPointerFactory()',)",36,36,0.05360562674188974
org.apache.commons.jxpath.ri.model.dynamic.DynamicPointerFactory,"('getOrder()',)",47,47,0.05360562674188974
org.apache.commons.jxpath.ri.model.VariablePointerFactory,"('VariablePointerFactory()',)",31,37,0.05360562674188974
org.apache.commons.jxpath.ri.model.VariablePointerFactory,"('getOrder()',)",105,105,0.05360562674188974
org.apache.commons.jxpath.ri.model.dom.DOMPointerFactory,"('DOMPointerFactory()',)",32,32,0.05360562674188974
org.apache.commons.jxpath.ri.model.dom.DOMPointerFactory,"('getOrder()',)",41,41,0.05360562674188974
org.apache.commons.jxpath.ri.model.jdom.JDOMPointerFactory,"('JDOMPointerFactory()',)",33,33,0.05360562674188974
org.apache.commons.jxpath.ri.model.jdom.JDOMPointerFactory,"('getOrder()',)",38,38,0.05360562674188974
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPointerFactory,"('DynaBeanPointerFactory()',)",35,35,0.05360562674188974
org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanPointerFactory,"('getOrder()',)",40,40,0.05360562674188974
org.apache.commons.jxpath.ri.model.container.ContainerPointerFactory,"('ContainerPointerFactory()',)",32,32,0.05360562674188974
org.apache.commons.jxpath.ri.model.container.ContainerPointerFactory,"('getOrder()',)",37,37,0.05360562674188974
org.apache.commons.jxpath.ri.model.NodePointer,"('NodePointer(org.apache.commons.jxpath.ri.model.NodePointer,java.util.Locale)',)",53,120,0.05360562674188974
org.apache.commons.jxpath.ri.NamespaceResolver,"('NamespaceResolver(org.apache.commons.jxpath.ri.NamespaceResolver)',)",35,79,0.05360562674188974
org.apache.commons.jxpath.ri.NamespaceResolver,"('setNamespaceContextPointer(org.apache.commons.jxpath.ri.model.NodePointer)',)",101,102,0.05360562674188974
org.apache.commons.jxpath.ri.compiler.TreeCompiler,"('TreeCompiler()',)",26,26,0.05352877275721892
org.apache.commons.jxpath.ri.compiler.TreeCompiler,"('<clinit>()',)",28,28,0.05352877275721892
org.apache.commons.jxpath.ri.QName,"('QName(java.lang.String,java.lang.String)',)",39,43,0.05352877275721892
org.apache.commons.jxpath.JXPathContext,"('getParentContext()',)",443,443,0
org.apache.commons.jxpath.JXPathContext,"('getContextBean()',)",450,450,0
org.apache.commons.jxpath.JXPathContext,"('setVariables(org.apache.commons.jxpath.Variables)',)",470,471,0
org.apache.commons.jxpath.JXPathContext,"('getFunctions()',)",499,505,0
org.apache.commons.jxpath.JXPathContext,"('setFactory(org.apache.commons.jxpath.AbstractFactory)',)",514,515,0
org.apache.commons.jxpath.JXPathContext,"('getFactory()',)",523,526,0
org.apache.commons.jxpath.JXPathContext,"('setLocale(java.util.Locale)',)",536,537,0
org.apache.commons.jxpath.JXPathContext,"('setDecimalFormatSymbols(java.lang.String,java.text.DecimalFormatSymbols)',)",566,570,0
org.apache.commons.jxpath.JXPathContext,"('getDecimalFormatSymbols(java.lang.String)',)",576,579,0
org.apache.commons.jxpath.JXPathContext,"('setLenient(boolean)',)",592,594,0
org.apache.commons.jxpath.JXPathContext,"('isLenient()',)",600,603,0
org.apache.commons.jxpath.JXPathContext,"('compile(java.lang.String)',)",614,617,0
org.apache.commons.jxpath.JXPathContext,"('selectSingleNode(java.lang.String)',)",637,638,0
org.apache.commons.jxpath.JXPathContext,"('selectNodes(java.lang.String)',)",648,654,0
org.apache.commons.jxpath.JXPathContext,"('setIdentityManager(org.apache.commons.jxpath.IdentityManager)',)",742,743,0
org.apache.commons.jxpath.JXPathContext,"('getIdentityManager()',)",750,753,0
org.apache.commons.jxpath.JXPathContext,"('getPointerByID(java.lang.String)',)",762,766,0
org.apache.commons.jxpath.JXPathContext,"('setKeyManager(org.apache.commons.jxpath.KeyManager)',)",776,777,0
org.apache.commons.jxpath.JXPathContext,"('getKeyManager()',)",784,787,0
org.apache.commons.jxpath.JXPathContext,"('getPointerByKey(java.lang.String,java.lang.String)',)",794,798,0
org.apache.commons.jxpath.JXPathContext,"('getNodeSetByKey(java.lang.String,java.lang.Object)',)",809,814,0
