File,Signature,StartLine,EndLine,Suspiciousness
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,"('returnValueFor(java.lang.Class)',)",84,120,0.09245003270420485
org.mockito.internal.util.Primitives,"('<clinit>()',)",13,86,0.08219949365267865
org.mockito.internal.creation.cglib.ClassImposterizer,"('setConstructorsAccessible(java.lang.Class,boolean)',)",85,88,0.059028133610095526
org.mockito.internal.creation.cglib.ClassImposterizer,"('createProxyClass(java.lang.Class,java.lang.Class[])',)",91,131,0.059028133610095526
org.mockito.Mockito,"('mock(java.lang.Class)',)",1162,1162,0.04441155916843276
org.mockito.internal.handler.NullResultGuardian,"('handle(org.mockito.invocation.Invocation)',)",29,35,0.04233337566673017
org.mockito.configuration.DefaultMockitoConfiguration,"('getDefaultAnswer()',)",32,32,0.04188539082916955
org.mockito.internal.stubbing.defaultanswers.GloballyConfiguredAnswer,"('answer(org.mockito.invocation.InvocationOnMock)',)",24,24,0.04184869753186872
org.mockito.internal.configuration.GlobalConfiguration,"('getDefaultAnswer()',)",67,67,0.04184869753186872
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,"('answer(org.mockito.invocation.InvocationOnMock)',)",64,80,0.04177559931443568
org.mockito.internal.util.ObjectMethodsGuru,"('isCompareToMethod(java.lang.reflect.Method)',)",39,42,0.041522739926869986
org.mockito.internal.util.ObjectMethodsGuru,"('isToString(java.lang.reflect.Method)',)",18,18,0.03984095364447979
org.mockito.internal.util.ObjectMethodsGuru,"('isToString(org.mockito.internal.invocation.MockitoMethod)',)",22,24,0.03984095364447979
org.mockito.internal.creation.DelegatingMethod,"('getReturnType()',)",38,38,0.03984095364447979
org.mockito.internal.util.MockNameImpl,"('MockNameImpl(java.lang.String,java.lang.Class)',)",18,25,0.0397778642087865
org.mockito.internal.util.MockNameImpl,"('toInstanceName(java.lang.Class)',)",32,38,0.0397778642087865
org.mockito.Answers,"('answer(org.mockito.invocation.InvocationOnMock)',)",90,90,0.03955938860646178
org.mockito.internal.handler.MockHandlerImpl,"('handle(org.mockito.invocation.Invocation)',)",48,101,0.039344473768231684
org.mockito.internal.stubbing.InvocationContainerImpl,"('resetInvocationForPotentialStubbing(org.mockito.internal.invocation.InvocationMatcher)',)",45,46,0.039344473768231684
org.mockito.internal.stubbing.InvocationContainerImpl,"('findAnswerFor(org.mockito.invocation.Invocation)',)",77,87,0.039103094350288754
org.mockito.internal.creation.settings.CreationSettings,"('getDefaultAnswer()',)",81,81,0.03901371573204352
org.mockito.internal.creation.DelegatingMethod,"('getJavaMethod()',)",26,26,0.038376477822666816
org.mockito.internal.progress.ThreadSafeMockingProgress,"('reportOngoingStubbing(org.mockito.internal.progress.IOngoingStubbing)',)",28,29,0.03832008326196737
