File,Signature,StartLine,EndLine,Suspiciousness
org.joda.time.chrono.JulianChronology,"('adjustYearForSet(int)',)",78,85,1.0
org.joda.time.IllegalFieldValueException,"('getMessage()',)",314,314,0.7071067811865475
org.joda.time.LocalDate,"('minusYears(int)',)",1321,1325,0.7071067811865475
org.joda.time.chrono.GJChronology,"('withZone(org.joda.time.DateTimeZone)',)",316,322,0.31622776601683794
org.joda.time.IllegalFieldValueException,"('createMessage(java.lang.String,java.lang.Number,java.lang.Number,java.lang.Number,java.lang.String)',)",41,63,0.2581988897471611
org.joda.time.chrono.GJChronology,"('getDateTimeMillis(int,int,int,int)',)",330,346,0.19611613513818404
org.joda.time.chrono.GJChronology,"('getZone()',)",292,295,0.1690308509457033
org.joda.time.DurationField,"('subtract(long,int)',)",209,212,0.15811388300841897
org.joda.time.chrono.GJChronology,"('getInstance()',)",140,140,0.14285714285714285
org.joda.time.IllegalFieldValueException,"('IllegalFieldValueException(org.joda.time.DateTimeFieldType,java.lang.Number,java.lang.Number,java.lang.Number)',)",108,117,0.0936585811581694
org.joda.time.LocalDate,"('LocalDate(int,int,int,org.joda.time.Chronology)',)",455,460,0.07738232325341368
org.joda.time.LocalDate,"('getLocalMillis()',)",610,610,0.07580980435789034
org.joda.time.LocalDate,"('getChronology()',)",619,619,0.07312724241271307
org.joda.time.chrono.GJChronology,"('getInstanceUTC()',)",124,124,0.07071067811865475
org.joda.time.LocalDate,"('<clinit>()',)",96,106,0.06551217820804184
org.joda.time.chrono.BasicGJChronology,"('setYear(long,int)',)",175,198,0.05862103817605492
org.joda.time.DateTimeFieldType,"('getName()',)",378,378,0.0584206237836986
org.joda.time.base.BaseLocal,"('BaseLocal()',)",47,48,0.04113450348948636
org.joda.time.base.AbstractInstant,"('equals(java.lang.Object)',)",259,268,0.03569153051241249
org.joda.time.chrono.GJChronology,"('getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant,int)',)",190,229,0.03566881875032108
org.joda.time.chrono.GJChronology,"('getGregorianCutover()',)",396,396,0.03566881875032108
org.joda.time.chrono.GJChronology,"('getMinimumDaysInFirstWeek()',)",405,405,0.035623524993954825
org.joda.time.chrono.GJChronology,"('GJChronology(org.joda.time.Chronology,org.joda.time.chrono.JulianChronology,org.joda.time.chrono.GregorianChronology,org.joda.time.Instant)',)",280,281,0.03546634510659543
org.joda.time.chrono.GJChronology,"('assemble(org.joda.time.chrono.AssembledChronology$Fields)',)",474,581,0.03546634510659543
org.joda.time.chrono.BasicGJChronology,"('getTotalMillisByYearMonth(int,int)',)",139,142,0.03520166719043814
org.joda.time.chrono.GJChronology,"('withUTC()',)",306,306,0.03509312031717982
org.joda.time.Instant,"('toInstant()',)",144,144,0.03485780871878749
org.joda.time.DateTimeZone,"('convertLocalToUTC(long,boolean,long)',)",979,985,0.034731435582359395
org.joda.time.DateTimeZone,"('convertLocalToUTC(long,boolean)',)",1002,1040,0.03471050672503116
org.joda.time.chrono.BasicYearDateTimeField,"('add(long,int)',)",58,63,0.03394221166510653
org.joda.time.field.SkipDateTimeField,"('get(long)',)",80,84,0.03289758474798845
org.joda.time.chrono.GJChronology,"('getInstance(org.joda.time.DateTimeZone,org.joda.time.ReadableInstant)',)",174,174,0.032879797461071454
org.joda.time.field.OffsetDateTimeField,"('set(long,int)',)",152,153,0.032826608214930636
org.joda.time.field.DecoratedDateTimeField,"('set(long,int)',)",82,82,0.03280893574623933
org.joda.time.field.SkipDateTimeField,"('getMinimumValue()',)",100,100,0.032773676267223106
org.joda.time.chrono.BaseChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",132,138,0.03273853022358256
org.joda.time.chrono.AssembledChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",131,136,0.03273853022358256
org.joda.time.chrono.BasicWeekyearDateTimeField,"('getMaximumValue()',)",228,228,0.03273853022358256
org.joda.time.chrono.GJChronology,"('gregorianToJulianByYear(long)',)",588,588,0.03273853022358256
org.joda.time.field.FieldUtils,"('safeAdd(int,int)',)",64,70,0.03272099955018442
org.joda.time.field.DelegatedDateTimeField,"('set(long,int)',)",172,172,0.03272099955018442
org.joda.time.field.DelegatedDateTimeField,"('getMaximumValue()',)",228,228,0.0325644804512918
org.joda.time.chrono.JulianChronology,"('getDateMidnightMillis(int,int,int)',)",207,207,0.032427221756276076
org.joda.time.chrono.BasicChronology,"('getYear(long)',)",408,437,0.03234231136765754
org.joda.time.chrono.GregorianChronology,"('calculateFirstDayOfYearMillis(int)',)",202,217,0.03230853348756192
org.joda.time.chrono.BasicYearDateTimeField,"('roundCeiling(long)',)",127,133,0.03171807398477756
org.joda.time.chrono.GJChronology,"('GJChronology(org.joda.time.chrono.JulianChronology,org.joda.time.chrono.GregorianChronology,org.joda.time.Instant)',)",270,271,0.031702131247412065
org.joda.time.chrono.GJChronology,"('<clinit>()',)",106,109,0.031702131247412065
org.joda.time.chrono.GJChronology,"('convertByYear(long,org.joda.time.Chronology,org.joda.time.Chronology)',)",84,88,0.031702131247412065
org.joda.time.chrono.GJChronology,"('julianToGregorianByYear(long)',)",584,584,0.031702131247412065
org.joda.time.chrono.BasicWeekyearDateTimeField,"('add(long,int)',)",72,75,0.031686212526223896
org.joda.time.chrono.JulianChronology,"('getAverageMillisPerYearDividedByTwo()',)",253,253,0.03165444689164592
org.joda.time.chrono.JulianChronology,"('getApproxMillisAtEpochDividedByTwo()',)",261,261,0.03165444689164592
org.joda.time.chrono.BasicWeekyearDateTimeField,"('set(long,int)',)",128,204,0.03163859985841663
org.joda.time.chrono.JulianChronology,"('calculateFirstDayOfYearMillis(int)',)",219,237,0.03163859985841663
org.joda.time.chrono.BasicWeekyearDateTimeField,"('roundFloor(long)',)",234,239,0.0316069770620507
org.joda.time.field.BaseDateTimeField,"('roundCeiling(long)',)",886,890,0.03157544889753363
org.joda.time.chrono.JulianChronology,"('isLeapYear(int)',)",211,211,0.031559720154890156
org.joda.time.chrono.BasicChronology,"('getDayOfWeek(long)',)",543,553,0.031512674583162724
org.joda.time.chrono.BasicChronology,"('getWeekyear(long)',)",502,509,0.031481427501027934
org.joda.time.DateTimeUtils,"('getZone(org.joda.time.DateTimeZone)',)",299,302,0.03146583877637763
org.joda.time.field.DelegatedDateTimeField,"('get(long)',)",96,96,0.03138824102871723
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,"('roundFloor(long)',)",65,65,0.03135736227945324
org.joda.time.chrono.BasicChronology,"('getWeeksInYear(int)',)",336,338,0.031341957040361135
org.joda.time.chrono.BasicChronology,"('getMinimumDaysInFirstWeek()',)",185,185,0.03129587719622029
org.joda.time.field.PreciseDurationDateTimeField,"('roundFloor(long)',)",92,96,0.03125
org.joda.time.field.PreciseDurationDateTimeField,"('getMaximumValueForSet(long,int)',)",163,163,0.031189143077590267
org.joda.time.chrono.BasicWeekyearDateTimeField,"('get(long)',)",60,60,0.03117398431942748
org.joda.time.chrono.BasicChronology,"('getMillisOfDay(long)',)",560,563,0.03114373299321498
org.joda.time.chrono.BasicChronology,"('getFirstWeekOfYearMillis(int)',)",348,357,0.031068488300060003
org.joda.time.chrono.GJDayOfWeekDateTimeField,"('getMaximumValue()',)",112,112,0.03102360242788488
org.joda.time.chrono.GJDayOfWeekDateTimeField,"('getMinimumValue()',)",103,103,0.031008683647302117
org.joda.time.chrono.BasicChronology,"('getWeekOfWeekyear(long)',)",517,517,0.030949223029508647
org.joda.time.chrono.BasicChronology,"('getDateTimeMillis(int,int,int,int)',)",153,159,0.030934411244487297
org.joda.time.chrono.BasicChronology,"('getWeekOfWeekyear(long,int)',)",525,533,0.030845984923781787
org.joda.time.field.PreciseDateTimeField,"('get(long)',)",79,82,0.030831320798910367
org.joda.time.field.BaseDateTimeField,"('getMaximumValue(long)',)",792,792,0.030556616567607043
org.joda.time.Instant,"('Instant(long)',)",118,120,0.0301237616564389
org.joda.time.Instant,"('getMillis()',)",256,256,0.029974532466509034
org.joda.time.field.DecoratedDurationField,"('getUnitMillis()',)",101,101,0.029361010975735173
org.joda.time.chrono.JulianChronology,"('JulianChronology(org.joda.time.Chronology,java.lang.Object,int)',)",162,163,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('<clinit>()',)",71,75,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('getInstance(org.joda.time.DateTimeZone)',)",114,114,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('getInstance(org.joda.time.DateTimeZone,int)',)",125,152,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('getMinYear()',)",241,241,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('getMaxYear()',)",245,245,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('getAverageMillisPerYear()',)",249,249,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('getAverageMillisPerMonth()',)",257,257,0.0292103118918493
org.joda.time.chrono.JulianChronology,"('assemble(org.joda.time.chrono.AssembledChronology$Fields)',)",265,271,0.0292103118918493
org.joda.time.base.AbstractPartial,"('AbstractPartial()',)",54,55,0.027820744203732862
org.joda.time.DateTimeZone,"('convertUTCToLocal(long)',)",952,958,0.027524094128159017
org.joda.time.DateTime,"('toDateTime()',)",527,527,0.026669037353133248
org.joda.time.DateTime,"('DateTime(int,int,int,int,int,int,int,org.joda.time.Chronology)',)",516,518,0.026444294267397254
org.joda.time.field.DelegatedDateTimeField,"('isSupported()',)",88,88,0.025863030005593587
org.joda.time.field.DelegatedDateTimeField,"('getLeapDurationField()',)",208,208,0.025863030005593587
org.joda.time.field.DelegatedDateTimeField,"('getDurationField()',)",192,192,0.025854384499750957
org.joda.time.field.DelegatedDateTimeField,"('getType()',)",80,80,0.0257941077511379
org.joda.time.chrono.BasicChronology,"('getMonthOfYear(long)',)",444,444,0.02539183580595128
org.joda.time.chrono.BasicMonthOfYearDateTimeField,"('get(long)',)",72,72,0.025318484177091666
org.joda.time.field.DelegatedDateTimeField,"('getRangeDurationField()',)",196,196,0.02529417453713473
org.joda.time.field.SkipDateTimeField,"('SkipDateTimeField(org.joda.time.Chronology,org.joda.time.DateTimeField)',)",54,55,0.02511009804759127
org.joda.time.field.DelegatedDateTimeField,"('getMinimumValue()',)",212,212,0.025102185616940248
org.joda.time.field.SkipDateTimeField,"('SkipDateTimeField(org.joda.time.Chronology,org.joda.time.DateTimeField,int)',)",65,76,0.025102185616940248
org.joda.time.chrono.BasicWeekyearDateTimeField,"('getMinimumValue()',)",224,224,0.02507849312877596
org.joda.time.field.DelegatedDateTimeField,"('DelegatedDateTimeField(org.joda.time.DateTimeField)',)",52,53,0.025031308716087945
org.joda.time.field.DelegatedDateTimeField,"('DelegatedDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeFieldType)',)",62,68,0.025031308716087945
org.joda.time.chrono.BasicYearDateTimeField,"('getMinimumValue()',)",115,115,0.024625761678892605
org.joda.time.chrono.GJDayOfWeekDateTimeField,"('get(long)',)",56,56,0.024182541670333724
org.joda.time.chrono.BasicYearDateTimeField,"('set(long,int)',)",82,84,0.024049303512194094
org.joda.time.field.OffsetDateTimeField,"('getLeapDurationField()',)",165,165,0.024014605321403707
org.joda.time.chrono.BasicGJChronology,"('getDaysInMonthMaxForSet(long,int)',)",134,134,0.023945657130528784
org.joda.time.chrono.BasicDayOfMonthDateTimeField,"('getMaximumValueForSet(long,int)',)",96,96,0.023945657130528784
org.joda.time.chrono.BasicChronology,"('getDayOfMonth(long,int)',)",467,468,0.02393193862059127
org.joda.time.chrono.BasicMonthOfYearDateTimeField,"('set(long,int)',)",298,310,0.02393193862059127
org.joda.time.chrono.BasicChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",167,177,0.023662426214015053
org.joda.time.chrono.BasicChronology,"('getDayOfYear(long,int)',)",494,495,0.023655804575095973
org.joda.time.field.PreciseDateTimeField,"('set(long,int)',)",111,112,0.02356368148131365
org.joda.time.field.PreciseDurationDateTimeField,"('set(long,int)',)",78,80,0.023498534324630827
org.joda.time.tz.CachedDateTimeZone,"('createInfo(long)',)",152,166,0.023479095302146476
org.joda.time.chrono.BasicDayOfMonthDateTimeField,"('getMinimumValue()',)",55,55,0.02341464528954235
org.joda.time.tz.CachedDateTimeZone,"('getOffset(long)',)",103,103,0.02340181886004545
org.joda.time.tz.CachedDateTimeZone,"('getInfo(long)',)",140,148,0.02339541354478655
org.joda.time.chrono.BasicGJChronology,"('getDaysInYearMonth(int,int)',)",120,123,0.022680460581325723
org.joda.time.base.BaseDateTime,"('BaseDateTime(int,int,int,int,int,int,int,org.joda.time.Chronology)',)",252,257,0.022456322822201027
org.joda.time.field.PreciseDateTimeField,"('getMaximumValue()',)",131,131,0.02242242646654375
org.joda.time.chrono.BasicYearDateTimeField,"('get(long)',)",54,54,0.022405535747411044
org.joda.time.chrono.BasicChronology,"('getDayOfMonth(long)',)",457,459,0.022233204294660427
org.joda.time.field.FieldUtils,"('verifyValueBounds(org.joda.time.DateTimeField,int,int,int)',)",217,222,0.02220577958421638
org.joda.time.chrono.BasicDayOfMonthDateTimeField,"('get(long)',)",47,47,0.02217845610938612
org.joda.time.chrono.BasicChronology,"('getDayOfMonth(long,int,int)',)",477,479,0.02205941986694528
org.joda.time.chrono.BasicChronology,"('getDateMidnightMillis(int,int,int)',)",612,615,0.022005942406783077
org.joda.time.chrono.BasicChronology,"('getMaxMonth(int)',)",691,691,0.021995293510729184
org.joda.time.field.FieldUtils,"('verifyValueBounds(org.joda.time.DateTimeFieldType,int,int,int)',)",235,240,0.021995293510729184
org.joda.time.chrono.BasicGJChronology,"('getMonthOfYear(long,int)',)",88,94,0.02196873875818734
org.joda.time.chrono.GregorianChronology,"('getMinYear()',)",221,221,0.02195814375455294
org.joda.time.chrono.GregorianChronology,"('getAverageMillisPerYearDividedByTwo()',)",233,233,0.021884405476620426
org.joda.time.chrono.GregorianChronology,"('getApproxMillisAtEpochDividedByTwo()',)",241,241,0.021884405476620426
org.joda.time.chrono.ISOChronology,"('getInstanceUTC()',)",77,77,0.02169815183013731
org.joda.time.chrono.GregorianChronology,"('isLeapYear(int)',)",197,197,0.021383343303319473
org.joda.time.base.BaseDateTime,"('checkInstant(long,org.joda.time.Chronology)',)",284,284,0.02108653748577924
org.joda.time.base.BaseDateTime,"('checkChronology(org.joda.time.Chronology)',)",270,270,0.02084690996125416
org.joda.time.chrono.BasicChronology,"('getYearMonthDayMillis(int,int,int)',)",394,396,0.020824296970586242
org.joda.time.base.AbstractDateTime,"('AbstractDateTime()',)",51,52,0.020806259464411975
org.joda.time.chrono.BasicChronology,"('getYearMillis(int)',)",369,369,0.020480798012976014
org.joda.time.chrono.BasicChronology,"('getYearInfo(int)',)",747,752,0.020480798012976014
org.joda.time.base.AbstractInstant,"('AbstractInstant()',)",61,62,0.020344711469278985
org.joda.time.chrono.ISOChronology,"('getInstance(org.joda.time.DateTimeZone)',)",96,112,0.019721909504608663
org.joda.time.DateTimeUtils,"('getChronology(org.joda.time.Chronology)',)",282,285,0.01888473936501245
org.joda.time.DateTimeUtils,"('setCurrentMillisFixed(long)',)",112,114,0.01880776093110498
org.joda.time.DateTimeUtils,"('setCurrentMillisSystem()',)",98,100,0.018801111554573632
org.joda.time.DateTimeUtils,"('checkPermission()',)",159,163,0.018801111554573632
org.joda.time.chrono.GJEraDateTimeField,"('getDurationField()',)",127,127,0.018439642112147228
org.joda.time.chrono.GJEraDateTimeField,"('getRangeDurationField()',)",131,131,0.018439642112147228
org.joda.time.chrono.ISOChronology,"('withUTC()',)",133,133,0.018343220956176326
org.joda.time.DateTimeZone,"('setDefault(org.joda.time.DateTimeZone)',)",175,185,0.018272652143588818
org.joda.time.tz.CachedDateTimeZone,"('hashCode()',)",123,123,0.018263507434294626
org.joda.time.DateTimeZone,"('hashCode()',)",1276,1276,0.018130943107347374
org.joda.time.field.UnsupportedDurationField,"('getUnitMillis()',)",218,218,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('ZonedChronology(org.joda.time.Chronology,org.joda.time.DateTimeZone)',)",81,82,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('getInstance(org.joda.time.Chronology,org.joda.time.DateTimeZone)',)",55,65,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('useTimeArithmetic(org.joda.time.DurationField)',)",71,71,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('getZone()',)",85,85,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('assemble(org.joda.time.chrono.AssembledChronology$Fields)',)",150,194,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('convertField(org.joda.time.DurationField,java.util.HashMap)',)",197,205,0.01812796373946803
org.joda.time.chrono.ZonedChronology,"('convertField(org.joda.time.DateTimeField,java.util.HashMap)',)",209,221,0.01812796373946803
org.joda.time.field.ScaledDurationField,"('getUnitMillis()',)",109,109,0.018124985839860344
org.joda.time.chrono.AssembledChronology,"('getParam()',)",315,315,0.018042195912175808
org.joda.time.field.MillisDurationField,"('hashCode()',)",155,155,0.017747130188322274
org.joda.time.field.PreciseDurationField,"('hashCode()',)",142,145,0.017747130188322274
org.joda.time.field.ZeroIsMaxDateTimeField,"('getLeapDurationField()',)",101,101,0.017747130188322274
org.joda.time.chrono.BasicYearDateTimeField,"('getLeapDurationField()',)",111,111,0.017747130188322274
org.joda.time.field.ScaledDurationField,"('hashCode()',)",147,151,0.017747130188322274
org.joda.time.chrono.BasicMonthOfYearDateTimeField,"('getLeapDurationField()',)",334,334,0.017747130188322274
org.joda.time.chrono.BasicWeekyearDateTimeField,"('getLeapDurationField()',)",220,220,0.017747130188322274
org.joda.time.field.MillisDurationField,"('getType()',)",49,49,0.0177443360246919
org.joda.time.field.BaseDateTimeField,"('getLeapDurationField()',)",726,726,0.017738751654443555
org.joda.time.chrono.GJDayOfWeekDateTimeField,"('getRangeDurationField()',)",94,94,0.017730384976049764
org.joda.time.field.DecoratedDurationField,"('getWrappedField()',)",69,69,0.017708131581681406
org.joda.time.field.DecoratedDateTimeField,"('getRangeDurationField()',)",90,90,0.01769149641447584
org.joda.time.field.RemainderDateTimeField,"('getRangeDurationField()',)",139,139,0.01769149641447584
org.joda.time.chrono.BasicDayOfYearDateTimeField,"('getRangeDurationField()',)",56,56,0.017680432313071925
org.joda.time.chrono.BasicWeekyearDateTimeField,"('getRangeDurationField()',)",208,208,0.017680432313071925
