File,Signature,StartLine,EndLine,Suspiciousness
com.google.javascript.jscomp.Compiler,"('Compiler(java.io.PrintStream)',)",75,1557,0.780775735964558
com.google.javascript.jscomp.LoggerErrorManager,"('printSummary()',)",63,74,0.6599244503568773
com.google.javascript.jscomp.LightweightMessageFormatter,"('format(com.google.javascript.jscomp.JSError,boolean)',)",68,108,0.46451528892620464
com.google.javascript.jscomp.DefaultPassConfig,"('DefaultPassConfig(com.google.javascript.jscomp.CompilerOptions)',)",92,1953,0.45391450333572647
com.google.javascript.jscomp.SourceFile,"('getLine(int)',)",148,180,0.3450101159020268
com.google.javascript.jscomp.LoggerErrorManager,"('println(com.google.javascript.jscomp.CheckLevel,com.google.javascript.jscomp.JSError)',)",51,59,0.3137044978815316
com.google.javascript.jscomp.BasicErrorManager,"('BasicErrorManager()',)",37,173,0.28909123091512734
com.google.javascript.jscomp.VarCheck,"('visit(com.google.javascript.jscomp.NodeTraversal,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node)',)",114,199,0.2866803944682804
com.google.javascript.jscomp.JSError,"('format(com.google.javascript.jscomp.CheckLevel,com.google.javascript.jscomp.MessageFormatter)',)",174,182,0.22815028259320788
com.google.javascript.jscomp.AbstractMessageFormatter,"('getLevelName(com.google.javascript.jscomp.CheckLevel)',)",74,77,0.22584661025183966
com.google.javascript.rhino.Node,"('addSuppression(java.lang.String)',)",2043,2047,0.22360679774997896
com.google.javascript.rhino.TokenStream,"('TokenStream(com.google.javascript.rhino.Parser,java.io.Reader,java.lang.String,int)',)",73,1680,0.19421445898443296
com.google.javascript.jscomp.AbstractMessageFormatter,"('maybeColorize(java.lang.String,com.google.javascript.jscomp.AbstractMessageFormatter$Color)',)",82,84,0.1875
com.google.javascript.jscomp.CompilerInput,"('CompilerInput(com.google.javascript.jscomp.SourceAst,java.lang.String,boolean)',)",52,75,0.17347450522471355
com.google.javascript.jscomp.VarCheck,"('createSynthesizedExternVar(java.lang.String)',)",206,221,0.16896498119293107
com.google.javascript.jscomp.Compiler,"('getSourceLine(java.lang.String,int)',)",1711,1718,0.16552769826920213
com.google.javascript.jscomp.Compiler,"('getSourceFileByName(java.lang.String)',)",1704,1707,0.1638845556143734
com.google.javascript.jscomp.ProcessDefines,"('collectDefines(com.google.javascript.rhino.Node,com.google.javascript.jscomp.GlobalNamespace)',)",174,208,0.16040676440743834
com.google.javascript.jscomp.LightweightMessageFormatter,"('formatWarning(com.google.javascript.jscomp.JSError)',)",63,63,0.15811388300841897
com.google.javascript.jscomp.SyntacticScopeCreator,"('declareVar(java.lang.String,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.rhino.Node,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.Node)',)",243,250,0.15132489946939878
com.google.javascript.jscomp.ProcessClosurePrimitives,"('isNamespacePlaceholder(com.google.javascript.rhino.Node)',)",882,895,0.14795296916355896
