File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.core.base.GeneratorBase,"('writeObject(java.lang.Object)',)",368,383,0.823447459448815
com.fasterxml.jackson.core.JsonGenerator,"('_writeSimpleObject(java.lang.Object)',)",1922,1975,0.7587949397667187
com.fasterxml.jackson.core.JsonGenerator,"('writeEmbeddedObject(java.lang.Object)',)",1330,1330,0.7559289460184544
com.fasterxml.jackson.core.JsonProcessingException,"('toString()',)",127,127,0.7142857142857143
com.fasterxml.jackson.core.JsonFactory,"('_decorate(java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext)',)",1455,1461,0.5124880141603774
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('_writeBinary(com.fasterxml.jackson.core.Base64Variant,byte[],int,int)',)",1734,1769,0.5047283685580732
com.fasterxml.jackson.core.JsonFactory,"('createGenerator(java.io.OutputStream,com.fasterxml.jackson.core.JsonEncoding)',)",1092,1098,0.5025803227118693
com.fasterxml.jackson.core.JsonFactory,"('_createUTF8Generator(java.io.OutputStream,com.fasterxml.jackson.core.io.IOContext)',)",1384,1393,0.4958683754940786
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('writeBinary(com.fasterxml.jackson.core.Base64Variant,byte[],int,int)',)",763,775,0.4786073756766679
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('UTF8JsonGenerator(com.fasterxml.jackson.core.io.IOContext,int,com.fasterxml.jackson.core.ObjectCodec,java.io.OutputStream)',)",52,134,0.46097650407155255
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('_verifyValueWrite(java.lang.String)',)",1001,1034,0.45459349126269155
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('writeFieldName(java.lang.String)',)",179,224,0.45215961340986044
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('writeStartObject()',)",313,323,0.3829930844258422
com.fasterxml.jackson.core.JsonFactory,"('canHandleBinaryNatively()',)",391,391,0.3779644730092272
com.fasterxml.jackson.core.JsonFactory,"('createGenerator(java.io.OutputStream)',)",1110,1110,0.37282185960072
com.fasterxml.jackson.core.JsonGenerationException,"('JsonGenerationException(java.lang.String,com.fasterxml.jackson.core.JsonGenerator)',)",48,50,0.3666793988112846
com.fasterxml.jackson.core.JsonProcessingException,"('getMessage()',)",104,124,0.3505910854294232
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('<clinit>()',)",29,33,0.3387537429470791
com.fasterxml.jackson.core.JsonGenerator,"('writeBinary(byte[])',)",1144,1145,0.3380617018914066
com.fasterxml.jackson.core.io.IOContext,"('allocWriteEncodingBuffer()',)",159,160,0.3281650616569468
com.fasterxml.jackson.core.json.UTF8JsonGenerator,"('_writeStringSegment(java.lang.String,int,int)',)",1275,1300,0.3138920398458028
com.fasterxml.jackson.core.io.CharTypes,"('copyHexBytes()',)",256,256,0.2958039891549808
com.fasterxml.jackson.core.json.JsonGeneratorImpl,"('JsonGeneratorImpl(com.fasterxml.jackson.core.io.IOContext,int,com.fasterxml.jackson.core.ObjectCodec)',)",53,110,0.2933959425887159
