File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.databind.ObjectMapper,"('treeToValue(com.fasterxml.jackson.core.TreeNode,java.lang.Class)',)",2526,2533,1.4141301457499855
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,"('deserializeFromObjectUsingNonDefault(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",1118,1130,0.8218563727467718
com.fasterxml.jackson.databind.node.TreeTraversingParser,"('getTokenLocation()',)",209,209,0.7071067811865475
com.fasterxml.jackson.databind.JsonMappingException,"('toString()',)",455,455,0.7071067811865475
com.fasterxml.jackson.databind.node.ObjectNode,"('putNull(java.lang.String)',)",612,613,0.5773502691896258
com.fasterxml.jackson.databind.node.TreeTraversingParser,"('TreeTraversingParser(com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.core.ObjectCodec)',)",69,80,0.4451540261762396
com.fasterxml.jackson.databind.node.TreeTraversingParser,"('nextToken()',)",122,159,0.4199428295178231
com.fasterxml.jackson.databind.ObjectMapper,"('treeAsTokens(com.fasterxml.jackson.core.TreeNode)',)",2506,2506,0.4082482904638631
com.fasterxml.jackson.databind.node.ContainerNode,"('nullNode()',)",75,75,0.3779644730092272
com.fasterxml.jackson.databind.node.JsonNodeFactory,"('nullNode()',)",109,109,0.31622776601683794
com.fasterxml.jackson.databind.node.NullNode,"('getInstance()',)",22,22,0.30151134457776363
com.fasterxml.jackson.databind.node.ObjectNode,"('fields()',)",125,125,0.2773500981126146
com.fasterxml.jackson.databind.node.ObjectNode,"('put(java.lang.String,int)',)",646,646,0.2773500981126146
com.fasterxml.jackson.databind.node.NullNode,"('NullNode()',)",20,20,0.2773500981126146
com.fasterxml.jackson.databind.node.NullNode,"('<clinit>()',)",18,18,0.2773500981126146
com.fasterxml.jackson.databind.ObjectMapper,"('_readValue(com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.JavaType)',)",3747,3766,0.24635492636742393
com.fasterxml.jackson.databind.node.ContainerNode,"('numberNode(int)',)",85,85,0.23570226039551587
com.fasterxml.jackson.databind.node.ObjectNode,"('put(java.lang.String,java.lang.String)',)",746,746,0.23570226039551587
com.fasterxml.jackson.databind.ObjectMapper,"('disable(com.fasterxml.jackson.databind.DeserializationFeature)',)",1876,1877,0.22941573387056174
com.fasterxml.jackson.databind.ObjectMapper,"('readValue(com.fasterxml.jackson.core.JsonParser,java.lang.Class)',)",2042,2042,0.22941573387056174
com.fasterxml.jackson.databind.node.TextNode,"('valueOf(java.lang.String)',)",34,40,0.21967346800635867
com.fasterxml.jackson.databind.ObjectMapper,"('createObjectNode()',)",2483,2483,0.21320071635561041
com.fasterxml.jackson.databind.node.ContainerNode,"('textNode(java.lang.String)',)",118,118,0.21320071635561041
com.fasterxml.jackson.databind.JsonNode,"('isArray()',)",108,108,0.20412414523193154
com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap,"('_findIndexInHash(java.lang.String)',)",502,522,0.20245347658069004
com.fasterxml.jackson.databind.DeserializationConfig,"('without(com.fasterxml.jackson.databind.DeserializationFeature)',)",464,465,0.2
com.fasterxml.jackson.databind.node.ObjectNode,"('getNodeType()',)",76,76,0.2
com.fasterxml.jackson.databind.JsonMappingException,"('_buildMessage()',)",436,449,0.19669342680475815
com.fasterxml.jackson.databind.ObjectMapper,"('enable(com.fasterxml.jackson.databind.DeserializationFeature)',)",1857,1858,0.19611613513818404
com.fasterxml.jackson.databind.JsonNode,"('isObject()',)",113,113,0.19611613513818404
com.fasterxml.jackson.databind.node.IntNode,"('valueOf(int)',)",46,47,0.18723387351236276
com.fasterxml.jackson.databind.node.ObjectNode,"('_put(java.lang.String,com.fasterxml.jackson.databind.JsonNode)',)",838,839,0.18257418583505536
com.fasterxml.jackson.databind.deser.impl.BeanPropertyMap,"('init(java.util.Collection)',)",67,112,0.1735794456562309
com.fasterxml.jackson.databind.node.JsonNodeFactory,"('textNode(java.lang.String)',)",280,280,0.15249857033260467
com.fasterxml.jackson.databind.JsonMappingException,"('from(com.fasterxml.jackson.core.JsonParser,java.lang.String)',)",216,216,0.15075567228888181
com.fasterxml.jackson.databind.deser.BeanDeserializer,"('deserializeFromObject(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",285,350,0.14679679187600897
com.fasterxml.jackson.databind.node.JsonNodeFactory,"('numberNode(int)',)",158,158,0.14433756729740646
com.fasterxml.jackson.databind.node.TextNode,"('TextNode(java.lang.String)',)",21,21,0.14002800840280097
com.fasterxml.jackson.databind.node.TextNode,"('<clinit>()',)",17,17,0.14002800840280097
com.fasterxml.jackson.databind.node.IntNode,"('IntNode(int)',)",43,43,0.14002800840280097
com.fasterxml.jackson.databind.node.IntNode,"('<clinit>()',)",25,30,0.14002800840280097
com.fasterxml.jackson.databind.JsonMappingException,"('JsonMappingException(java.io.Closeable,java.lang.String)',)",183,191,0.13836880053110528
com.fasterxml.jackson.databind.deser.BeanDeserializer,"('deserialize(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",123,135,0.13595812781718924
com.fasterxml.jackson.databind.DeserializationConfig,"('with(com.fasterxml.jackson.databind.DeserializationFeature)',)",418,419,0.1336306209562122
com.fasterxml.jackson.databind.node.NumericNode,"('NumericNode()',)",14,14,0.1203858530857692
com.fasterxml.jackson.databind.JsonMappingException,"('getMessage()',)",428,428,0.11396057645963795
com.fasterxml.jackson.databind.introspect.AnnotatedClass,"('_isIncludableField(java.lang.reflect.Field)',)",1000,1009,0.10783414601213395
com.fasterxml.jackson.databind.node.JsonNodeFactory,"('objectNode()',)",316,316,0.10660035817780521
com.fasterxml.jackson.databind.node.ObjectNode,"('ObjectNode(com.fasterxml.jackson.databind.node.JsonNodeFactory)',)",24,26,0.10540925533894598
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,"('createContextual(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanProperty)',)",179,184,0.10380220956710634
com.fasterxml.jackson.databind.DeserializationConfig,"('getNodeFactory()',)",879,879,0.10050378152592121
com.fasterxml.jackson.databind.node.ContainerNode,"('ContainerNode(com.fasterxml.jackson.databind.node.JsonNodeFactory)',)",25,27,0.09901475429766744
com.fasterxml.jackson.databind.DeserializationConfig,"('DeserializationConfig(com.fasterxml.jackson.databind.DeserializationConfig,int,int,int,int,int,int)',)",124,132,0.09667364890456637
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('findDefaultDeserializer(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.BeanDescription)',)",1543,1607,0.09465316610521826
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,"('resolve(com.fasterxml.jackson.databind.DeserializationContext)',)",119,155,0.09247692662403101
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('createMapDeserializer(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.type.MapType,com.fasterxml.jackson.databind.BeanDescription)',)",1100,1175,0.0919138505910777
com.fasterxml.jackson.databind.deser.std.MapDeserializer,"('resolve(com.fasterxml.jackson.databind.DeserializationContext)',)",201,219,0.09187104321917618
com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector,"('findKeyDeserializer(com.fasterxml.jackson.databind.introspect.Annotated)',)",903,910,0.09071072458084124
com.fasterxml.jackson.databind.type.TypeFactory,"('constructSpecializedType(com.fasterxml.jackson.databind.JavaType,java.lang.Class)',)",315,397,0.09055709916076116
com.fasterxml.jackson.databind.deser.std.NumberDeserializers,"('NumberDeserializers()',)",20,587,0.09042399468091789
com.fasterxml.jackson.databind.deser.std.MapDeserializer,"('_isStdKeyDeser(com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.KeyDeserializer)',)",174,182,0.08978180605173497
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('_findCustomMapDeserializer(com.fasterxml.jackson.databind.type.MapType,com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.KeyDeserializer,com.fasterxml.jackson.databind.jsontype.TypeDeserializer,com.fasterxml.jackson.databind.JsonDeserializer)',)",1727,1734,0.089190822798175
com.fasterxml.jackson.databind.node.ValueNode,"('ValueNode()',)",19,19,0.08838834764831843
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory,"('materializeAbstractType(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.BeanDescription)',)",185,191,0.08731179485291563
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('createCollectionDeserializer(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.BeanDescription)',)",975,1046,0.08629265998960073
com.fasterxml.jackson.databind.JsonNode,"('JsonNode()',)",49,49,0.08574929257125441
com.fasterxml.jackson.databind.node.BaseJsonNode,"('BaseJsonNode()',)",22,22,0.08574929257125441
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,"('_findCustomCollectionDeserializer(com.fasterxml.jackson.databind.type.CollectionType,com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.BeanDescription,com.fasterxml.jackson.databind.jsontype.TypeDeserializer,com.fasterxml.jackson.databind.JsonDeserializer)',)",1683,1690,0.08436867105557544
com.fasterxml.jackson.databind.deser.DeserializerCache,"('modifyTypeByAnnotation(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.introspect.Annotated,com.fasterxml.jackson.databind.JavaType)',)",475,524,0.08415568312785088
com.fasterxml.jackson.databind.deser.DeserializerCache,"('_createDeserializer2(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.deser.DeserializerFactory,com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.BeanDescription)',)",368,406,0.08408420978805929
