File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl,"('getValue(java.lang.String,org.apache.commons.jxpath.ri.compiler.Expression)',)",323,361,0.8673514469748541
org.apache.commons.jxpath.ri.compiler.CoreOperationUnion,"('computeValue(org.apache.commons.jxpath.ri.EvalContext)',)",35,45,0.8385786187320015
org.apache.commons.jxpath.JXPathException,"('getMessage()',)",88,98,0.7357022603955159
org.apache.commons.jxpath.ri.InfoSetUtil,"('stringValue(java.lang.Object)',)",40,62,0.6882194562046626
org.apache.commons.jxpath.ri.axes.UnionContext,"('setPosition(int)',)",46,63,0.6685269295689532
org.apache.commons.jxpath.ri.parser.XPathParser,"('UnionExpr()',)",1144,1167,0.6676850840417791
org.apache.commons.jxpath.ri.EvalContext,"('getSingleNodePointer()',)",282,288,0.6228591583077107
org.apache.commons.jxpath.ri.axes.NodeSetContext,"('nextSet()',)",57,61,0.5892008134713498
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"('XPathParserTokenManager(org.apache.commons.jxpath.ri.parser.SimpleCharStream)',)",8,1803,0.5056212991311706
org.apache.commons.jxpath.ri.EvalContext,"('nextSet()',)",302,330,0.4870109870150755
org.apache.commons.jxpath.ri.compiler.TreeCompiler,"('union(java.lang.Object[])',)",121,121,0.47140452079103173
org.apache.commons.jxpath.ri.compiler.CoreOperationUnion,"('CoreOperationUnion(org.apache.commons.jxpath.ri.compiler.Expression[])',)",31,32,0.47140452079103173
org.apache.commons.jxpath.ri.axes.NodeSetContext,"('getNodeSet()',)",39,39,0.4472135954999579
org.apache.commons.jxpath.ri.axes.UnionContext,"('UnionContext(org.apache.commons.jxpath.ri.EvalContext,org.apache.commons.jxpath.ri.EvalContext[])',)",37,39,0.4472135954999579
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_179()',)",3049,3053,0.4176206402180468
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_177()',)",3057,3065,0.4108727534105593
org.apache.commons.jxpath.ri.axes.NodeSetContext,"('NodeSetContext(org.apache.commons.jxpath.ri.EvalContext,org.apache.commons.jxpath.NodeSet)',)",30,36,0.4082482904638631
org.apache.commons.jxpath.ri.axes.NodeSetContext,"('setPosition(int)',)",52,53,0.4082482904638631
org.apache.commons.jxpath.ri.axes.NodeSetContext,"('nextNode()',)",65,65,0.4082482904638631
org.apache.commons.jxpath.JXPathException,"('getCause()',)",115,115,0.4082482904638631
org.apache.commons.jxpath.BasicNodeSet,"('getPointers()',)",50,53,0.3651483716701107
org.apache.commons.jxpath.JXPathNotFoundException,"('JXPathNotFoundException(java.lang.String)',)",31,32,0.35355339059327373
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_69()',)",3485,3487,0.35326538998856233
org.apache.commons.jxpath.ri.parser.XPathParser,"('CoreFunctionName()',)",177,303,0.3402465535212983
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_18()',)",1899,1989,0.31236301081230744
org.apache.commons.jxpath.BasicNodeSet,"('BasicNodeSet()',)",28,29,0.3086066999241838
org.apache.commons.jxpath.ri.compiler.LocationPath,"('compute(org.apache.commons.jxpath.ri.EvalContext)',)",60,66,0.28303180238113157
org.apache.commons.jxpath.JXPathException,"('JXPathException(java.lang.String)',)",49,51,0.25
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_191()',)",2951,2959,0.24328359697216964
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_193()',)",2864,2866,0.23916889863153862
org.apache.commons.jxpath.ri.model.NodePointer,"('isDefaultNamespace(java.lang.String)',)",542,547,0.23570226039551584
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer,"('childIterator(org.apache.commons.jxpath.ri.compiler.NodeTest,boolean,org.apache.commons.jxpath.ri.model.NodePointer)',)",45,57,0.22878253975641594
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_189()',)",2970,2976,0.2261414433526411
org.apache.commons.jxpath.ri.model.beans.PropertyOwnerPointer,"('PropertyOwnerPointer(org.apache.commons.jxpath.ri.model.NodePointer,java.util.Locale)',)",74,90,0.22193746805857495
org.apache.commons.jxpath.ri.parser.XPathParser,"('AbsoluteLocationPath()',)",514,541,0.21900011897979108
org.apache.commons.jxpath.JXPathContext,"('JXPathContext(org.apache.commons.jxpath.JXPathContext,java.lang.Object)',)",389,437,0.21180997611155908
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager,"('getNextToken()',)",1812,1871,0.20516782170433703
org.apache.commons.jxpath.ri.model.beans.BeanPointer,"('getLength()',)",93,93,0.20203050891044214
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_183()',)",3016,3022,0.19825546503561142
org.apache.commons.jxpath.xml.DOMParser,"('parseXML(java.io.InputStream)',)",35,48,0.18226447537315343
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_187()',)",3003,3005,0.17560819672005873
org.apache.commons.jxpath.ri.parser.XPathParser,"('LocationPath()',)",438,507,0.1727056850288782
org.apache.commons.jxpath.ri.compiler.Path,"('buildContextChain(org.apache.commons.jxpath.ri.EvalContext,int,boolean)',)",224,246,0.1661962281970316
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_16()',)",2891,2899,0.16583726475934052
org.apache.commons.jxpath.ri.compiler.Path,"('createContextForStep(org.apache.commons.jxpath.ri.EvalContext,int,org.apache.commons.jxpath.ri.compiler.NodeTest)',)",258,296,0.1654374778709365
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_102()',)",2735,2737,0.16502453653295182
org.apache.commons.jxpath.ri.axes.InitialContext,"('setPosition(int)',)",63,71,0.16499924148196848
org.apache.commons.jxpath.xml.DocumentContainer,"('DocumentContainer(java.net.URL)',)",82,83,0.16329931618554522
org.apache.commons.jxpath.ri.axes.ChildContext,"('prepare()',)",106,112,0.162746694241347
org.apache.commons.jxpath.xml.DocumentContainer,"('getParser(java.lang.String)',)",157,173,0.1612265252772247
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_129()',)",2569,2608,0.15906101816426907
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_153()',)",2071,2073,0.15866562998097328
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_152()',)",2318,2320,0.15866562998097328
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_151()',)",2336,2338,0.15866562998097328
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_150()',)",2348,2350,0.15866562998097328
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_149()',)",2360,2362,0.15866562998097328
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_123()',)",3237,3246,0.158586412097606
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_148()',)",2380,2382,0.15775112305570638
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_147()',)",2392,2394,0.15775112305570638
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_146()',)",2404,2406,0.15775112305570638
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_145()',)",2410,2412,0.15775112305570638
org.apache.commons.jxpath.ri.parser.XPathParser,"('jj_3R_144()',)",2428,2430,0.15775112305570638
