File,Signature,StartLine,EndLine,Suspiciousness
org.mockito.internal.progress.ArgumentMatcherStorageImpl,"('validateState()',)",100,105,0.6071212812167149
org.mockito.exceptions.Reporter,"('misplacedArgumentMatcher(org.mockito.internal.debugging.Location)',)",423,423,0.43301270189221935
org.mockito.exceptions.misusing.InvalidUseOfMatchersException,"('InvalidUseOfMatchersException(java.lang.String)',)",14,15,0.3872983346207417
org.mockito.Matchers,"('argThat(org.hamcrest.Matcher)',)",629,629,0.15161960871578067
org.mockito.internal.creation.jmock.ClassImposterizer,"('createProxyClass(java.lang.Class,java.lang.Class[])',)",64,101,0.11616708445779297
org.mockito.internal.progress.MockingProgressImpl,"('validateMostStuff()',)",80,89,0.11602454242333793
org.mockito.internal.configuration.ClassPathLoader,"('loadConfiguration()',)",18,32,0.1152917646698075
org.mockito.internal.util.MockCreationValidator,"('validateMockedType(java.lang.Class,java.lang.Object)',)",36,42,0.11200366511395156
org.mockito.internal.configuration.SpyAnnotationEngine,"('process(java.lang.Class,java.lang.Object)',)",28,54,0.11033683422597443
org.mockito.internal.progress.MockingProgressImpl,"('validateState()',)",67,75,0.10934835431912059
org.mockito.internal.configuration.InjectingAnnotationEngine,"('processInjectMocks(java.lang.Class,java.lang.Object)',)",59,71,0.10877211889327693
org.mockito.internal.util.MockCreationValidator,"('validateExtraInterfaces(java.lang.Class,java.lang.Class[])',)",24,33,0.10848665677394367
org.mockito.internal.util.MockCreationValidator,"('validateType(java.lang.Class)',)",18,21,0.10837917859582093
org.mockito.internal.configuration.GlobalConfiguration,"('createConfig()',)",37,42,0.10833525255477917
org.mockito.internal.creation.jmock.ClassImposterizer,"('setConstructorsAccessible(java.lang.Class,boolean)',)",58,61,0.10816811865141654
org.mockito.internal.util.MockName,"('toInstanceName(java.lang.Class)',)",26,32,0.10593134707868128
org.mockito.internal.progress.MockingProgressImpl,"('mockingStarted(java.lang.Object,java.lang.Class,org.mockito.MockSettings)',)",112,116,0.10562013957620135
org.mockito.internal.creation.jmock.SearchingClassLoader,"('combine(java.util.List)',)",53,59,0.10534580108801943
org.mockito.internal.creation.jmock.ClassImposterizer,"('<clinit>()',)",21,37,0.10507358926072426
org.mockito.internal.configuration.DefaultAnnotationEngine,"('process(java.lang.Class,java.lang.Object)',)",79,96,0.10366526776495356
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls,"('ReturnsSmartNulls()',)",39,62,0.10245487229457674
