File,Signature,StartLine,EndLine,Suspiciousness
org.joda.time.DateTimeUtils,"('getIntervalChronology(org.joda.time.ReadableInstant,org.joda.time.ReadableInstant)',)",219,228,0.8833582272685847
org.joda.time.chrono.BaseChronology,"('get(org.joda.time.ReadablePeriod,long,long)',)",255,265,0.36984135689632813
org.joda.time.DateTimeUtils,"('getInstantMillis(org.joda.time.ReadableInstant)',)",178,181,0.24300313564987663
org.joda.time.DateTimeZone,"('getOffsetFromLocal(long)',)",907,935,0.2356255094967478
org.joda.time.chrono.BaseChronology,"('get(org.joda.time.ReadablePeriod,long)',)",276,289,0.206989093205445
org.joda.time.DateTimeUtils,"('getPeriodType(org.joda.time.PeriodType)',)",318,321,0.20320178907819764
org.joda.time.tz.CachedDateTimeZone,"('createInfo(long)',)",152,166,0.17598579778738055
org.joda.time.chrono.AssembledChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",131,136,0.16745132604255591
org.joda.time.tz.CachedDateTimeZone,"('previousTransition(long)',)",119,119,0.161970885967925
org.joda.time.chrono.AssembledChronology,"('getZone()',)",107,110,0.13644361336485894
org.joda.time.chrono.ISOChronology,"('getInstance(org.joda.time.DateTimeZone)',)",96,112,0.1356115039632197
org.joda.time.DateTimeUtils,"('getChronology(org.joda.time.Chronology)',)",284,287,0.12133160932459496
org.joda.time.DateTimeUtils,"('checkPermission()',)",161,165,0.11059806181358706
org.joda.time.DateTimeZone,"('setDefault(org.joda.time.DateTimeZone)',)",175,185,0.10618438213245893
org.joda.time.DateTimeZone,"('forTimeZone(java.util.TimeZone)',)",330,365,0.10573287934266236
org.joda.time.DateTimeZone,"('forID(java.lang.String)',)",205,224,0.10484207470585201
org.joda.time.DateTimeZone,"('getDefaultProvider()',)",471,498,0.1006419702118034
org.joda.time.tz.ZoneInfoProvider,"('loadZoneData(java.lang.String)',)",223,239,0.1004490604123172
org.joda.time.DateTimeZone,"('getDefaultNameProvider()',)",554,572,0.10023060697666092
org.joda.time.tz.CachedDateTimeZone,"('<clinit>()',)",39,62,0.10011484806146728
org.joda.time.DateTimeUtils,"('put(java.util.Map,java.lang.String,java.lang.String)',)",65,69,0.10011467995648488
