File,Signature,StartLine,EndLine,Suspiciousness
com.google.javascript.rhino.Node,"('propToString(int)',)",114,142,0.03647972706368232
com.google.javascript.rhino.JSDocInfo,"('documentBlock(java.lang.String)',)",895,904,0.030763588366528847
com.google.javascript.jscomp.parsing.JsDocInfoParser,"('JsDocInfoParser(com.google.javascript.jscomp.parsing.JsDocTokenStream,com.google.javascript.rhino.head.ast.Comment,com.google.javascript.rhino.Node,com.google.javascript.jscomp.parsing.Config,com.google.javascript.rhino.head.ErrorReporter)',)",55,2450,0.01525050465317673
com.google.javascript.rhino.jstype.PropertyMap,"('collectPropertyNames(java.util.Set)',)",174,186,0.011639716357535999
com.google.javascript.rhino.jstype.PropertyMap,"('getSecondaryParents()',)",111,122,0.011132143135936528
com.google.javascript.jscomp.parsing.JsDocTokenStream,"('JsDocTokenStream(java.lang.String,int,int)',)",44,467,0.010946599230663675
com.google.javascript.rhino.JSDocInfo,"('JSDocInfo(boolean)',)",257,353,0.010407543301548241
com.google.javascript.rhino.jstype.PropertyMap,"('getPrimaryParent()',)",99,103,0.010211585634153923
com.google.javascript.rhino.jstype.PropertyMap,"('getPropertiesCount()',)",152,158,0.00976011623508759
com.google.javascript.rhino.jstype.JSType,"('checkEquivalenceHelper(com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.EquivalenceMethod)',)",571,641,0.008400666780877468
com.google.javascript.rhino.jstype.UnionTypeBuilder,"('addAlternate(com.google.javascript.rhino.jstype.JSType)',)",123,280,0.008347262445274275
com.google.javascript.rhino.jstype.UnionTypeBuilder,"('reduceAlternatesWithoutUnion()',)",289,306,0.008329237204168633
com.google.javascript.rhino.jstype.PrototypeObjectType,"('isSubtype(com.google.javascript.rhino.jstype.JSType)',)",318,362,0.008275283810852957
com.google.javascript.rhino.jstype.TemplateTypeMap,"('hasAnyTemplateTypesInternal()',)",322,327,0.008245524152850492
com.google.javascript.rhino.jstype.TemplateTypeMap,"('getTemplateTypeIndex(com.google.javascript.rhino.jstype.TemplateType)',)",169,175,0.00824552415285049
com.google.javascript.rhino.jstype.FunctionType,"('setPrototype(com.google.javascript.rhino.jstype.ObjectType,com.google.javascript.rhino.Node)',)",441,448,0.00824552415285049
com.google.javascript.rhino.jstype.JSType,"('isSubtypeHelper(com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.JSType)',)",1242,1299,0.008245524152850488
com.google.javascript.rhino.jstype.ObjectType,"('isUnknownType()',)",556,571,0.00809653090258836
com.google.javascript.rhino.jstype.JSTypeRegistry,"('addReferenceTypeIndexedByProperty(java.lang.String,com.google.javascript.rhino.jstype.JSType)',)",646,663,0.008064749244589086
com.google.javascript.rhino.jstype.JSTypeRegistry,"('register(com.google.javascript.rhino.jstype.JSType,java.lang.String)',)",602,612,0.007934259315429652
com.google.javascript.rhino.jstype.JSTypeRegistry,"('createOptionalType(com.google.javascript.rhino.jstype.JSType)',)",998,1001,0.007934259315429652
com.google.javascript.rhino.jstype.JSTypeRegistry,"('createFunctionType(com.google.javascript.rhino.jstype.JSType,boolean,com.google.javascript.rhino.jstype.JSType[])',)",1300,1303,0.007934259315429652
com.google.javascript.rhino.jstype.FunctionType,"('setPrototypeNoCheck(com.google.javascript.rhino.jstype.ObjectType,com.google.javascript.rhino.Node)',)",453,486,0.007934259315429652
com.google.javascript.rhino.jstype.InstanceObjectType,"('toStringHelper(boolean)',)",97,100,0.007934259315429652
com.google.javascript.rhino.jstype.InstanceObjectType,"('hashCode()',)",162,165,0.007934259315429652
com.google.javascript.jscomp.parsing.ParserRunner,"('createConfig(boolean,com.google.javascript.jscomp.parsing.Config$LanguageMode,boolean,java.util.Set)',)",61,69,0.007621680002942312
com.google.javascript.rhino.jstype.TemplateTypeMap,"('checkEquivalenceHelper(com.google.javascript.rhino.jstype.TemplateTypeMap,com.google.javascript.rhino.jstype.EquivalenceMethod)',)",198,242,0.007604342445080367
com.google.javascript.rhino.jstype.InstanceObjectType,"('defineProperty(java.lang.String,com.google.javascript.rhino.jstype.JSType,boolean,com.google.javascript.rhino.Node)',)",88,92,0.007450249438526874
com.google.javascript.rhino.Node,"('toString(java.lang.StringBuilder,boolean,boolean,boolean)',)",955,1009,0.007274430661590777
com.google.javascript.rhino.Node,"('lookupProperty(int)',)",766,770,0.006961924920890063
com.google.javascript.rhino.jstype.PrototypeObjectType,"('defineProperty(java.lang.String,com.google.javascript.rhino.jstype.JSType,boolean,com.google.javascript.rhino.Node)',)",137,143,0.0068766496872128295
com.google.javascript.rhino.jstype.PropertyMap,"('putProperty(java.lang.String,com.google.javascript.rhino.jstype.Property)',)",193,200,0.0068766496872128295
com.google.javascript.rhino.Node,"('removeProp(int)',)",788,792,0.006839269101744505
com.google.javascript.rhino.jstype.PrototypeObjectType,"('getReferenceName()',)",302,307,0.006779205186050694
com.google.javascript.rhino.jstype.ProxyObjectType,"('setReferencedType(com.google.javascript.rhino.jstype.JSType)',)",87,93,0.00673244227875941
com.google.javascript.rhino.jstype.FunctionParamBuilder,"('addRequiredParams(com.google.javascript.rhino.jstype.JSType[])',)",63,70,0.00673244227875941
com.google.javascript.rhino.jstype.FunctionParamBuilder,"('addOptionalParams(com.google.javascript.rhino.jstype.JSType[])',)",80,87,0.00673244227875941
com.google.javascript.rhino.JSDocInfo,"('getType(int)',)",1166,1169,0.006322851845220461
com.google.javascript.rhino.jstype.JSType,"('hasAnyTemplateTypes()',)",437,444,0.0062725827457915115
com.google.javascript.rhino.jstype.PrototypeObjectType,"('implicitPrototypeChainIsUnknown()',)",366,373,0.0062725827457915115
com.google.javascript.rhino.jstype.FunctionType,"('getPrototype()',)",368,387,0.0062725827457915115
com.google.javascript.rhino.jstype.FunctionParamBuilder,"('addVarArgs(com.google.javascript.rhino.jstype.JSType)',)",95,108,0.0062725827457915115
com.google.javascript.rhino.jstype.TemplateTypeMap,"('TemplateTypeMap(com.google.javascript.rhino.jstype.JSTypeRegistry,com.google.common.collect.ImmutableList,com.google.common.collect.ImmutableList)',)",71,91,0.005889660109178922
com.google.javascript.rhino.jstype.ObjectType,"('isImplicitPrototype(com.google.javascript.rhino.jstype.ObjectType)',)",530,540,0.005722230671185014
com.google.javascript.rhino.Node,"('removeProp(com.google.javascript.rhino.Node$PropListItem,int)',)",801,810,0.005585031228256991
