File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.codec.binary.Base64,"('encode(byte[],int,int)',)",465,525,0.35501981747324923
org.apache.commons.codec.binary.StringUtils,"('newString(byte[],java.lang.String)',)",186,192,0.34169687847089963
org.apache.commons.codec.binary.Base64,"('encodeBase64(byte[],boolean,boolean,int)',)",821,834,0.3337157877969739
org.apache.commons.codec.binary.Base64,"('encode(byte[])',)",945,965,0.32673142281062834
org.apache.commons.codec.binary.Base64,"('Base64(int,byte[],boolean)',)",332,351,0.27794759765047505
org.apache.commons.codec.binary.StringUtils,"('getBytesUnchecked(java.lang.String,java.lang.String)',)",152,158,0.25568369064112
org.apache.commons.codec.binary.Base64,"('containsBase64Byte(byte[])',)",642,647,0.25
org.apache.commons.codec.binary.Base64,"('resizeBuffer()',)",383,392,0.04240707428402807
org.apache.commons.codec.binary.Base64,"('readResults(byte[],int,int)',)",407,422,0.02696799449852968
org.apache.commons.codec.binary.Base64,"('getEncodeLength(byte[],int,byte[])',)",981,995,0.012346637042789165
org.apache.commons.codec.binary.StringUtils,"('StringUtils()',)",34,34,0.0
org.apache.commons.codec.binary.StringUtils,"('getBytesIso8859_1(java.lang.String)',)",49,49,0.0
org.apache.commons.codec.binary.StringUtils,"('getBytesUsAscii(java.lang.String)',)",65,65,0.0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf16(java.lang.String)',)",81,81,0.0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf16Be(java.lang.String)',)",97,97,0.0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf16Le(java.lang.String)',)",113,113,0.0
org.apache.commons.codec.binary.StringUtils,"('getBytesUtf8(java.lang.String)',)",129,129,0.0
org.apache.commons.codec.binary.StringUtils,"('newIllegalStateException(java.lang.String,java.io.UnsupportedEncodingException)',)",163,163,0.0
org.apache.commons.codec.binary.StringUtils,"('newStringIso8859_1(byte[])',)",208,208,0.0
org.apache.commons.codec.binary.StringUtils,"('newStringUsAscii(byte[])',)",223,223,0.0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf16(byte[])',)",238,238,0.0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf16Be(byte[])',)",253,253,0.0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf16Le(byte[])',)",268,268,0.0
org.apache.commons.codec.binary.StringUtils,"('newStringUtf8(byte[])',)",283,283,0.0
org.apache.commons.codec.DecoderException,"('DecoderException()',)",42,43,0.0
org.apache.commons.codec.DecoderException,"('DecoderException(java.lang.String)',)",53,54,0.0
org.apache.commons.codec.DecoderException,"('DecoderException(java.lang.String,java.lang.Throwable)',)",72,73,0.0
org.apache.commons.codec.DecoderException,"('DecoderException(java.lang.Throwable)',)",86,87,0.0
org.apache.commons.codec.EncoderException,"('EncoderException()',)",44,45,0.0
org.apache.commons.codec.EncoderException,"('EncoderException(java.lang.String)',)",55,56,0.0
org.apache.commons.codec.EncoderException,"('EncoderException(java.lang.String,java.lang.Throwable)',)",74,75,0.0
org.apache.commons.codec.EncoderException,"('EncoderException(java.lang.Throwable)',)",88,89,0.0
org.apache.commons.codec.binary.Base64,"('Base64()',)",237,238,0.0
org.apache.commons.codec.binary.Base64,"('Base64(boolean)',)",256,257,0.0
org.apache.commons.codec.binary.Base64,"('Base64(int)',)",278,279,0.0
org.apache.commons.codec.binary.Base64,"('Base64(int,byte[])',)",304,305,0.0
org.apache.commons.codec.binary.Base64,"('<clinit>()',)",91,137,0.0
org.apache.commons.codec.binary.Base64,"('isUrlSafe()',)",360,360,0.0
org.apache.commons.codec.binary.Base64,"('hasData()',)",369,369,0.0
org.apache.commons.codec.binary.Base64,"('avail()',)",378,378,0.0
org.apache.commons.codec.binary.Base64,"('setInitialBuffer(byte[],int,int)',)",439,444,0.0
org.apache.commons.codec.binary.Base64,"('decode(byte[],int,int)',)",551,602,0.0
org.apache.commons.codec.binary.Base64,"('isBase64(byte)',)",613,613,0.0
org.apache.commons.codec.binary.Base64,"('isArrayByteBase64(byte[])',)",626,631,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64(byte[])',)",658,658,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64String(byte[])',)",670,670,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64URLSafe(byte[])',)",683,683,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64URLSafeString(byte[])',)",696,696,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64Chunked(byte[])',)",707,707,0.0
org.apache.commons.codec.binary.Base64,"('decode(java.lang.Object)',)",721,726,0.0
org.apache.commons.codec.binary.Base64,"('decode(java.lang.String)',)",739,739,0.0
org.apache.commons.codec.binary.Base64,"('decode(byte[])',)",750,768,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64(byte[],boolean)',)",783,783,0.0
org.apache.commons.codec.binary.Base64,"('encodeBase64(byte[],boolean,boolean)',)",801,801,0.0
org.apache.commons.codec.binary.Base64,"('decodeBase64(java.lang.String)',)",846,846,0.0
org.apache.commons.codec.binary.Base64,"('decodeBase64(byte[])',)",857,857,0.0
org.apache.commons.codec.binary.Base64,"('discardWhitespace(byte[])',)",869,884,0.0
org.apache.commons.codec.binary.Base64,"('isWhiteSpace(byte)',)",895,902,0.0
org.apache.commons.codec.binary.Base64,"('encode(java.lang.Object)',)",919,922,0.0
org.apache.commons.codec.binary.Base64,"('encodeToString(byte[])',)",934,934,0.0
org.apache.commons.codec.binary.Base64,"('decodeInteger(byte[])',)",1008,1008,0.0
org.apache.commons.codec.binary.Base64,"('encodeInteger(java.math.BigInteger)',)",1022,1025,0.0
org.apache.commons.codec.binary.Base64,"('toIntegerBytes(java.math.BigInteger)',)",1036,1056,0.0
org.apache.commons.codec.binary.Base64,"('reset()',)",1063,1069,0.0
org.apache.commons.codec.binary.Hex,"('Hex()',)",177,180,0.0
org.apache.commons.codec.binary.Hex,"('Hex(java.lang.String)',)",189,191,0.0
org.apache.commons.codec.binary.Hex,"('<clinit>()',)",48,53,0.0
org.apache.commons.codec.binary.Hex,"('decodeHex(char[])',)",68,85,0.0
org.apache.commons.codec.binary.Hex,"('encodeHex(byte[])',)",98,98,0.0
org.apache.commons.codec.binary.Hex,"('encodeHex(byte[],boolean)',)",114,114,0.0
org.apache.commons.codec.binary.Hex,"('encodeHex(byte[],char[])',)",130,137,0.0
org.apache.commons.codec.binary.Hex,"('encodeHexString(byte[])',)",150,150,0.0
org.apache.commons.codec.binary.Hex,"('toDigit(char,int)',)",165,169,0.0
org.apache.commons.codec.binary.Hex,"('decode(byte[])',)",207,209,0.0
org.apache.commons.codec.binary.Hex,"('decode(java.lang.Object)',)",228,231,0.0
org.apache.commons.codec.binary.Hex,"('encode(byte[])',)",253,253,0.0
org.apache.commons.codec.binary.Hex,"('encode(java.lang.Object)',)",274,279,0.0
org.apache.commons.codec.binary.Hex,"('getCharsetName()',)",290,290,0.0
