File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.csv.CSVParser,"('nextRecord()',)",459,499,0.20076304630410843
org.apache.commons.csv.CSVParser,"('initializeHeader()',)",358,388,0.19125375167860809
org.apache.commons.csv.Lexer,"('nextToken(org.apache.commons.csv.Token)',)",85,163,0.17658021171040492
org.apache.commons.csv.Lexer,"('parseSimpleToken(org.apache.commons.csv.Token,int)',)",188,216,0.17378156011132437
org.apache.commons.csv.CSVParser,"('addRecordValue()',)",252,259,0.17011459920954455
org.apache.commons.csv.CSVFormat,"('validate()',)",642,671,0.16947695281611555
org.apache.commons.csv.Assertions,"('notNull(java.lang.Object,java.lang.String)',)",32,35,0.15567427648262142
org.apache.commons.csv.Lexer,"('readEndOfLine(int)',)",364,368,0.1381856494897475
org.apache.commons.csv.CSVFormat,"('withDelimiter(char)',)",717,720,0.12208664567220492
org.apache.commons.csv.CSVFormat,"('withEscape(java.lang.Character)',)",747,750,0.12208664567220492
org.apache.commons.csv.CSVFormat,"('withQuoteChar(java.lang.Character)',)",845,848,0.12208664567220492
org.apache.commons.csv.CSVRecord,"('putIn(java.util.Map)',)",180,186,0.12157366546160511
org.apache.commons.csv.CSVFormat,"('CSVFormat(char,java.lang.Character,org.apache.commons.csv.Quote,java.lang.Character,java.lang.Character,boolean,boolean,java.lang.String,java.lang.String,java.lang.String[],boolean)',)",300,325,0.10792603303676038
org.apache.commons.csv.ExtendedBufferedReader,"('read()',)",56,61,0.020360756999751015
org.apache.commons.csv.CSVParser,"('CSVParser(java.io.Reader,org.apache.commons.csv.CSVFormat)',)",218,249,0.0041784921293344145
org.apache.commons.csv.CSVParser,"('parse(java.lang.String,org.apache.commons.csv.CSVFormat)',)",174,177,0.002920683122520565
org.apache.commons.csv.CSVParser,"('getRecords(java.util.Collection)',)",345,348,0.002852440174341562
org.apache.commons.csv.Token,"('Token()',)",29,55,5.551115123125783e-17
org.apache.commons.csv.Lexer,"('Lexer(org.apache.commons.csv.CSVFormat,org.apache.commons.csv.ExtendedBufferedReader)',)",61,69,5.551115123125783e-17
org.apache.commons.csv.Token,"('reset()',)",61,64,0.0
org.apache.commons.csv.Token,"('toString()',)",73,73,0.0
org.apache.commons.csv.Assertions,"('Assertions()',)",27,29,0.0
org.apache.commons.csv.CSVFormat,"('<clinit>()',)",174,226,0.0
org.apache.commons.csv.CSVFormat,"('isLineBreak(char)',)",243,243,0.0
org.apache.commons.csv.CSVFormat,"('isLineBreak(java.lang.Character)',)",255,255,0.0
org.apache.commons.csv.CSVFormat,"('newFormat(char)',)",267,267,0.0
org.apache.commons.csv.CSVFormat,"('equals(java.lang.Object)',)",329,393,0.0
org.apache.commons.csv.CSVFormat,"('format(java.lang.Object[])',)",404,410,0.0
org.apache.commons.csv.CSVFormat,"('getCommentStart()',)",420,420,0.0
org.apache.commons.csv.CSVFormat,"('getDelimiter()',)",429,429,0.0
org.apache.commons.csv.CSVFormat,"('getEscape()',)",438,438,0.0
org.apache.commons.csv.CSVFormat,"('getHeader()',)",447,447,0.0
org.apache.commons.csv.CSVFormat,"('getIgnoreEmptyLines()',)",457,457,0.0
org.apache.commons.csv.CSVFormat,"('getIgnoreSurroundingSpaces()',)",467,467,0.0
org.apache.commons.csv.CSVFormat,"('getNullString()',)",484,484,0.0
