File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.databind.introspect.AnnotatedClass,"('getDefaultConstructor()',)",297,300,0.25170831324483484
com.fasterxml.jackson.databind.deser.std.StdDeserializer,"('_deserializeFromEmpty(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",857,874,0.1912065829583077
com.fasterxml.jackson.databind.ser.std.BeanSerializerBase,"('serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)',)",668,700,0.16917258345225844
com.fasterxml.jackson.databind.ser.std.NumberSerializer,"('serialize(java.lang.Number,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)',)",44,66,0.14086980702528584
com.fasterxml.jackson.databind.ObjectWriter,"('_configAndWriteValue(com.fasterxml.jackson.core.JsonGenerator,java.lang.Object)',)",1122,1145,0.13091138986338585
com.fasterxml.jackson.databind.util.LRUMap,"('putIfAbsent(java.lang.Object,java.lang.Object)',)",57,64,0.11407948475513938
com.fasterxml.jackson.databind.deser.std.MapDeserializer,"('deserialize(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)',)",319,345,0.0977376805567821
com.fasterxml.jackson.databind.SerializationConfig,"('initialize(com.fasterxml.jackson.core.JsonGenerator)',)",798,824,0.0790637038295119
com.fasterxml.jackson.databind.type.TypeBindings,"('equals(java.lang.Object)',)",310,323,0.07065004981632199
com.fasterxml.jackson.databind.DeserializationContext,"('_calcName(java.lang.Class)',)",1023,1026,0.06804138174397717
com.fasterxml.jackson.databind.introspect.AnnotatedClass,"('_addAnnotationsIfNotPresent(com.fasterxml.jackson.databind.introspect.AnnotatedMember,java.lang.annotation.Annotation[])',)",1078,1090,0.051815926120613746
com.fasterxml.jackson.databind.ser.std.ObjectArraySerializer,"('withResolved(com.fasterxml.jackson.databind.BeanProperty,com.fasterxml.jackson.databind.jsontype.TypeSerializer,com.fasterxml.jackson.databind.JsonSerializer,java.lang.Boolean)',)",112,116,0.050102299705577155
com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector,"('_addSetterMethod(java.util.Map,com.fasterxml.jackson.databind.introspect.AnnotatedMethod,com.fasterxml.jackson.databind.AnnotationIntrospector)',)",571,601,0.04995775299930856
com.fasterxml.jackson.databind.type.TypeFactory,"('_fromAny(com.fasterxml.jackson.databind.type.ClassStack,java.lang.reflect.Type,com.fasterxml.jackson.databind.type.TypeBindings)',)",1083,1120,0.047571890989575344
com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector,"('_addMethods(java.util.Map)',)",475,497,0.04549601966272634
com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,"('fromMemberAnnotationsExcept(com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder$WithMember,java.lang.Object)',)",1013,1070,0.04464794032955931
com.fasterxml.jackson.databind.ser.std.ObjectArraySerializer,"('createContextual(com.fasterxml.jackson.databind.SerializerProvider,com.fasterxml.jackson.databind.BeanProperty)',)",130,168,0.04310877193928171
