File,Signature,StartLine,EndLine,Suspiciousness
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,"('sanitizeXmlTypeName(java.lang.String)',)",75,110,0.1877398053311273
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"('_wrapAsIOE(com.fasterxml.jackson.core.JsonGenerator,java.lang.Exception)',)",235,242,0.17817416127494962
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,"('_findRootName(java.lang.Class,com.fasterxml.jackson.databind.cfg.MapperConfig)',)",65,90,0.12779745421971847
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('close()',)",1154,1190,0.12487597630584582
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"('_initWithRootName(com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,javax.xml.namespace.QName)',)",185,204,0.1246990791434216
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"('_rootNameFromConfig()',)",208,216,0.12369184771331794
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"('_asXmlGenerator(com.fasterxml.jackson.core.JsonGenerator)',)",223,231,0.1202678764302903
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('initGenerator()',)",191,213,0.11880787834952042
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_createXmlWriter(java.io.Writer)',)",630,634,0.11646278065487271
com.fasterxml.jackson.dataformat.xml.ser.XmlSerializerProvider,"('serializeValue(com.fasterxml.jackson.core.JsonGenerator,java.lang.Object)',)",83,116,0.1159432258250371
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,"('_message(java.lang.Throwable,java.lang.Throwable)',)",60,64,0.11572751247156894
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_initializeXmlWriter(javax.xml.stream.XMLStreamWriter)',)",642,646,0.11520368657695665
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('setNextNameIfMissing(javax.xml.namespace.QName)',)",358,362,0.10888831644461368
com.fasterxml.jackson.dataformat.xml.util.DefaultXmlPrettyPrinter,"('DefaultXmlPrettyPrinter()',)",60,106,0.10698749885901893
com.fasterxml.jackson.dataformat.xml.util.StaxUtil,"('_unwrap(java.lang.Throwable)',)",51,56,0.10690449676496976
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"('XmlBeanSerializerBase(com.fasterxml.jackson.databind.ser.std.BeanSerializerBase)',)",64,107,0.10589275952301447
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerBase,"('serializeFields(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)',)",161,227,0.10331801716084199
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializer,"('serialize(java.lang.Object,com.fasterxml.jackson.core.JsonGenerator,com.fasterxml.jackson.databind.SerializerProvider)',)",109,120,0.1029853253471549
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('writeEndObject()',)",516,527,0.10012963701957175
com.fasterxml.jackson.dataformat.xml.util.XmlRootNameLookup,"('findRootName(java.lang.Class,com.fasterxml.jackson.databind.cfg.MapperConfig)',)",46,58,0.098912603573533
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('_handleEndObject()',)",548,566,0.09766817311218653
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('_handleStartObject()',)",532,542,0.09590824205885262
com.fasterxml.jackson.dataformat.xml.JacksonXmlModule,"('setupModule(com.fasterxml.jackson.databind.Module$SetupContext)',)",61,76,0.0932311803000072
com.fasterxml.jackson.dataformat.xml.ser.XmlBeanSerializerModifier,"('changeProperties(com.fasterxml.jackson.databind.SerializationConfig,com.fasterxml.jackson.databind.BeanDescription,java.util.List)',)",40,71,0.09110532822961788
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('_verifyValueWrite(java.lang.String)',)",1126,1130,0.08531545409874189
com.fasterxml.jackson.dataformat.xml.ser.ToXmlGenerator,"('writeStartObject()',)",504,511,0.07523689066430495
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('_isEmpty(java.lang.String)',)",1020,1028,0.05053103100523312
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('nextToken()',)",473,619,0.03397736361451695
com.fasterxml.jackson.dataformat.xml.deser.XmlBeanDeserializerModifier,"('_findSoleTextProp(com.fasterxml.jackson.databind.DeserializationConfig,java.util.Iterator)',)",113,135,0.024664314491082306
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,"('createContextual(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.BeanProperty)',)",66,100,0.020596358939712584
com.fasterxml.jackson.dataformat.xml.deser.WrapperHandlingDeserializer,"('_verifyDeserType(com.fasterxml.jackson.databind.JsonDeserializer)',)",151,155,0.01967604453669851
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_initializeXmlReader(javax.xml.stream.XMLStreamReader)',)",653,659,0.01842450861435223
com.fasterxml.jackson.dataformat.xml.XmlFactory,"('_createParser(java.io.Reader,com.fasterxml.jackson.core.io.IOContext)',)",550,560,0.018377261547332376
com.fasterxml.jackson.dataformat.xml.deser.FromXmlParser,"('close()',)",370,385,0.017234549688642783
