File,Signature,StartLine,EndLine,Suspiciousness
org.jsoup.parser.CharacterReader,"('bufferUp()',)",47,62,0.25478316990194
org.jsoup.parser.CharacterReader,"('matchesDigit()',)",379,382,0.1984710465093612
org.jsoup.parser.Tokeniser,"('consumeCharacterReference(java.lang.Character,boolean)',)",121,184,0.1890563317302792
org.jsoup.parser.CharacterReader,"('matchesAny(char[])',)",354,363,0.17446578944971328
org.jsoup.nodes.DocumentType,"('setPubSysKey(java.lang.String)',)",74,76,0.16835875742536846
org.jsoup.nodes.Entities,"('codepointsForName(java.lang.String,int[])',)",134,145,0.1515393257042852
org.jsoup.parser.TokeniserState,"('readData(org.jsoup.parser.Tokeniser,org.jsoup.parser.CharacterReader,org.jsoup.parser.TokeniserState,org.jsoup.parser.TokeniserState)',)",1668,1685,0.1426729439773213
org.jsoup.parser.TokenQueue,"('consumeTo(java.lang.String)',)",181,187,0.14085904245475278
org.jsoup.parser.TokeniserState,"('handleDataEndTag(org.jsoup.parser.Tokeniser,org.jsoup.parser.CharacterReader,org.jsoup.parser.TokeniserState)',)",1628,1665,0.13638618139749525
org.jsoup.parser.TokeniserState,"('readEndTag(org.jsoup.parser.Tokeniser,org.jsoup.parser.CharacterReader,org.jsoup.parser.TokeniserState,org.jsoup.parser.TokeniserState)',)",1697,1704,0.13280317881493262
org.jsoup.helper.StringUtil,"('<clinit>()',)",14,247,0.12401650176924985
org.jsoup.parser.TokeniserState,"('readCharRef(org.jsoup.parser.Tokeniser,org.jsoup.parser.TokeniserState)',)",1688,1694,0.1231755782551215
org.jsoup.nodes.LeafNode,"('attr(java.lang.String,java.lang.String)',)",49,55,0.12234403924014524
org.jsoup.parser.HtmlTreeBuilderState,"('HtmlTreeBuilderState(java.lang.String,int)',)",16,1508,0.12216488495051822
org.jsoup.parser.TokeniserState,"('<clinit>()',)",10,1621,0.11341778015405117
org.jsoup.nodes.LeafNode,"('attr(java.lang.String)',)",40,44,0.10803609322021517
org.jsoup.parser.HtmlTreeBuilder,"('HtmlTreeBuilder()',)",58,459,0.10604157209151255
org.jsoup.nodes.LeafNode,"('ensureAttributes()',)",21,28,0.10456072210162855
org.jsoup.parser.CharacterReader,"('matchesIgnoreCase(java.lang.String)',)",339,350,0.10428840510862868
