File,Signature,StartLine,EndLine,Suspiciousness
org.apache.commons.math3.complex.Complex,"('reciprocal()',)",300,319,0.39712511550362317
org.apache.commons.math3.complex.Complex,"('equals(java.lang.Object)',)",340,351,0.09441729211638694
org.apache.commons.math3.complex.Complex,"('multiply(double)',)",481,490,0.03232813841926633
org.apache.commons.math3.complex.Complex,"('divide(org.apache.commons.math3.complex.Complex)',)",248,271,0.021083174074185765
org.apache.commons.math3.complex.Complex,"('multiply(org.apache.commons.math3.complex.Complex)',)",438,449,0.0190291372247198
org.apache.commons.math3.complex.Complex,"('abs()',)",116,133,0.017947979042629677
org.apache.commons.math3.complex.Complex,"('log()',)",784,788,0.017377389655607825
org.apache.commons.math3.complex.Complex,"('add(org.apache.commons.math3.complex.Complex)',)",157,162,0.016571078019814143
org.apache.commons.math3.exception.MathIllegalArgumentException,"('MathIllegalArgumentException(org.apache.commons.math3.exception.util.Localizable,java.lang.Object[])',)",44,47,0.0
org.apache.commons.math3.exception.MathIllegalArgumentException,"('getContext()',)",51,51,0.0
org.apache.commons.math3.exception.MathIllegalArgumentException,"('getMessage()',)",57,57,0.0
org.apache.commons.math3.exception.MathIllegalArgumentException,"('getLocalizedMessage()',)",63,63,0.0
org.apache.commons.math3.exception.MathIllegalNumberException,"('MathIllegalNumberException(org.apache.commons.math3.exception.util.Localizable,java.lang.Number,java.lang.Object[])',)",46,48,0.0
org.apache.commons.math3.exception.MathIllegalNumberException,"('getArgument()',)",54,54,0.0
org.apache.commons.math3.exception.NumberIsTooSmallException,"('NumberIsTooSmallException(java.lang.Number,java.lang.Number,boolean)',)",50,54,0.0
org.apache.commons.math3.exception.NumberIsTooSmallException,"('NumberIsTooSmallException(org.apache.commons.math3.exception.util.Localizable,java.lang.Number,java.lang.Number,boolean)',)",68,72,0.0
org.apache.commons.math3.exception.NumberIsTooSmallException,"('getBoundIsAllowed()',)",78,78,0.0
org.apache.commons.math3.exception.NumberIsTooSmallException,"('getMin()',)",85,85,0.0
org.apache.commons.math3.exception.NotPositiveException,"('NotPositiveException(java.lang.Number)',)",37,38,0.0
org.apache.commons.math3.exception.NotPositiveException,"('NotPositiveException(org.apache.commons.math3.exception.util.Localizable,java.lang.Number)',)",47,48,0.0
org.apache.commons.math3.exception.NullArgumentException,"('NullArgumentException()',)",41,42,0.0
org.apache.commons.math3.exception.NullArgumentException,"('NullArgumentException(org.apache.commons.math3.exception.util.Localizable,java.lang.Object[])',)",50,51,0.0
org.apache.commons.math3.complex.Complex,"('Complex(double)',)",89,90,0.0
org.apache.commons.math3.complex.Complex,"('Complex(double,double)',)",98,105,0.0
org.apache.commons.math3.complex.Complex,"('<clinit>()',)",59,69,0.0
org.apache.commons.math3.complex.Complex,"('add(double)',)",175,179,0.0
org.apache.commons.math3.complex.Complex,"('conjugate()',)",197,201,0.0
org.apache.commons.math3.complex.Complex,"('divide(double)',)",285,294,0.0
org.apache.commons.math3.complex.Complex,"('hashCode()',)",363,366,0.0
org.apache.commons.math3.complex.Complex,"('getImaginary()',)",376,376,0.0
org.apache.commons.math3.complex.Complex,"('getReal()',)",385,385,0.0
org.apache.commons.math3.complex.Complex,"('isNaN()',)",396,396,0.0
org.apache.commons.math3.complex.Complex,"('isInfinite()',)",409,409,0.0
org.apache.commons.math3.complex.Complex,"('multiply(int)',)",462,469,0.0
org.apache.commons.math3.complex.Complex,"('negate()',)",501,505,0.0
org.apache.commons.math3.complex.Complex,"('subtract(org.apache.commons.math3.complex.Complex)',)",528,533,0.0
org.apache.commons.math3.complex.Complex,"('subtract(double)',)",546,549,0.0
org.apache.commons.math3.complex.Complex,"('acos()',)",569,573,0.0
org.apache.commons.math3.complex.Complex,"('asin()',)",593,597,0.0
org.apache.commons.math3.complex.Complex,"('atan()',)",617,621,0.0
org.apache.commons.math3.complex.Complex,"('cos()',)",658,662,0.0
org.apache.commons.math3.complex.Complex,"('cosh()',)",698,702,0.0
org.apache.commons.math3.complex.Complex,"('exp()',)",739,744,0.0
org.apache.commons.math3.complex.Complex,"('pow(org.apache.commons.math3.complex.Complex)',)",814,815,0.0
org.apache.commons.math3.complex.Complex,"('pow(double)',)",826,826,0.0
org.apache.commons.math3.complex.Complex,"('sin()',)",862,866,0.0
org.apache.commons.math3.complex.Complex,"('sinh()',)",902,906,0.0
org.apache.commons.math3.complex.Complex,"('sqrt()',)",945,957,0.0
org.apache.commons.math3.complex.Complex,"('sqrt1z()',)",980,980,0.0
org.apache.commons.math3.complex.Complex,"('tan()',)",1016,1030,0.0
org.apache.commons.math3.complex.Complex,"('tanh()',)",1067,1080,0.0
org.apache.commons.math3.complex.Complex,"('getArgument()',)",1104,1104,0.0
org.apache.commons.math3.complex.Complex,"('nthRoot(int)',)",1131,1162,0.0
org.apache.commons.math3.complex.Complex,"('createComplex(double,double)',)",1176,1176,0.0
org.apache.commons.math3.complex.Complex,"('valueOf(double,double)',)",1188,1192,0.0
org.apache.commons.math3.complex.Complex,"('valueOf(double)',)",1202,1205,0.0
org.apache.commons.math3.complex.Complex,"('readResolve()',)",1217,1217,0.0
org.apache.commons.math3.complex.Complex,"('getField()',)",1222,1222,0.0
org.apache.commons.math3.complex.Complex,"('toString()',)",1228,1228,0.0
