File,Signature,StartLine,EndLine,Suspiciousness
org.joda.time.DateTimeZone,"('adjustOffset(long,boolean)',)",1167,1175,0.23200808433365472
org.joda.time.DateTime,"('withDurationAdded(long,int)',)",850,854,0.23084512921915964
org.joda.time.chrono.BaseChronology,"('add(long,long,int)',)",322,326,0.15767854172706164
org.joda.time.field.FieldUtils,"('safeMultiply(long,int)',)",137,150,0.13614684138547503
org.joda.time.tz.FixedDateTimeZone,"('equals(java.lang.Object)',)",88,98,0.07855081454128907
org.joda.time.field.PreciseDurationDateTimeField,"('remainder(long)',)",126,129,0.07274786385699086
org.joda.time.DateTimeZone,"('getOffsetFromLocal(long)',)",882,910,0.06725654850487069
org.joda.time.chrono.ZonedChronology,"('localToUTC(long)',)",139,147,0.0595542285569255
org.joda.time.DateTimeUtils,"('getInstantChronology(org.joda.time.ReadableInstant)',)",164,171,0.059034002299353044
org.joda.time.DateTimeUtils,"('getInstantMillis(org.joda.time.ReadableInstant)',)",146,149,0.05671416704792316
org.joda.time.chrono.AssembledChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",131,136,0.05436249483077894
org.joda.time.chrono.BasicChronology,"('getDayOfWeek(long)',)",534,544,0.0502272307219369
org.joda.time.chrono.BasicGJChronology,"('getTotalMillisByYearMonth(int,int)',)",139,142,0.04822552817046266
org.joda.time.chrono.BasicGJChronology,"('getDaysInYearMonth(int,int)',)",120,123,0.04736880210669861
org.joda.time.field.FieldUtils,"('safeAdd(long,long)',)",82,88,0.047178691052255015
org.joda.time.DateTimeZone,"('convertUTCToLocal(long)',)",924,930,0.045794892899804
org.joda.time.DateTimeZone,"('convertLocalToUTC(long,boolean,long)',)",951,957,0.04511578979291407
org.joda.time.field.PreciseDateTimeField,"('get(long)',)",79,82,0.04458374311454169
org.joda.time.chrono.AssembledChronology,"('getZone()',)",107,110,0.043594015146290306
org.joda.time.field.FieldUtils,"('verifyValueBounds(org.joda.time.DateTimeFieldType,int,int,int)',)",232,237,0.04321106195695228
org.joda.time.chrono.BasicChronology,"('getYear(long)',)",399,428,0.04091349606913138
org.joda.time.field.FieldUtils,"('verifyValueBounds(org.joda.time.DateTimeField,int,int,int)',)",214,219,0.03905998873733436
org.joda.time.chrono.ZonedChronology,"('getInstance(org.joda.time.Chronology,org.joda.time.DateTimeZone)',)",56,66,0.036696056758768865
org.joda.time.DateTimeUtils,"('getChronology(org.joda.time.Chronology)',)",252,255,0.036187062502812714
org.joda.time.DateTimeZone,"('getDefaultProvider()',)",443,473,0.036019571148015884
org.joda.time.tz.ZoneInfoProvider,"('loadZoneData(java.lang.String)',)",224,240,0.03596658174803734
org.joda.time.DateTimeZone,"('getDefaultNameProvider()',)",529,548,0.035962690621175665
org.joda.time.tz.CachedDateTimeZone,"('<clinit>()',)",39,62,0.03560509939019251
org.joda.time.chrono.BasicChronology,"('getMillisOfDay(long)',)",551,554,0.03542457048741866
org.joda.time.tz.ZoneInfoProvider,"('openResource(java.lang.String)',)",196,214,0.035340810462429005
org.joda.time.chrono.BasicChronology,"('getZone()',)",143,146,0.03462129064422338
org.joda.time.chrono.BasicChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",167,177,0.034308085368388974
org.joda.time.DateTimeZone,"('printOffset(int)',)",631,661,0.03429415303836993
org.joda.time.tz.DateTimeZoneBuilder,"('readFrom(java.io.InputStream,java.lang.String)',)",95,98,0.03426102286241838
org.joda.time.tz.CachedDateTimeZone,"('forZone(org.joda.time.DateTimeZone)',)",68,71,0.03426102286241838
org.joda.time.chrono.ZonedChronology,"('convertField(org.joda.time.DateTimeField,java.util.HashMap)',)",212,224,0.03424251985950234
org.joda.time.tz.ZoneInfoProvider,"('loadZoneInfoMap(java.io.InputStream)',)",252,263,0.03305830113033131
org.joda.time.field.DecoratedDateTimeField,"('DecoratedDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeFieldType)',)",54,62,0.03257322376745186
org.joda.time.field.DecoratedDurationField,"('DecoratedDurationField(org.joda.time.DurationField,org.joda.time.DurationFieldType)',)",52,60,0.032469447777516855
org.joda.time.field.OffsetDateTimeField,"('OffsetDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeFieldType,int,int,int)',)",73,91,0.03211232262856002
org.joda.time.DateTimeZone,"('forTimeZone(java.util.TimeZone)',)",302,337,0.03168558258484298
org.joda.time.tz.DateTimeZoneBuilder,"('readFrom(java.io.DataInput,java.lang.String)',)",110,123,0.03147075902953267
org.joda.time.DateTimeZone,"('setProvider0(org.joda.time.tz.Provider)',)",415,431,0.03123715841326504
org.joda.time.field.ZeroIsMaxDateTimeField,"('ZeroIsMaxDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeFieldType)',)",45,49,0.031221906499169384
org.joda.time.field.PreciseDurationDateTimeField,"('PreciseDurationDateTimeField(org.joda.time.DateTimeFieldType,org.joda.time.DurationField)',)",48,60,0.030893985412092373
org.joda.time.chrono.GregorianChronology,"('getInstance(org.joda.time.DateTimeZone,int)',)",111,138,0.030192708605028377
org.joda.time.chrono.GregorianChronology,"('calculateFirstDayOfYearMillis(int)',)",202,217,0.03003471008018854
org.joda.time.field.RemainderDateTimeField,"('RemainderDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeFieldType,int)',)",52,67,0.029976456315711393
org.joda.time.field.PreciseDateTimeField,"('PreciseDateTimeField(org.joda.time.DateTimeFieldType,org.joda.time.DurationField,org.joda.time.DurationField)',)",57,70,0.029826788528615797
org.joda.time.chrono.BasicMonthOfYearDateTimeField,"('set(long,int)',)",292,303,0.02945803805076978
org.joda.time.tz.ZoneInfoProvider,"('getZone(java.lang.String)',)",136,162,0.029389691873174667
org.joda.time.DateTimeZone,"('DateTimeZone(java.lang.String)',)",689,694,0.028855650909788085
org.joda.time.field.ScaledDurationField,"('ScaledDurationField(org.joda.time.DurationField,org.joda.time.DurationFieldType,int)',)",47,52,0.02874967461655671
org.joda.time.field.BaseDateTimeField,"('BaseDateTimeField(org.joda.time.DateTimeFieldType)',)",50,55,0.028386524243090027
org.joda.time.field.BaseDurationField,"('BaseDurationField(org.joda.time.DurationFieldType)',)",47,52,0.028332187917755235
org.joda.time.chrono.ISOChronology,"('getInstance(org.joda.time.DateTimeZone)',)",96,112,0.02789078016317468
org.joda.time.tz.ZoneInfoProvider,"('readZoneInfoMap(java.io.DataInputStream,java.util.Map)',)",274,289,0.027823672409813083
org.joda.time.DateTimeZone,"('forID(java.lang.String)',)",204,223,0.027755312989575214
org.joda.time.chrono.BasicChronology,"('BasicChronology(org.joda.time.Chronology,java.lang.Object,int)',)",126,139,0.0268715386462507
org.joda.time.field.DividedDateTimeField,"('DividedDateTimeField(org.joda.time.DateTimeField,org.joda.time.DateTimeFieldType,int)',)",56,80,0.024510614399245442
org.joda.time.DateTimeZone,"('getDefault()',)",133,161,0.022823011490592748
org.joda.time.DateTimeZone,"('forOffsetHoursMinutes(int,int)',)",254,272,0.022331496118465938
org.joda.time.DateTimeZone,"('fixedOffsetZone(java.lang.String,int)',)",349,365,0.021738488357534155
org.joda.time.tz.ZoneInfoProvider,"('ZoneInfoProvider(java.lang.String,java.lang.ClassLoader,boolean)',)",106,124,0.019938201489425943
org.joda.time.DateTimeZone,"('parseOffset(java.lang.String)',)",604,618,0.019117977822546813
org.joda.time.tz.CachedDateTimeZone,"('createInfo(long)',)",152,166,0.01624246240819189
org.joda.time.field.FieldUtils,"('safeAdd(int,int)',)",64,70,0.016086880016863196
org.joda.time.chrono.BasicYearDateTimeField,"('add(long,int)',)",58,63,0.012625640855349693
org.joda.time.chrono.BasicMonthOfYearDateTimeField,"('add(long,int)',)",92,146,0.011817551151239601
org.joda.time.field.FieldUtils,"('safeMultiply(int,int)',)",119,124,0.010086441370060392
org.joda.time.chrono.BasicGJChronology,"('setYear(long,int)',)",175,198,0.008375186150656619
org.joda.time.DateTimeZone,"('setDefault(org.joda.time.DateTimeZone)',)",174,184,0.007064980043448165
org.joda.time.DateTimeUtils,"('checkPermission()',)",129,133,0.005676824702770133
org.joda.time.base.AbstractInstant,"('equals(java.lang.Object)',)",259,266,0.0050791579945441935
org.joda.time.DateTimeZone,"('convertLocalToUTC(long,boolean)',)",974,1014,0.0038356006036706527
org.joda.time.chrono.BasicChronology,"('getWeekyear(long)',)",493,500,0.003592707723847398
org.joda.time.chrono.BasicWeekyearDateTimeField,"('add(long,int)',)",72,75,0.003477792812501815
org.joda.time.DateTimeUtils,"('getZone(org.joda.time.DateTimeZone)',)",269,272,0.003452008649225475
org.joda.time.chrono.BasicChronology,"('getWeekOfWeekyear(long,int)',)",516,524,0.003241900725467111
org.joda.time.chrono.BasicChronology,"('getDateTimeMillis(int,int,int,int)',)",153,159,0.003128913589510993
org.joda.time.field.PreciseDurationDateTimeField,"('roundFloor(long)',)",92,96,0.003039574218574883
org.joda.time.chrono.BasicChronology,"('getFirstWeekOfYearMillis(int)',)",339,348,0.0028738176161571594
org.joda.time.chrono.BasicWeekyearDateTimeField,"('set(long,int)',)",128,204,0.002824633868334415
org.joda.time.base.BaseDateTime,"('BaseDateTime(int,int,int,int,int,int,int,org.joda.time.Chronology)',)",252,257,9.290061938113141e-05
org.joda.time.DateTime,"('DateTime(int,int,int,int,int,int,int,org.joda.time.DateTimeZone)',)",487,489,9.25555164443155e-05
org.joda.time.base.BaseDateTime,"('BaseDateTime(int,int,int,int,int,int,int,org.joda.time.DateTimeZone)',)",223,225,6.93231327501577e-05
org.joda.time.chrono.AssembledChronology,"('setFields()',)",319,386,3.446084143202216e-05
org.joda.time.chrono.BasicWeekyearDateTimeField,"('roundFloor(long)',)",234,239,2.3930520947429427e-05
org.joda.time.chrono.BasicChronology,"('getDateMidnightMillis(int,int,int)',)",603,606,2.260808872919795e-05
org.joda.time.field.UnsupportedDurationField,"('getInstance(org.joda.time.DurationFieldType)',)",49,59,1.0907735559481175e-05
org.joda.time.DateTime,"('DateTime(int,int,int,int,int,int,int,org.joda.time.Chronology)',)",516,518,9.74420447803076e-06
org.joda.time.chrono.BasicYearDateTimeField,"('roundCeiling(long)',)",127,133,1.529413258627779e-06
org.joda.time.DateTimeZone,"('getConvertedId(java.lang.String)',)",559,598,6.938893903907228e-17
org.joda.time.tz.CachedDateTimeZone,"('getInfo(long)',)",140,148,2.7755575615628914e-17
org.joda.time.chrono.BasicChronology,"('assemble(org.joda.time.chrono.AssembledChronology$Fields)',)",241,298,2.7755575615628914e-17
org.joda.time.DateTimeFieldType,"('<clinit>()',)",73,140,2.7755575615628914e-17
org.joda.time.DateTime,"('withTime(int,int,int,int)',)",737,743,2.7755575615628914e-17
org.joda.time.chrono.BasicChronology,"('<clinit>()',)",76,121,1.3877787807814457e-17
org.joda.time.chrono.BasicChronology,"('getDayOfMonth(long)',)",448,450,1.3877787807814457e-17
org.joda.time.DurationFieldType,"('<clinit>()',)",60,82,1.3877787807814457e-17
org.joda.time.chrono.BasicGJChronology,"('<clinit>()',)",42,69,1.3877787807814457e-17
org.joda.time.DateTimeUtils,"('setCurrentMillisFixed(long)',)",82,84,1.734723475976807e-18
org.joda.time.chrono.BaseChronology,"('getDateTimeMillis(int,int,int,int,int,int,int)',)",132,138,8.673617379884035e-19
org.joda.time.DateTimeZone,"('<clinit>()',)",95,117,0.0
org.joda.time.DateTimeZone,"('forOffsetHours(int)',)",237,237,0.0
org.joda.time.DateTimeZone,"('forOffsetMillis(int)',)",282,283,0.0
org.joda.time.DateTimeZone,"('getAvailableIDs()',)",374,374,0.0
org.joda.time.DateTimeZone,"('getProvider()',)",387,387,0.0
org.joda.time.DateTimeZone,"('setProvider(org.joda.time.tz.Provider)',)",401,406,0.0
org.joda.time.DateTimeZone,"('getNameProvider()',)",486,486,0.0
org.joda.time.DateTimeZone,"('setNameProvider(org.joda.time.tz.NameProvider)',)",500,505,0.0
org.joda.time.DateTimeZone,"('setNameProvider0(org.joda.time.tz.NameProvider)',)",514,518,0.0
org.joda.time.DateTimeZone,"('offsetFormatter()',)",670,675,0.0
org.joda.time.DateTimeZone,"('getID()',)",706,706,0.0
org.joda.time.DateTimeZone,"('getShortName(long)',)",729,729,0.0
org.joda.time.DateTimeZone,"('getShortName(long,java.util.Locale)',)",744,755,0.0
org.joda.time.DateTimeZone,"('getName(long)',)",769,769,0.0
org.joda.time.DateTimeZone,"('getName(long,java.util.Locale)',)",784,795,0.0
org.joda.time.DateTimeZone,"('getOffset(org.joda.time.ReadableInstant)',)",813,816,0.0
org.joda.time.DateTimeZone,"('isStandardOffset(long)',)",844,844,0.0
org.joda.time.DateTimeZone,"('getMillisKeepLocal(org.joda.time.DateTimeZone,long)',)",1028,1035,0.0
org.joda.time.DateTimeZone,"('isLocalDateTimeGap(org.joda.time.LocalDateTime)',)",1145,1152,0.0
org.joda.time.DateTimeZone,"('toTimeZone()',)",1220,1220,0.0
org.joda.time.DateTimeZone,"('hashCode()',)",1237,1237,0.0
org.joda.time.DateTimeZone,"('toString()',)",1245,1245,0.0
org.joda.time.DateTimeZone,"('writeReplace()',)",1255,1255,0.0
org.joda.time.tz.FixedDateTimeZone,"('FixedDateTimeZone(java.lang.String,java.lang.String,int,int)',)",38,42,0.0
org.joda.time.tz.FixedDateTimeZone,"('getNameKey(long)',)",45,45,0.0
org.joda.time.tz.FixedDateTimeZone,"('getOffset(long)',)",49,49,0.0
org.joda.time.tz.FixedDateTimeZone,"('getStandardOffset(long)',)",53,53,0.0
org.joda.time.tz.FixedDateTimeZone,"('getOffsetFromLocal(long)',)",57,57,0.0
org.joda.time.tz.FixedDateTimeZone,"('isFixed()',)",61,61,0.0
org.joda.time.tz.FixedDateTimeZone,"('nextTransition(long)',)",65,65,0.0
org.joda.time.tz.FixedDateTimeZone,"('previousTransition(long)',)",69,69,0.0
org.joda.time.tz.FixedDateTimeZone,"('toTimeZone()',)",77,84,0.0
org.joda.time.tz.FixedDateTimeZone,"('hashCode()',)",102,102,0.0
org.joda.time.tz.ZoneInfoProvider,"('ZoneInfoProvider(java.io.File)',)",56,72,0.0
org.joda.time.tz.ZoneInfoProvider,"('ZoneInfoProvider(java.lang.String)',)",82,83,0.0
org.joda.time.tz.ZoneInfoProvider,"('ZoneInfoProvider(java.lang.String,java.lang.ClassLoader)',)",96,97,0.0
org.joda.time.tz.ZoneInfoProvider,"('getAvailableIDs()',)",174,174,0.0
org.joda.time.tz.ZoneInfoProvider,"('uncaughtException(java.lang.Exception)',)",183,185,0.0
org.joda.time.tz.DefaultNameProvider,"('DefaultNameProvider()',)",37,40,0.0
org.joda.time.tz.DefaultNameProvider,"('getShortName(java.util.Locale,java.lang.String,java.lang.String)',)",43,44,0.0
org.joda.time.tz.DefaultNameProvider,"('getName(java.util.Locale,java.lang.String,java.lang.String)',)",48,49,0.0
org.joda.time.tz.DefaultNameProvider,"('getNameSet(java.util.Locale,java.lang.String,java.lang.String)',)",53,95,0.0
org.joda.time.tz.DefaultNameProvider,"('createCache()',)",99,99,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('DateTimeZoneBuilder()',)",225,227,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('writeMillis(java.io.DataOutput,long)',)",140,177,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('readMillis(java.io.DataInput)',)",183,209,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('buildFixedZone(java.lang.String,java.lang.String,int,int)',)",215,219,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('addCutover(int,char,int,int,int,boolean,int)',)",252,259,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('setStandardOffset(int)',)",268,269,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('setFixedSavings(java.lang.String,int)',)",276,277,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('addRecurringSavings(java.lang.String,int,int,int,char,int,int,int,boolean,int)',)",309,316,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('getLastRuleSet()',)",320,323,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('toDateTimeZone(java.lang.String,boolean)',)",333,400,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('addTransition(java.util.ArrayList,org.joda.time.tz.DateTimeZoneBuilder$Transition)',)",404,432,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('writeTo(java.lang.String,java.io.OutputStream)',)",443,448,0.0
org.joda.time.tz.DateTimeZoneBuilder,"('writeTo(java.lang.String,java.io.DataOutput)',)",459,475,0.0
org.joda.time.tz.CachedDateTimeZone,"('CachedDateTimeZone(org.joda.time.DateTimeZone)',)",84,89,0.0
org.joda.time.tz.CachedDateTimeZone,"('getUncachedZone()',)",95,95,0.0
org.joda.time.tz.CachedDateTimeZone,"('getNameKey(long)',)",99,99,0.0
org.joda.time.tz.CachedDateTimeZone,"('getOffset(long)',)",103,103,0.0
org.joda.time.tz.CachedDateTimeZone,"('getStandardOffset(long)',)",107,107,0.0
org.joda.time.tz.CachedDateTimeZone,"('isFixed()',)",111,111,0.0
org.joda.time.tz.CachedDateTimeZone,"('nextTransition(long)',)",115,115,0.0
org.joda.time.tz.CachedDateTimeZone,"('previousTransition(long)',)",119,119,0.0
org.joda.time.tz.CachedDateTimeZone,"('hashCode()',)",123,123,0.0
org.joda.time.tz.CachedDateTimeZone,"('equals(java.lang.Object)',)",127,133,0.0
org.joda.time.DateTimeUtils,"('DateTimeUtils()',)",43,44,0.0
org.joda.time.DateTimeUtils,"('<clinit>()',)",35,37,0.0
org.joda.time.DateTimeUtils,"('currentTimeMillis()',)",56,56,0.0
org.joda.time.DateTimeUtils,"('setCurrentMillisSystem()',)",68,70,0.0
org.joda.time.DateTimeUtils,"('setCurrentMillisOffset(long)',)",97,103,0.0
org.joda.time.DateTimeUtils,"('setCurrentMillisProvider(org.joda.time.DateTimeUtils$MillisProvider)',)",116,121,0.0
org.joda.time.DateTimeUtils,"('getIntervalChronology(org.joda.time.ReadableInstant,org.joda.time.ReadableInstant)',)",187,196,0.0
org.joda.time.DateTimeUtils,"('getIntervalChronology(org.joda.time.ReadableInterval)',)",211,218,0.0
org.joda.time.DateTimeUtils,"('getReadableInterval(org.joda.time.ReadableInterval)',)",234,238,0.0
org.joda.time.DateTimeUtils,"('getPeriodType(org.joda.time.PeriodType)',)",286,289,0.0
org.joda.time.DateTimeUtils,"('getDurationMillis(org.joda.time.ReadableDuration)',)",303,306,0.0
org.joda.time.DateTimeUtils,"('isContiguous(org.joda.time.ReadablePartial)',)",334,347,0.0
org.joda.time.DateTimeUtils,"('getDateFormatSymbols(java.util.Locale)',)",365,368,0.0
org.joda.time.Chronology,"('Chronology()',)",63,63,0.0
org.joda.time.chrono.BaseChronology,"('BaseChronology()',)",54,55,0.0
org.joda.time.chrono.BaseChronology,"('getDateTimeMillis(int,int,int,int)',)",102,105,0.0
org.joda.time.chrono.BaseChronology,"('getDateTimeMillis(long,int,int,int,int)',)",163,166,0.0
org.joda.time.chrono.BaseChronology,"('validate(org.joda.time.ReadablePartial,int[])',)",183,213,0.0
org.joda.time.chrono.BaseChronology,"('get(org.joda.time.ReadablePartial,long)',)",223,228,0.0
org.joda.time.chrono.BaseChronology,"('set(org.joda.time.ReadablePartial,long)',)",239,242,0.0
org.joda.time.chrono.BaseChronology,"('get(org.joda.time.ReadablePeriod,long,long)',)",255,265,0.0
org.joda.time.chrono.BaseChronology,"('get(org.joda.time.ReadablePeriod,long)',)",276,289,0.0
org.joda.time.chrono.BaseChronology,"('add(org.joda.time.ReadablePeriod,long,int)',)",301,309,0.0
org.joda.time.chrono.BaseChronology,"('millis()',)",337,337,0.0
org.joda.time.chrono.BaseChronology,"('millisOfSecond()',)",346,346,0.0
org.joda.time.chrono.BaseChronology,"('millisOfDay()',)",355,355,0.0
org.joda.time.chrono.BaseChronology,"('seconds()',)",366,366,0.0
org.joda.time.chrono.BaseChronology,"('secondOfMinute()',)",375,375,0.0
org.joda.time.chrono.BaseChronology,"('secondOfDay()',)",384,384,0.0
org.joda.time.chrono.BaseChronology,"('minutes()',)",395,395,0.0
org.joda.time.chrono.BaseChronology,"('minuteOfHour()',)",404,404,0.0
org.joda.time.chrono.BaseChronology,"('minuteOfDay()',)",413,413,0.0
org.joda.time.chrono.BaseChronology,"('hours()',)",424,424,0.0
org.joda.time.chrono.BaseChronology,"('hourOfDay()',)",433,433,0.0
org.joda.time.chrono.BaseChronology,"('clockhourOfDay()',)",442,442,0.0
org.joda.time.chrono.BaseChronology,"('halfdays()',)",453,453,0.0
org.joda.time.chrono.BaseChronology,"('hourOfHalfday()',)",462,462,0.0
org.joda.time.chrono.BaseChronology,"('clockhourOfHalfday()',)",471,471,0.0
org.joda.time.chrono.BaseChronology,"('halfdayOfDay()',)",480,480,0.0
org.joda.time.chrono.BaseChronology,"('days()',)",491,491,0.0
org.joda.time.chrono.BaseChronology,"('dayOfWeek()',)",504,504,0.0
org.joda.time.chrono.BaseChronology,"('dayOfMonth()',)",513,513,0.0
org.joda.time.chrono.BaseChronology,"('dayOfYear()',)",522,522,0.0
org.joda.time.chrono.BaseChronology,"('weeks()',)",533,533,0.0
org.joda.time.chrono.BaseChronology,"('weekOfWeekyear()',)",542,542,0.0
org.joda.time.chrono.BaseChronology,"('weekyears()',)",553,553,0.0
org.joda.time.chrono.BaseChronology,"('weekyear()',)",562,562,0.0
org.joda.time.chrono.BaseChronology,"('weekyearOfCentury()',)",571,571,0.0
org.joda.time.chrono.BaseChronology,"('months()',)",582,582,0.0
org.joda.time.chrono.BaseChronology,"('monthOfYear()',)",591,591,0.0
org.joda.time.chrono.BaseChronology,"('years()',)",602,602,0.0
org.joda.time.chrono.BaseChronology,"('year()',)",611,611,0.0
org.joda.time.chrono.BaseChronology,"('yearOfEra()',)",620,620,0.0
org.joda.time.chrono.BaseChronology,"('yearOfCentury()',)",629,629,0.0
org.joda.time.chrono.BaseChronology,"('centuries()',)",640,640,0.0
org.joda.time.chrono.BaseChronology,"('centuryOfEra()',)",649,649,0.0
org.joda.time.chrono.BaseChronology,"('eras()',)",660,660,0.0
org.joda.time.chrono.BaseChronology,"('era()',)",669,669,0.0
org.joda.time.chrono.AssembledChronology,"('AssembledChronology(org.joda.time.Chronology,java.lang.Object)',)",99,103,0.0
org.joda.time.chrono.AssembledChronology,"('getDateTimeMillis(int,int,int,int)',)",118,122,0.0
